#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_1017	85319	101	N	N	1	*	1008,1009,1010,1016,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,-1016,-1009,-1008,-1007,-1012,-1012,-1011,1017,-1257
scaffold_1633	84788	165	N	N	1	*	2307,2308,2310,2312,2313,-2787,-1719,-1719,2787,-2313,-2312,-2310,-2308,-2307,-1633,-2780,-1632,??,-1631,1632,-1632,1631,1630,-1631,1631,-1630,1097,*
contig_2800	84746	121	N	N	2	*	*,2800
contig_145	84301	913	N	N	7	*	1243,145,-1232,2738,-2738,1232,2738,-2738,-1232,2738,-2738,1232,2738
contig_2196	84236	4	N	N	1	*	*,2196,2197,2198,2197,2199,2197,2200,2197,2201,2197,2202,2197
contig_916	83041	74	N	N	1	*	*,916,*
contig_1210	82613	103	N	N	1	*	*,1210,-2756
contig_2560	82349	66	N	N	1	*	*,2560,*
scaffold_1797	81739	109	N	N	1	*	*,-1797,-1796,-1795,-1794,??,1792,1793,1670,1676
contig_1533	81432	48	N	N	1	*	*,1533,*
contig_1388	80192	23	N	N	1	*	*,1388,*
contig_1718	78285	21	N	N	1	*	*,1718,*
contig_1170	76700	115	N	N	1	*	*,1170,*
contig_1946	76682	28	N	N	1	*	*,1946,*
contig_2677	76566	70	N	N	1	*	*,2677,*
contig_1437	76327	97	N	N	1	*	-1553,1437,*
contig_2755	75280	98	N	N	1	*	*,2755,*
scaffold_1970	74652	46	N	N	1	*	1971,-1970,1480,??,-1480,1480,1481,1485
scaffold_1042	74582	81	N	N	1	*	1052,1042,-1043,-1041,-2726,??,1044,-1043,-1041,-2726
contig_2433	74026	29	N	N	1	*	*,2433,*
contig_2547	73997	32	N	N	1	*	*,2547,*
scaffold_2752	71329	233	N	N	1	*	837,1346,1347,2752,1349,1350,??,1355,1354,1354,-1353,1353,1354,1355,1356,-1457,1467,1455,1456,1459,1460,1461,1461,1461,1461,-1460,-1455,-1459,-1456,-1455,-1467,1457
contig_2556	71285	41	N	N	2	*	*,2556,*
contig_1517	70224	214	Y	N	1	*	1517
contig_1118	69984	11	N	N	1	*	*,1118,*
contig_1948	69610	48	N	N	1	*	2540,1948,896
contig_1280	69304	9	N	N	1	*	*,1280,*
contig_1979	69030	190	N	N	1	*	1979,*
contig_1	67467	72	N	N	1	*	*,1,*
contig_2808	65999	32	N	N	1	*	*,2808,*
contig_758	65829	67	N	N	1	*	*,758,*
contig_2754	65733	90	N	N	1	*	*,2754,*
contig_1115	65385	47	N	N	1	*	*,1115,*
contig_1114	64815	56	N	N	1	*	*,1114,*
contig_2660	64517	7	Y	N	1	*	2660
contig_2437	64433	7	N	N	1	*	*,2437,*
contig_1429	64231	25	N	N	1	*	*,1429,*
contig_1378	63980	72	N	N	1	*	-908,905,1378,-1598,28
contig_2442	63571	31	N	N	1	*	*,2442,*
contig_2725	63274	152	N	N	1	*	*,2725,-1257
contig_1181	62520	59	N	N	1	*	*,1181,*
contig_2864	62120	11	N	N	1	*	*,2864,-2351
contig_839	61739	768	N	N	6	*	*,1425,839,846,841,842,843,844,-845,845,846,846,-844,-843,-842,-841
contig_1152	61387	22	N	N	1	*	*,1152
contig_745	61214	61	N	N	2	*	745,*
contig_2821	60957	97	N	N	1	*	2805,2821,*
contig_1271	60757	18	N	N	1	*	*,1271,1440
contig_731	60312	22	N	N	1	*	731,*
contig_2802	60183	79	N	N	1	*	*,2802,*
scaffold_828	60140	309	N	N	1	*	*,-828,-824,-826,823,??,-823,826,825,*
contig_2222	59683	10	N	N	2	*	*,2222,*
contig_1386	59185	74	N	N	1	*	1385,1386,*
contig_2553	58737	51	N	N	2	*	*,2553,*
contig_1250	58640	107	N	N	1	*	-1279,1250
contig_1160	58399	3	N	N	1	*	*,1160,*
contig_2619	58135	19	N	N	1	*	*,2619,*
contig_1866	57822	26	N	N	1	*	*,1866,*
contig_1669	57515	15	N	N	1	*	1669,*
contig_1249	57511	28	N	N	1	*	*,1249,*
contig_1715	57505	25	N	N	1	*	1715,*
contig_2488	57180	47	N	N	1	*	2488,*
contig_2328	56872	7	N	N	1	*	*,2328,*
contig_2526	56779	90	N	N	2	*	2525,2526,*
contig_884	56195	129	N	N	1	*	1780,2195,-2195,-1780,2803,884,888,889,2712,-2604,-2712
contig_2649	56180	30	N	N	1	*	*,2649,*
contig_1373	55765	56	N	N	1	*	*,1373
contig_2435	55687	82	N	N	1	*	*,2435,*
contig_2329	54940	23	N	N	2	*	*,2329,*
contig_1531	54672	7	N	N	1	*	*,1531,*
contig_2727	53947	69	N	N	1	*	-1065,1065,2727,1059,1060,1061,1059,1060,1061,1062,-1061
contig_2011	53782	110	Y	N	3	*	2011
contig_2551	53743	16	N	N	1	*	*,2551,*
contig_2527	53718	5	N	N	1	*	*,2527,*
contig_2228	53711	22	N	N	1	*	*,2228,*
contig_2659	53663	56	N	N	2	*	*,2659,*
contig_918	53640	125	N	N	1	*	918
contig_2034	53308	79	N	N	1	*	2555,2034,*
contig_138	53225	150	N	N	1	*	-1123,-1123,-1124,1124,1123,138,-95,-94
contig_1807	53083	15	N	N	1	*	1802,1803,-1804,-1804,1807,*
contig_2496	51986	20	N	N	1	*	*,2496,*
contig_2666	51871	51	N	N	1	*	*,2666,*
contig_2588	51391	49	N	N	1	*	*,2588,*
contig_734	51390	15	N	N	1	*	704,704,734,*
contig_2213	51374	18	N	N	1	*	*,2213,*
contig_134	51345	47	N	N	1	*	86,134,-1257
contig_1309	51319	17	N	N	1	*	*,1309,*
contig_1730	50933	10	N	N	1	*	*,1730,*
contig_1207	50753	85	Y	N	2	*	1207
scaffold_1760	50314	137	N	N	2	*	-1758,-1757,1757,1758,1760,??,1786,1754,*
contig_1880	50244	8	N	N	1	*	*,1880,*
contig_2764	49900	29	N	N	1	*	*,2764,-1515
contig_2561	49849	34	N	N	1	*	*,2561,*
contig_1430	49736	14	N	N	1	*	*,1430,*
contig_2706	49221	67	N	N	1	*	*,2706,*
contig_2380	48912	3	N	N	1	*	*,2867,2867,2380,*
contig_2326	48705	85	N	N	1	*	*,2326,*
contig_2148	48542	19	N	N	1	*	-2150,2148,*
contig_2529	48257	17	N	N	1	*	*,2529,*
contig_9	48163	394	N	N	3	*	-11,9,-60,33,32,32,32,32,32,32,32,71
scaffold_1918	47714	49	N	N	1	*	*,-2814,1918,1705,??,1705,1708,1705
contig_2616	47698	104	N	N	2	*	*,2616,*
contig_2543	47673	114	N	N	1	*	2542,2543,-2566,*
contig_78	47659	46	N	N	1	*	78,*
contig_2715	47376	52	N	N	2	*	*,2715,*
contig_1723	47375	22	N	N	1	*	*,1723,*
contig_2625	46849	31	N	N	1	*	*,2625,*
contig_2895	46510	26	Y	N	2	*	2895
contig_2545	46383	70	N	N	1	*	*,2545,*
contig_2484	46308	19	N	N	1	*	*,2484,*
contig_1538	46295	8	N	N	1	*	*,1538,*
contig_2814	45939	66	N	Y	1	*	2814,*
contig_1263	45934	52	N	N	1	*	1257,1263,-1264,-1257
contig_2878	45898	11	N	N	1	*	*,2878,*
contig_2667	45491	37	N	N	1	*	*,2667,*
contig_2102	45412	39	N	N	5	*	*,2102,2103,2103,2104
contig_1474	44984	78	N	N	1	*	*,1474,*
contig_1156	44976	207	N	N	1	*	1156,1161,1161,1161,*
contig_2820	44850	58	N	N	1	*	*,2820,*
contig_1266	44528	23	N	N	1	*	*,1266,*
contig_1171	44376	11	N	N	1	*	*,1171,*
contig_1473	44376	14	N	N	1	*	*,1473,*
contig_2759	44368	21	N	N	2	*	*,2759,*
contig_979	44281	713	N	N	6	*	-961,2723,959,960,961,961,961,961,961,964,-961,-961,-961,-961,-961,-961,-960,-959,-2723,961,961,961,961,964,964,965,966,967,968,969,979,-1318,-1317,1317,1317,1318,-1318,-1317,1317,1317,1318
contig_2816	44132	76	N	Y	1	*	2816
contig_159	44058	19	N	N	3	*	159,*
contig_2264	43943	9	N	N	2	*	*,2264,*
contig_1117	43811	26	N	N	1	*	*,1117,*
contig_820	43792	36	N	Y	1	214	*,820,*
contig_2336	43784	41	N	N	1	*	*,2336,*
contig_2581	43251	36	N	N	1	*	-2582,2581,2582
contig_2257	42979	89	N	N	1	*	*,-2853,2257,*
contig_1258	42818	48	N	N	1	*	-1257,1258,*
contig_1662	42569	80	N	N	1	*	*,1662,*
contig_1592	42559	36	N	N	1	*	2691,1592,*
contig_1492	42410	145	N	N	1	*	*,1492
contig_982	42361	30	N	N	1	*	-970,-955,949,949,-949,-949,955,970,-956,982,*
contig_1815	42196	19	N	N	1	*	*,1815,*
contig_2163	42148	19	N	N	1	*	*,2163,*
contig_387	42092	6	N	Y	3	*	387
contig_907	41926	51	N	N	1	*	-908,907,1109,*
contig_830	41670	204	N	N	2	*	1616,1617,-1616,-1615,-1614,-1613,-1612,-1611,830,*
contig_1109	41583	45	N	Y	1	*	1109,*
contig_2767	41549	20	N	N	1	*	*,2767,*
contig_1798	41466	263	N	N	2	*	-2833,-2096,-2093,1798,-2841
contig_803	41410	82	N	N	2	*	803,-2816
contig_2240	41407	270	N	Y	2	*	*,2240
contig_2784	41352	128	N	N	1	*	*,2784,-2868,*
contig_2573	41348	33	N	N	1	*	*,2573,*
contig_1847	41143	45	N	N	1	*	*,1847,*
contig_1281	41087	11	N	N	1	*	*,1281,*
contig_2724	40898	41	N	N	1	*	*,2724,-1257
contig_2763	40888	21	Y	N	1	*	2763
contig_767	40815	9	N	N	1	*	*,767,*
contig_2415	40732	8	N	N	1	*	*,2415,*
contig_2237	40706	16	N	N	1	*	*,2237,*
contig_2292	40702	10	N	N	1	*	*,2292,*
contig_1689	40696	22	N	N	1	*	*,1689,*
contig_1733	40692	60	N	N	3	*	*,1733,*
contig_2289	40664	52	N	N	5	*	*,2289,*
contig_1146	40578	123	N	N	2	*	1137,1138,1139,1129,1130,1130,1131,1132,1133,1133,1133,1133,-1135,-1135,-1135,1135,-1133,-1133,-1133,-1133,-1132,-1131,-1130,-1129,-1129,-1139,-1138,-1138,-1137,-1136,-1136,1146,*
contig_1002	40547	7	N	N	1	*	*,1002,*
contig_2646	40526	46	N	N	1	*	*,2646,*
contig_902	40418	50	N	N	1	*	-908,901,902,908
contig_2122	40384	17	N	N	1	*	*,2122,*
contig_761	40303	18	N	N	3	*	761,*
contig_1776	40259	25	N	N	2	*	*,-1775,1776,*
contig_1564	40181	12	N	N	1	*	*,1564,*
contig_2822	40076	18	N	N	1	*	*,2822,*
contig_2503	39995	17	N	N	1	*	*,2503,*
contig_2037	39988	25	N	N	1	*	*,2037,*
contig_1105	39957	40	N	N	1	*	*,1105,*
contig_1988	39926	86	N	N	1	*	*,1988,*
contig_984	39876	31	N	N	1	*	957,958,984,*
contig_1601	39844	52	N	N	1	*	*,1601,*
contig_1906	39758	12	N	N	1	*	*,1906,1907,1908,1907
contig_2128	39657	37	N	N	1	*	*,2128,*
contig_1285	39421	43	N	N	2	*	*,1285,*
contig_1432	39391	509	N	N	5	*	1552,1552,-1552,1552,-1552,1552,-1552,1432,-1433,1433
contig_1777	39330	49	N	N	1	*	*,1777,*
contig_1912	39322	34	N	N	2	*	*,1912,*
contig_1475	39285	47	N	N	1	*	-2690,-1476,1475,*
contig_1169	39240	143	N	Y	1	*	1169
contig_1544	38982	14	N	N	1	*	*,1544,*
contig_903	38964	49	N	N	1	*	2713,1315,903,-2743
contig_2758	38944	124	N	N	1	*	*,2758,1418
contig_937	38939	33	N	N	1	*	*,937,*
contig_2539	38712	73	N	N	1	*	*,2539,*
contig_2009	38614	18	N	N	1	*	*,2009,*
contig_766	38603	3	N	Y	1	*	766
contig_2490	38476	15	N	N	1	*	*,2490,*
contig_2722	38397	390	Y	N	3	*	2722
contig_812	38382	41	N	N	1	*	812,*
contig_739	38168	24	N	N	2	*	*,739,*
contig_1654	38042	28	N	N	1	*	*,1654,*
contig_1337	37974	272	N	N	3	*	*,-1435,1337,-2751
contig_2453	37859	5	N	N	1	*	*,2453,*
contig_2351	37656	3	N	Y	1	*	2351
contig_2675	37570	34	N	Y	1	*	2675,*
contig_2255	37555	23	N	N	1	*	*,2255,*
contig_2324	37212	60	N	N	1	*	*,2324,*
contig_1895	37187	21	N	N	1	*	*,1895,*
contig_158	36970	25	N	N	1	*	158,*
contig_2429	36899	38	N	N	3	*	*,2429,*
contig_2026	36851	52	Y	Y	1	*	2026
contig_2210	36838	18	N	N	1	*	*,-2209,2210,*
contig_2214	36588	11	N	N	1	*	*,2214,*
contig_1753	36260	13	N	N	1	*	*,1753,*
contig_2648	36240	16	N	N	1	*	*,2648,*
contig_1472	36202	9	N	N	1	*	*,1472,*
contig_1421	36150	93	N	N	1	*	1421,*
contig_1312	36148	13	N	N	1	*	-1314,1312,1813,*
contig_2544	36080	33	N	N	1	*	*,2544,*
contig_2345	35982	23	N	N	1	*	*,2345,*
contig_2382	35955	28	N	N	1	*	-1539,2382,*
contig_2471	35938	22	N	N	1	*	*,2471,*
contig_1479	35851	12	N	N	1	*	*,1479,*
contig_1930	35800	23	N	N	1	*	*,1930,*
contig_1816	35796	96	N	N	2	*	*,1816,*
contig_2680	35660	25	N	N	1	*	*,2680,*
contig_2654	35547	15	N	N	1	*	*,2654,*
contig_1247	35318	30	N	N	1	*	*,1247,*
contig_795	35136	18	N	Y	9	*	795
contig_1529	35043	33	N	N	1	*	*,1529,*
contig_3	35036	23	N	N	1	*	*,3,*
contig_2258	34996	31	N	N	1	*	*,2258,*
contig_2233	34923	54	N	N	1	*	*,2233,2232,-2231,2231,2230
contig_1997	34790	33	N	N	1	*	*,1997,*
contig_1357	34732	37	N	N	1	*	*,1357,*
contig_151	34706	66	N	N	1	*	151,1169
contig_1154	34663	10	N	N	1	*	*,1154,*
contig_1034	34471	38	N	N	1	*	1034,*
contig_2211	34412	35	N	N	1	*	*,2211,*
contig_2734	34379	30	N	N	1	*	*,2734,1180
contig_1366	34326	54	N	N	1	*	*,1366,*
contig_983	34304	65	N	N	1	*	-961,-961,983,*
contig_1709	34299	25	N	Y	1	*	*,1709
contig_2772	34283	122	N	Y	1	234	*,2772,*
contig_1591	34270	51	N	N	1	*	*,1591,-1656
contig_2682	34247	58	N	N	1	*	*,2682,*
contig_2492	34094	20	N	N	1	*	*,2492,*
contig_2559	34078	28	N	N	1	*	*,2559,*
contig_2180	33953	4	N	N	1	*	*,2180,*
contig_1091	33950	431	N	N	4	*	1091,*
contig_978	33887	7	N	N	1	*	954,954,954,954,954,954,954,954,954,954,954,954,978,*
contig_2389	33862	18	N	N	1	*	*,2389,*
contig_786	33720	67	N	Y	22	*	786
contig_2965	33693	3	Y	N	1	*	2965
contig_1518	33625	740	Y	N	6	*	1518
contig_938	33577	26	N	N	1	*	*,938,*
contig_1982	33560	76	N	N	1	*	*,1982,*
contig_1751	33225	9	N	N	1	*	*,1751,*
contig_1327	33198	20	N	N	1	*	*,1327,*
contig_737	33154	24	N	N	1	*	737,*
contig_2861	33116	83	N	N	2	*	*,2861,*
contig_1717	33032	34	N	N	1	*	*,1717,*
contig_2470	33024	19	N	N	1	*	*,2470,*
contig_2491	33002	3	N	N	1	*	*,2491,*
contig_2364	33000	12	N	N	1	*	*,2364,*
contig_2463	32793	14	N	N	1	*	*,2463,*
contig_2362	32782	6	N	N	1	*	*,2362,*
contig_2652	32711	18	N	N	1	*	*,2652,*
contig_2409	32417	7	N	N	1	*	*,2409,*
contig_2640	32415	88	N	Y	1	*	2640
contig_1605	32331	87	N	N	1	*	-1916,1916,1605,1606,1608,1607
contig_1957	32322	11	N	N	1	*	*,1957,*
contig_2334	32300	12	N	N	1	*	*,2334,*
contig_2638	32266	37	N	N	1	*	2640,2638,-2640
contig_1976	32246	92	N	N	2	*	2449,-2819,1976,*
contig_1186	32189	22	N	N	1	*	*,1186,*
contig_1047	32148	118	N	N	4	*	*,1047,-2054,-2053
contig_152	32123	30	N	N	1	*	97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,152,*
contig_2813	31930	43	N	N	1	*	-2390,2813,2814,*
contig_1565	31928	64	N	N	1	*	*,1565,*
contig_1594	31914	35	N	N	1	*	*,1594,*
contig_1937	31898	17	N	N	1	*	*,1937,*
contig_2086	31889	127	N	N	1	*	*,-2087,2084,2086,1070,1070,1070,1070,1070,1070
contig_1326	31852	48	N	N	1	*	*,1326,*
contig_2247	31798	39	N	N	1	*	*,2247,*
contig_2236	31783	39	N	N	1	*	*,2236,*
contig_2344	31577	31	N	N	1	*	*,2344,*
contig_1844	31461	120	Y	N	1	*	1844
contig_2690	31453	227	N	Y	1	*	2690
contig_2360	31400	38	N	N	2	*	*,2360,*
contig_781	31393	34	N	N	1	*	*,781,*
scaffold_1397	31363	64	N	N	1	*	-1398,-1397,-1394,-1394,??,1394,1394,1393,*
contig_2219	31357	23	N	N	1	*	*,2219,*
contig_814	31350	20	N	N	1	*	*,814,*
contig_2080	31343	709	Y	N	6	*	2080
contig_2315	31272	28	N	N	1	*	*,2315,*
contig_8	31257	143	N	N	1	*	2689,8,*
contig_1361	31237	38	N	N	1	*	*,1361,*
contig_2125	31108	20	N	N	1	*	*,2125,*
contig_1595	31101	26	N	N	1	*	*,1595,*
contig_1168	31071	50	N	N	1	*	*,1168,*
contig_2511	31062	73	N	N	2	*	*,2511,*
contig_2771	31025	46	N	Y	1	234	*,2771,*
contig_2642	30996	73	N	N	1	*	*,2642,*
contig_1310	30924	31	N	N	2	*	*,1310,*
contig_1984	30910	88	N	N	1	*	*,1984,*
contig_2487	30886	139	N	N	1	*	*,2487
contig_1989	30861	8	N	N	1	*	*,1989,*
contig_1774	30792	10	N	N	1	*	*,1774,*
contig_1365	30773	16	N	N	1	*	*,1365,*
contig_1107	30740	65	N	N	1	*	*,1107,*
contig_2720	30587	53	N	N	4	*	*,2720,2194
contig_1223	30533	36	N	N	1	*	*,1223,*
contig_1868	30526	14	N	N	1	*	*,1868,*
contig_1166	30525	12	N	N	1	*	*,1166,*
contig_2621	30499	52	N	N	1	*	*,2621,*
contig_1931	30474	30	N	N	1	*	*,1931,*
contig_2126	30415	38	N	N	1	*	*,2126,*
contig_1724	30402	18	N	N	2	*	*,1724,*
contig_1391	30297	23	N	N	1	*	*,1391,*
contig_754	30225	5	N	N	1	*	754,*
contig_2282	30203	84	N	Y	1	326	*,2282,*
contig_1849	30195	5	N	N	1	*	*,1849,*
contig_1405	30180	22	N	N	1	*	*,1405,*
contig_1765	29966	85	N	N	1	*	*,1765,*
contig_2694	29914	225	N	Y	1	*	2694
contig_2347	29887	16	N	N	1	*	*,2347,*
contig_154	29854	8	N	N	1	*	154,*
contig_2000	29686	18	N	N	1	*	*,2000,*
contig_729	29637	28	N	N	1	*	729,*
contig_2031	29580	27	N	N	1	*	*,2031,*
contig_1209	29565	63	N	N	2	*	*,1209,*
contig_1585	29514	13	N	N	1	*	*,1585,*
contig_2168	29426	19	N	N	1	*	*,2168,*
contig_2632	29340	23	N	N	1	*	*,2632,*
contig_2614	29288	27	N	N	1	*	*,2614,*
contig_2498	29210	23	N	N	1	*	*,2498,*
contig_2123	29192	34	N	N	5	*	*,2123,*
contig_1268	29138	10	N	N	1	*	*,1268,*
contig_2229	29120	20	N	N	1	*	*,2229,*
contig_1958	29100	9	N	N	1	*	*,1958,*
contig_1877	29090	168	N	N	1	*	1877
contig_1848	29077	6	N	N	1	*	*,1848,*
contig_2145	29062	28	N	N	1	*	*,2145,*
contig_837	29057	156	N	Y	1	*	837
contig_2274	29045	19	N	N	1	*	*,2274,*
contig_906	29006	45	N	N	1	*	891,906,*
contig_2158	28984	17	N	N	1	*	*,2158,*
contig_1143	28966	115	N	N	1	*	*,1143,*
contig_2536	28829	20	N	N	1	*	*,-2890,2535,2536,-2535,2890,*
contig_2121	28814	16	N	N	1	*	*,2121,*
contig_2894	28800	60	Y	N	3	*	2894
contig_1546	28742	18	N	N	1	*	*,1546,*
contig_3110	28709	6	Y	N	1	*	3110
contig_1814	28673	22	N	N	1	*	*,1814,*
contig_2055	28652	59	N	N	1	*	*,2055,*
contig_1641	28628	40	N	N	1	*	*,1641,*
contig_2424	28606	38	N	N	1	*	*,2424,*
contig_1392	28576	8	N	N	1	*	*,1392,*
contig_2486	28536	22	N	N	1	*	*,2486,*
contig_1126	28525	21	N	N	1	*	*,1126,1153,1153,-1151,1150
contig_2774	28521	87	N	Y	1	*	*,2774
contig_2777	28519	79	N	N	1	*	2756,2777,-2054,-2053
contig_2298	28510	37	N	N	1	*	*,2298,*
contig_2550	28491	45	N	N	1	*	*,2550,*
contig_2443	28396	17	N	N	1	*	*,2443,*
contig_1870	28370	75	N	N	1	*	*,1870,*
contig_2762	28328	6	Y	N	1	*	2762
contig_1385	28216	145	N	Y	1	*	1385
contig_2346	28209	28	N	N	1	*	*,2346,*
contig_2167	28207	419	N	N	3	*	2160,2167,-2394,*
contig_2078	28107	34	N	N	1	*	*,2078,*
contig_2283	28087	46	N	Y	1	326	*,2283,*
contig_1036	28031	25	N	N	1	*	*,1036,*
contig_2472	28013	52	N	N	4	*	*,2472,*
contig_2562	27946	28	N	N	1	*	*,2562,*
contig_2741	27895	39	N	N	1	*	2741,*
contig_1750	27835	16	N	N	1	*	*,1750,*
contig_1555	27749	133	N	Y	1	*	1555,*
contig_1248	27735	91	N	N	1	*	*,1248,*
contig_2159	27680	21	N	N	1	*	*,2159,*
contig_2290	27637	25	N	N	1	*	*,2290,*
contig_1377	27632	84	N	N	1	*	*,1377,-2868,*
contig_2482	27572	29	N	N	1	*	*,2482,*
contig_1231	27549	25	N	N	1	*	*,1231,*
contig_2606	27441	25	N	N	2	*	*,2606,*
contig_1590	27432	50	N	N	1	*	*,1590,-2691
contig_1031	27415	24	N	N	6	*	1028,1031,*
contig_1973	27402	33	N	N	1	*	*,1973,*
contig_74	27396	106	N	N	1	*	74,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569
contig_2439	27361	10	N	N	1	*	*,2439,*
contig_2097	27350	13	N	N	1	*	*,2097,*
contig_2169	27321	5	N	N	1	*	*,2169,*
contig_2253	27321	15	N	N	1	*	*,2253,*
contig_2477	27277	25	N	N	1	*	2477,*
contig_881	27268	194	N	N	1	*	880,881,1897
contig_2857	27258	25	N	N	1	*	*,2857,-2284
contig_2501	27181	22	N	N	1	*	*,2501,*
contig_2592	27181	63	N	N	2	*	*,2592,*
contig_1265	27147	105	N	N	1	*	1257,1265,*
contig_2537	27111	36	N	N	1	*	*,2537,*
contig_2223	27050	15	N	N	1	*	*,2223,*
contig_1788	27049	106	N	N	1	*	-1673,1673,-1675,1671,1788,-1855,1856,1857,-1859,-1860,1858,1859,-1857,-1856,1855
contig_2485	27042	9	N	N	1	*	*,2485,*
contig_1985	27037	21	N	N	1	*	*,1985,*
contig_2843	27011	86	N	N	1	*	2805,2843,2209,*
contig_1556	26968	70	N	N	2	*	1556,*
contig_2130	26918	25	N	N	1	*	*,2130,*
contig_2589	26863	27	N	N	1	*	*,2589,*
contig_2967	26807	3	Y	N	1	*	2967
contig_1974	26723	18	N	N	1	*	*,1974,*
contig_1928	26691	105	N	N	1	*	2815,-1927,1928,2819,-2449
contig_763	26606	31	N	N	1	*	763,*
contig_2430	26551	11	N	N	1	*	*,2430,*
contig_1599	26531	16	N	N	1	*	*,1599,*
contig_2785	26487	441	Y	N	3	*	2785
contig_1419	26421	69	N	N	1	*	-1418,1419,*
contig_1486	26353	15	N	N	1	*	*,1486,*
contig_2208	26353	25	N	N	2	*	*,2208,*
contig_1053	26303	103	N	N	1	*	*,1053,*
contig_1628	26292	32	N	N	1	*	*,1628,*
contig_2387	26233	13	N	N	1	*	*,2387,*
contig_2651	26097	38	N	N	1	*	*,2651,*
contig_898	26092	52	N	N	1	*	-896,898,1109,*
contig_2766	26022	90	N	N	2	*	*,2766,*
contig_896	25986	87	N	Y	1	*	896
