Contig ID,Assembly ID,Length,Topology,Clustering status,Viral Cluster,Cluster Name,Host_crisprdb,Host_beebacterium,Genbank accession
Myoviridae-like_bee-phage_24,BP23_NODE_2_length_42653_cov_45_250447,42653,Circular,Clustered,188_0,Mixed,nan,nan,MN855636
Siphoviridae-like_bee-phage_25,BeeP-11-2013_NODE_15_length_41656_cov_58_291012,41656,Linear,Clustered,112_1,Siphoviridae,nan,nan,MN855775
Unclassified_bee-phage_26,BP32_NODE_2_length_41333_cov_117_683684,41333,Circular,Overlap (VC_168/VC_170),,nan,Bartonella,nan,MN855671
Siphoviridae-like_bee-phage_27,BeeP-35-2013_NODE_4_length_41188_cov_35_826810,41188,Linear,Clustered,471_0,Siphoviridae,nan,nan,MN856006
Myoviridae-like_bee-phage_28,BeeP-37-2013_NODE_2_length_40678_cov_31_109505,40678,Circular,Clustered,49_1,Myoviridae,nan,nan,MN856055
Siphoviridae-like_bee-phage_29,BP10_NODE_2_length_40087_cov_5_014687,40087,Linear,Clustered,167_0,Siphoviridae,Bartonella,nan,MN855585
Unclassified_bee-phage_30,BP46_NODE_1_length_39830_cov_6_667028,39830,Linear,Overlap (VC_168/VC_170),,nan,nan,nan,MN855708
Podoviridae-like_bee-phage_31,BeeP-11-2013_NODE_16_length_39794_cov_119_743586,39794,Linear,Clustered,57_0,Podoviridae,nan,nan,MN855776
Unclassified_bee-phage_32,BP23_NODE_3_length_39647_cov_47_954890,39647,Linear,Outlier,,nan,nan,nan,MN855637
Unclassified_bee-phage_33,BeeP-11-2013_NODE_17_length_39362_cov_35_956828,39362,Circular,Outlier,,nan,nan,nan,MN855777
Myoviridae-like_bee-phage_34,BeeP-11-2013_NODE_18_length_39201_cov_66_867652,39201,Linear,Clustered,558_0,Myoviridae,nan,nan,MN855778
Myoviridae-like_bee-phage_35,BeeP-11-2013_NODE_19_length_38822_cov_25_676758,38822,Linear,Clustered,8_0,Myoviridae,nan,nan,MN855779
Podoviridae-like_bee-phage_36,BeeP-11-2013_NODE_20_length_38757_cov_153_129731,38757,Linear,Clustered,57_0,Podoviridae,nan,nan,MN855780
Podoviridae-like_bee-phage_37,BeeP-25-2013_NODE_1_length_36986_cov_111_018017,36986,Linear,Clustered,633_0,Podoviridae,Gilliamella,Gilliamella,MN855975
Podoviridae-like_bee-phage_38,BeeP-17-2013_NODE_1_length_36113_cov_162_876845,36113,Linear,Clustered,244_0,Podoviridae,nan,Bifidobacterium,MN855954
Unclassified_bee-phage_39,BeeP-11-2013_NODE_21_length_35978_cov_76_160135,35978,Linear,Overlap (VC_237/VC_253),,nan,Gilliamella,nan,MN855781
Unclassified_bee-phage_40,BeeP-40-2013_NODE_1_length_35804_cov_20_796932,35804,Linear,Outlier,,nan,nan,nan,MN856077
Siphoviridae-like_bee-phage_41,BeeP-35-2013_NODE_5_length_35225_cov_48_222915,35225,Linear,Clustered,303_0,Siphoviridae,nan,nan,MN856007
Siphoviridae-like_bee-phage_42,BeeP-35-2013_NODE_6_length_35076_cov_25_069488,35076,Linear,Clustered,133_0,Siphoviridae,nan,Lactobacillus,MN856008
Unclassified_bee-phage_43,BeeP-11-2013_NODE_22_length_34499_cov_23_020423,34499,Linear,Outlier,,nan,nan,nan,MN855782
Myoviridae-like_bee-phage_44,BeeP-48-2013_NODE_2_length_34162_cov_18_012674,34162,Linear,Clustered,261_0,Myoviridae,nan,nan,MN856097
Podoviridae-like_bee-phage_45,BeeP-11-2013_NODE_23_length_33677_cov_17_238929,33677,Linear,Clustered,6_2,Podoviridae,nan,nan,MN855783
Siphoviridae-like_bee-phage_46,BeeP-35-2013_NODE_7_length_33611_cov_14_653814,33611,Linear,Clustered,574_0,Siphoviridae,nan,nan,MN856009
Unclassified_bee-phage_47,BeeP-11-2013_NODE_24_length_32850_cov_182_557074,32850,Linear,Outlier,,nan,nan,nan,MN855784
Myoviridae-like_bee-phage_48,BP18_NODE_1_length_32522_cov_11_534304,32522,Linear,Clustered,49_1,Myoviridae,nan,nan,MN855617
Myoviridae-like_bee-phage_49,BP49_NODE_2_length_32306_cov_7_451888,32306,Linear,Clustered,352_0,Myoviridae,nan,Bifidobacterium,MN855721
Unclassified_bee-phage_50,BP49_NODE_3_length_32202_cov_5_285465,32202,Linear,Overlap (VC_353/VC_354),,nan,Bifidobacterium,Bifidobacterium,MN855722
Podoviridae-like_bee-phage_51   ,BP50_NODE_6_length_32162_cov_68_937486,32162,Linear,Clustered,352_0,Mixed,nan,Bifidobacterium,MN855736
Unclassified_bee-phage_52,BeeP-36-2013_NODE_1_length_32049_cov_19_863443,32049,Circular,Overlap (VC_353/VC_354),,nan,nan,nan,MN856054
Myoviridae-like_bee-phage_53,BeeP-45-2013_NODE_1_length_31866_cov_26_676051,31866,Circular,Clustered,352_0,Myoviridae,Bifidobacterium,Bifidobacterium,MN856090
Unclassified_bee-phage_54,BP50_NODE_7_length_31634_cov_7_148098,31634,Linear,Overlap (VC_168/VC_360),,nan,Bartonella,nan,MN855737
Unclassified_bee-phage_55,BP23_NODE_4_length_30396_cov_3_559339,30396,Linear,Singleton,,nan,nan,nan,MN855638
Siphoviridae-like_bee-phage_56  ,BP33_NODE_2_length_30045_cov_21_759190,30045,Linear,Clustered,188_0,Mixed,Lactobacillus,Lactobacillus,MN855673
Unclassified_bee-phage_57,BeeP-17-2013_NODE_4_length_29347_cov_65_013939,29347,Linear,Overlap (VC_168/VC_360),,nan,Bartonella,nan,MN855955
Unclassified_bee-phage_58,BeeP-35-2013_NODE_8_length_29325_cov_22_671328,29325,Linear,Outlier,,nan,nan,nan,MN856010
Myoviridae-like_bee-phage_59,BeeP-37-2013_NODE_3_length_29184_cov_45_976294,29184,Linear,Clustered,349_0,Myoviridae,nan,Lactobacillus,MN856056
Siphoviridae-like_bee-phage_60  ,BP33_NODE_3_length_28874_cov_15_162731,28874,Linear,Clustered,366_0,Mixed,nan,nan,MN855674
Siphoviridae-like_bee-phage_61,BP33_NODE_4_length_28800_cov_2_678789,28800,Linear,Clustered,103_0,Siphoviridae,nan,nan,MN855675
Siphoviridae-like_bee-phage_62,BeeP-06-2013_NODE_1_length_28373_cov_138_815486,28373,Circular,Clustered,366_0,Siphoviridae,nan,Bifidobacterium,MN855759
Unclassified_bee-phage_63,BP1_NODE_1_length_28117_cov_96_084369,28117,Linear,Outlier,,nan,nan,nan,MN855632
Myoviridae-like_bee-phage_64,BeeP-45-2013_NODE_2_length_27560_cov_75_850817,27560,Linear,Clustered,49_1,Myoviridae,nan,nan,MN856091
Podoviridae-like_bee-phage_65,BeeP-11-2013_NODE_25_length_26816_cov_25_685590,26816,Linear,Clustered,8_0,Podoviridae,nan,nan,MN855785
Podoviridae-like_bee-phage_66,BeeP-17-2013_NODE_5_length_26794_cov_41_354606,26794,Linear,Clustered,130_0,Podoviridae,nan,nan,MN855956
Unclassified_bee-phage_67,BeeP-35-2013_NODE_9_length_26701_cov_21_219050,26701,Linear,Outlier,,nan,nan,nan,MN856011
Siphoviridae-like_bee-phage_68,BeeP-25-2013_NODE_2_length_26455_cov_55_838881,26455,Linear,Clustered,51_0,Siphoviridae,nan,nan,MN855976
Myoviridae-like_bee-phage_69,BeeP-35-2013_NODE_10_length_26028_cov_14_780163,26028,Linear,Clustered,49_1,Myoviridae,nan,nan,MN856012
Unclassified_bee-phage_70,BeeP-11-2013_NODE_26_length_25964_cov_91_289643,25964,Linear,Outlier,,nan,nan,nan,MN855786
Unclassified_bee-phage_71,BeeP-11-2013_NODE_27_length_25922_cov_20_651654,25922,Linear,Outlier,,nan,nan,nan,MN855787
Unclassified_bee-phage_72,BP49_NODE_4_length_25564_cov_9_867154,25564,Linear,Outlier,,nan,Gilliamella,Gilliamella,MN855723
Myoviridae-like_bee-phage_73,BeeP-11-2013_NODE_28_length_25225_cov_122_681565,25225,Linear,Clustered,386_0,Myoviridae,Raoultella,nan,MN855788
Myoviridae-like_bee-phage_74,BeeP-49-2013_NODE_3_length_24640_cov_32_121524,24640,Linear,Clustered,145_0,Myoviridae,nan,nan,MN856101
Unclassified_bee-phage_75,BeeP-11-2013_NODE_29_length_24588_cov_13_021011,24588,Linear,Outlier,,nan,nan,nan,MN855789
Unclassified_bee-phage_76,BeeP-11-2013_NODE_30_length_24504_cov_28_279772,24504,Linear,Outlier,,nan,nan,nan,MN855790
Unclassified_bee-phage_77,BP50_NODE_8_length_24016_cov_11_623729,24016,Linear,Overlap (VC_168/VC_170),,nan,Bartonella,nan,MN855738
Unclassified_bee-phage_78,BeeP-05-2013_NODE_1_length_24014_cov_51_703054,24014,Linear,Overlap (VC_237/VC_253),,nan,nan,Gilliamella,MN855748
Myoviridae-like_bee-phage_79    ,BP43_NODE_1_length_23639_cov_6_635641,23639,Linear,Clustered,188_0,Mixed,nan,nan,MN855701
Myoviridae-like_bee-phage_80,BeeP-35-2013_NODE_12_length_23245_cov_25_396581,23245,Linear,Clustered,101_0,Myoviridae,nan,nan,MN856013
Siphoviridae-like_bee-phage_81,BeeP-35-2013_NODE_13_length_23067_cov_27_053849,23067,Linear,Clustered,471_0,Siphoviridae,nan,nan,MN856014
Unclassified_bee-phage_82,BeeP-11-2013_NODE_31_length_23064_cov_42_765520,23064,Linear,Outlier,,nan,nan,nan,MN855791
Unclassified_bee-phage_83,BeeP-40-2013_NODE_2_length_22889_cov_16_754778,22889,Linear,Singleton,,nan,nan,nan,MN856078
Myoviridae-like_bee-phage_84,BeeP-35-2013_NODE_14_length_22639_cov_16_783663,22639,Linear,Clustered,213_0,Myoviridae,nan,nan,MN856015
Siphoviridae-like_bee-phage_85,BeeP-05-2013_NODE_2_length_22364_cov_11_609414,22364,Linear,Clustered,20_0,Siphoviridae,nan,nan,MN855749
Unclassified_bee-phage_86,BP50_NODE_9_length_21949_cov_6_153656,21949,Linear,Overlap (VC_168/VC_170),,nan,Bartonella,nan,MN855739
Siphoviridae-like_bee-phage_87,BeeP-11-2013_NODE_32_length_21827_cov_13_652920,21827,Linear,Clustered,293_0,Siphoviridae,nan,nan,MN855792
Unclassified_bee-phage_88,BeeP-11-2013_NODE_33_length_21811_cov_17_947686,21811,Linear,Outlier,,nan,nan,nan,MN855793
Unclassified_bee-phage_89,BeeP-11-2013_NODE_34_length_21521_cov_19_731673,21521,Linear,Outlier,,nan,nan,nan,MN855794
Unclassified_bee-phage_90,BP19_NODE_2_length_21493_cov_3_297492,21493,Linear,Overlap (VC_166/VC_181/VC_243/VC_349),,nan,nan,nan,MN855618
Unclassified_bee-phage_91,BeeP-11-2013_NODE_35_length_20898_cov_10_508669,20898,Linear,Outlier,,nan,nan,nan,MN855795
Siphoviridae-like_bee-phage_92,BeeP-11-2013_NODE_36_length_20719_cov_32_903788,20719,Linear,Clustered,44_0,Siphoviridae,Dickeya,nan,MN855796
Unclassified_bee-phage_93,BeeP-35-2013_NODE_16_length_20704_cov_23_947738,20704,Linear,Outlier,,nan,nan,nan,MN856016
Siphoviridae-like_bee-phage_94,BeeP-11-2013_NODE_37_length_20392_cov_20_476298,20392,Linear,Clustered,19_0,Siphoviridae,nan,nan,MN855797
Unclassified_bee-phage_95,BeeP-11-2013_NODE_38_length_20244_cov_16_134576,20244,Linear,Singleton,,nan,nan,nan,MN855798
Myoviridae-like_bee-phage_96,BeeP-49-2013_NODE_4_length_20091_cov_28_633107,20091,Linear,Clustered,100_0,Myoviridae,nan,nan,MN856102
Unclassified_bee-phage_97,BeeP-11-2013_NODE_39_length_20021_cov_15_103891,20021,Linear,Outlier,,nan,nan,nan,MN855799
Unclassified_bee-phage_98,BeeP-11-2013_NODE_40_length_19922_cov_16_914286,19922,Linear,Outlier,,nan,nan,nan,MN855800
Myoviridae-like_bee-phage_99,BeeP-17-2013_NODE_8_length_19907_cov_39_552295,19907,Linear,Clustered,49_1,Myoviridae,nan,nan,MN855957
Myoviridae-like_bee-phage_100,BeeP-38-2013_NODE_2_length_19588_cov_27_430526,19588,Linear,Clustered,213_0,Myoviridae,nan,Lactobacillus,MN856070
Myoviridae-like_bee-phage_101,BP2_NODE_1_length_19461_cov_9_569286,19461,Linear,Clustered,75_0,Myoviridae,nan,nan,MN855666
Myoviridae-like_bee-phage_102,BeeP-25-2013_NODE_4_length_19295_cov_37_789104,19295,Linear,Clustered,49_1,Myoviridae,nan,nan,MN855977
Unclassified_bee-phage_103,BeeP-11-2013_NODE_41_length_18518_cov_23_720568,18518,Linear,Outlier,,nan,nan,nan,MN855801
Unclassified_bee-phage_104,BP33_NODE_5_length_18448_cov_6_639330,18448,Linear,Overlap (VC_91/VC_205),,nan,nan,Bifidobacterium,MN855676
Unclassified_bee-phage_105,BeeP-25-2013_NODE_5_length_17853_cov_62_678330,17853,Linear,Singleton,,nan,nan,nan,MN855978
Unclassified_bee-phage_106,BeeP-17-2013_NODE_9_length_17820_cov_22_369441,17820,Linear,Overlap (VC_181/VC_243/VC_349),,nan,nan,nan,MN855958
Unclassified_bee-phage_107,BeeP-11-2013_NODE_42_length_17741_cov_312_313915,17741,Linear,Singleton,,nan,nan,nan,MN855802
Unclassified_bee-phage_108,BeeP-11-2013_NODE_43_length_17585_cov_13_651988,17585,Linear,Singleton,,nan,nan,nan,MN855803
Podoviridae-like_bee-phage_109,BP19_NODE_3_length_17422_cov_18_925264,17422,Linear,Clustered,207_0,Podoviridae,nan,Lactobacillus,MN855619
Myoviridae-like_bee-phage_110,BP23_NODE_5_length_17242_cov_4_295894,17242,Linear,Clustered,144_0,Mixed,nan,nan,MN855639
Myoviridae-like_bee-phage_111,BeeP-38-2013_NODE_3_length_17236_cov_13_185209,17236,Linear,Clustered,100_0,Myoviridae,nan,nan,MN856071
Siphoviridae-like_bee-phage_112,BeeP-11-2013_NODE_44_length_16844_cov_31_459414,16844,Linear,Clustered,503_0,Mixed,nan,nan,MN855804
Podoviridae-like_bee-phage_113,BeeP-17-2013_NODE_10_length_16751_cov_22_569090,16751,Linear,Clustered,134_0,Podoviridae,nan,nan,MN855959
Unclassified_bee-phage_114,BeeP-11-2013_NODE_45_length_16724_cov_16_161410,16724,Linear,Outlier,,nan,Serratia,nan,MN855805
Siphoviridae-like_bee-phage_115,BeeP-11-2013_NODE_46_length_16464_cov_16_247696,16464,Linear,Clustered,112_1,Siphoviridae,nan,nan,MN855806
Myoviridae-like_bee-phage_116,BeeP-49-2013_NODE_7_length_16289_cov_58_100234,16289,Linear,Clustered,213_0,Myoviridae,Lactobacillus,Lactobacillus,MN856103
Unclassified_bee-phage_117,BP10_NODE_3_length_16289_cov_6_798924,16289,Linear,Outlier,,nan,Bifidobacterium,nan,MN855586
Unclassified_bee-phage_118,BP23_NODE_6_length_16209_cov_4_360144,16209,Linear,Singleton,,nan,nan,nan,MN855640
Myoviridae-like_bee-phage_119,BeeP-35-2013_NODE_18_length_15902_cov_13_453712,15902,Linear,Clustered,462_0,Myoviridae,nan,nan,MN856017
Siphoviridae-like_bee-phage_120,BeeP-11-2013_NODE_48_length_15799_cov_15_347411,15799,Linear,Clustered,496_0,Siphoviridae,nan,nan,MN855807
Siphoviridae-like_bee-phage_121,BeeP-11-2013_NODE_49_length_15694_cov_34_943907,15694,Linear,Clustered,472_0,Siphoviridae,nan,nan,MN855808
Siphoviridae-like_bee-phage_122,BeeP-11-2013_NODE_50_length_15669_cov_13_266419,15669,Linear,Clustered,496_0,Siphoviridae,nan,nan,MN855809
Unclassified_bee-phage_123,BP23_NODE_7_length_15449_cov_12_299909,15449,Linear,Overlap (VC_55/VC_263),,nan,nan,nan,MN855641
Myoviridae-like_bee-phage_124,BeeP-11-2013_NODE_51_length_15417_cov_21_108409,15417,Linear,Clustered,461_0,Myoviridae,nan,nan,MN855810
Myoviridae-like_bee-phage_125,BeeP-35-2013_NODE_19_length_15386_cov_11_359135,15386,Linear,Clustered,588_0,Myoviridae,nan,nan,MN856018
Unclassified_bee-phage_126,BeeP-11-2013_NODE_52_length_15365_cov_20_506149,15365,Linear,Outlier,,nan,nan,nan,MN855811
Unclassified_bee-phage_127,BeeP-35-2013_NODE_20_length_15119_cov_38_743851,15119,Linear,Overlap (VC_177/VC_634),,nan,nan,nan,MN856019
Unclassified_bee-phage_128,BeeP-40-2013_NODE_3_length_15100_cov_12_750183,15100,Linear,Singleton,,nan,nan,nan,MN856079
Siphoviridae-like_bee-phage_129,BP10_NODE_4_length_15037_cov_3_015353,15037,Linear,Clustered,187_0,Siphoviridae,nan,nan,MN855587
Unclassified_bee-phage_130,BP10_NODE_5_length_15008_cov_1_810103,15008,Linear,Overlap (VC_131/VC_190),,nan,nan,nan,MN855588
Podoviridae-like_bee-phage_131,BeeP-17-2013_NODE_11_length_14885_cov_30_525864,14885,Linear,Clustered,156_0,Podoviridae,nan,nan,MN855960
Unclassified_bee-phage_132,BP23_NODE_8_length_14883_cov_5_184934,14883,Linear,Singleton,,nan,nan,nan,MN855642
Unclassified_bee-phage_133,BP10_NODE_7_length_14846_cov_29_379151,14846,Linear,Outlier,,nan,nan,nan,MN855589
Siphoviridae-like_bee-phage_134,BeeP-35-2013_NODE_21_length_14827_cov_14_719051,14827,Linear,Clustered,292_0,Siphoviridae,nan,nan,MN856020
Unclassified_bee-phage_135,BeeP-35-2013_NODE_22_length_14810_cov_20_719745,14810,Linear,Overlap (VC_101/VC_642),,nan,nan,nan,MN856021
Podoviridae-like_bee-phage_136,BP19_NODE_4_length_14639_cov_6_739634,14639,Linear,Clustered,244_0,Podoviridae,nan,nan,MN855620
Siphoviridae-like_bee-phage_137,BeeP-Q2-2013_NODE_1_length_14516_cov_25_692361,14516,Linear,Clustered,112_1,Siphoviridae,nan,nan,MN856119
Unclassified_bee-phage_138,BeeP-35-2013_NODE_24_length_14462_cov_22_028224,14462,Linear,Outlier,,nan,nan,nan,MN856022
Unclassified_bee-phage_139,BeeP-11-2013_NODE_53_length_14306_cov_16_292290,14306,Linear,Outlier,,nan,nan,nan,MN855812
Myoviridae-like_bee-phage_140,BeeP-47-2013_NODE_2_length_14142_cov_93_536438,14142,Linear,Clustered,49_1,Myoviridae,nan,nan,MN856093
Unclassified_bee-phage_141,BeeP-11-2013_NODE_54_length_14128_cov_13_630062,14128,Linear,Outlier,,nan,nan,nan,MN855813
Myoviridae-like_bee-phage_142,BeeP-11-2013_NODE_55_length_14052_cov_203_249589,14052,Linear,Clustered,354_0,Myoviridae,nan,nan,MN855814
Myoviridae-like_bee-phage_143,BP23_NODE_9_length_14015_cov_5_064992,14015,Linear,Clustered,319_0,Mixed,nan,nan,MN855643
Unclassified_bee-phage_144,BeeP-25-2013_NODE_6_length_13913_cov_44_466103,13913,Linear,Overlap (VC_181/VC_243),,nan,nan,nan,MN855979
Unclassified_bee-phage_145,BeeP-17-2013_NODE_12_length_13848_cov_27_818750,13848,Linear,Outlier,,nan,nan,nan,MN855961
Unclassified_bee-phage_146,BeeP-11-2013_NODE_57_length_13737_cov_20_261493,13737,Linear,Outlier,,nan,nan,nan,MN855815
Siphoviridae-like_bee-phage_147,BeeP-35-2013_NODE_25_length_13628_cov_11_213268,13628,Linear,Clustered,311_0,Siphoviridae,nan,Gilliamella,MN856023
Unclassified_bee-phage_148,BP49_NODE_6_length_13426_cov_7_108305,13426,Linear,Overlap (VC_177/VC_634),,nan,nan,Gilliamella,MN855724
Siphoviridae-like_bee-phage_149,BeeP-11-2013_NODE_58_length_13366_cov_20_627662,13366,Linear,Clustered,19_0,Siphoviridae,nan,nan,MN855816
Unclassified_bee-phage_150,BP33_NODE_6_length_13276_cov_4_973090,13276,Linear,Overlap (VC_144/VC_148),,nan,nan,nan,MN855677
Unclassified_bee-phage_151,BeeP-11-2013_NODE_59_length_13251_cov_17_281843,13251,Linear,Singleton,,nan,nan,nan,MN855817
Myoviridae-like_bee-phage_152,BeeP-11-2013_NODE_60_length_13245_cov_11_725015,13245,Linear,Clustered,133_0,Myoviridae,nan,Lactobacillus,MN855818
Cystoviridae-like_bee-phage_153,BeeP-49-2013_NODE_12_length_13086_cov_35_861096,13086,Linear,Clustered,140_0,Cystoviridae,nan,Lactobacillus,MN856104
Unclassified_bee-phage_154,BeeP-35-2013_NODE_26_length_13073_cov_17_861881,13073,Linear,Overlap (VC_177/VC_634),,nan,nan,nan,MN856024
Podoviridae-like_bee-phage_155,BP19_NODE_5_length_13033_cov_6_983581,13033,Linear,Clustered,131_0,Podoviridae,nan,nan,MN855621
Unclassified_bee-phage_156,BeeP-11-2013_NODE_61_length_13003_cov_97_347130,13003,Circular,Singleton,,nan,nan,nan,MN855819
Podoviridae-like_bee-phage_157,BP23_NODE_10_length_12974_cov_4_874971,12974,Linear,Clustered,270_0,Podoviridae,nan,nan,MN855644
Myoviridae-like_bee-phage_158,BP23_NODE_11_length_12964_cov_6_093436,12964,Linear,Clustered,213_0,Myoviridae,Lactobacillus,Lactobacillus,MN855645
Unclassified_bee-phage_159,BeeP-11-2013_NODE_62_length_12962_cov_18_664338,12962,Linear,Singleton,,nan,nan,nan,MN855820
Unclassified_bee-phage_160,BeeP-11-2013_NODE_63_length_12887_cov_17_311085,12887,Linear,Outlier,,nan,nan,nan,MN855821
Unclassified_bee-phage_161,BeeP-37-2013_NODE_7_length_12848_cov_24_651946,12848,Linear,Overlap (VC_181/VC_243),,nan,nan,nan,MN856057
Myoviridae-like_bee-phage_162,BeeP-11-2013_NODE_64_length_12533_cov_18_075064,12533,Linear,Clustered,202_0,Myoviridae,nan,nan,MN855822
Siphoviridae-like_bee-phage_163,BP10_NODE_8_length_12499_cov_3_175634,12499,Linear,Clustered,133_0,Siphoviridae,nan,nan,MN855590
Myoviridae-like_bee-phage_164,BeeP-11-2013_NODE_65_length_12425_cov_14_786119,12425,Linear,Clustered,411_0,Myoviridae,nan,nan,MN855823
Unclassified_bee-phage_165,BeeP-11-2013_NODE_66_length_12420_cov_71_511383,12420,Linear,Overlap (VC_55/VC_263),,nan,Gilliamella,nan,MN855824
Unclassified_bee-phage_166,BeeP-11-2013_NODE_67_length_12287_cov_48_102621,12287,Linear,Overlap (VC_55/VC_263),,nan,nan,nan,MN855825
Podoviridae-like_bee-phage_167,BP19_NODE_6_length_12229_cov_13_883961,12229,Linear,Clustered,249_0,Podoviridae,nan,nan,MN855622
Unclassified_bee-phage_168,BeeP-05-2013_NODE_3_length_12110_cov_24_977562,12110,Linear,Overlap (VC_268/VC_503/VC_634),,nan,Gilliamella,nan,MN855750
Unclassified_bee-phage_169,BP10_NODE_9_length_11931_cov_2_042083,11931,Linear,Singleton,,nan,nan,nan,MN855591
Myoviridae-like_bee-phage_170,BeeP-11-2013_NODE_69_length_11839_cov_37_833447,11839,Linear,Clustered,44_0,Myoviridae,Dickeya,nan,MN855826
Myoviridae-like_bee-phage_171   ,BeeP-11-2013_NODE_70_length_11802_cov_32_058849,11802,Linear,Clustered,13_0,Mixed,nan,nan,MN855827
Podoviridae-like_bee-phage_172,BP19_NODE_7_length_11792_cov_3_579985,11792,Linear,Clustered,130_0,Podoviridae,nan,nan,MN855623
Unclassified_bee-phage_173,BP10_NODE_10_length_11747_cov_2_158782,11747,Linear,Clustered,127_0,nan,nan,nan,MN855592
Unclassified_bee-phage_174,BeeP-40-2013_NODE_4_length_11741_cov_15_922068,11741,Linear,Singleton,,nan,nan,nan,MN856080
Unclassified_bee-phage_175,BeeP-11-2013_NODE_71_length_11668_cov_13_552325,11668,Linear,Outlier,,nan,nan,nan,MN855828
Unclassified_bee-phage_176,BeeP-25-2013_NODE_8_length_11658_cov_42_537346,11658,Linear,Outlier,,nan,nan,nan,MN855980
Unclassified_bee-phage_177,BeeP-11-2013_NODE_72_length_11642_cov_84_619109,11642,Linear,Singleton,,nan,nan,nan,MN855829
Myoviridae-like_bee-phage_178   ,BP45_NODE_2_length_11591_cov_2_429730,11591,Linear,Clustered,383_0,Mixed,nan,nan,MN855705
Unclassified_bee-phage_179,BeeP-11-2013_NODE_73_length_11536_cov_15_476918,11536,Linear,Outlier,,nan,nan,nan,MN855830
