,Major capsid,Minor capsid,Baseplate,Major tail,Minor tail,Portal,Tail fiber,Tail shaft,Collar,HTJ,Other,Confidence
contig_1368_phanotate_3_geneCall,0.92,0.74,0.14,0.37,0.15,0.16,0.68,0.07,0.48,0.73,5.55,0.98
contig_1368_phanotate_4_geneCall,0.38,1.46,0.44,0.47,0.45,1.08,1.30,0.21,0.41,0.67,3.12,0.97
contig_1368_phanotate_5_geneCall,0.02,0.07,0.02,0.03,0.14,0.08,0.03,0.02,0.13,0.06,9.41,1.00
contig_1368_phanotate_6_geneCall,0.13,0.65,0.15,0.16,0.99,3.49,0.72,0.12,0.11,0.25,3.23,0.86
contig_1368_phanotate_7_geneCall,0.02,0.09,0.39,0.02,0.02,8.08,0.05,0.02,0.07,0.35,0.88,0.99
contig_1368_phanotate_8_geneCall,0.26,1.09,0.30,4.29,0.44,0.24,0.88,0.25,0.44,0.21,1.59,0.76
contig_1368_phanotate_9_geneCall,0.03,0.06,0.07,0.25,0.08,0.52,0.05,0.02,0.14,0.07,8.71,1.00
contig_1368_phanotate_10_geneCall,0.21,0.94,0.14,0.09,0.11,1.00,0.38,0.10,0.23,0.18,6.63,0.98
contig_1368_phanotate_11_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_1368_phanotate_12_geneCall,0.75,2.34,0.37,0.11,0.65,0.62,2.99,0.14,0.75,0.22,1.06,0.45
contig_1368_phanotate_13_geneCall,0.04,0.93,0.46,0.10,0.19,0.77,0.44,0.12,0.16,0.44,6.35,0.98
contig_1368_phanotate_14_geneCall,0.00,0.03,0.01,0.00,0.01,0.06,0.18,0.00,0.03,0.01,9.67,1.00
contig_1368_phanotate_15_geneCall,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.00,9.95,1.00
contig_1368_phanotate_16_geneCall,0.13,1.96,0.17,0.40,0.10,0.15,0.17,0.24,0.32,1.03,5.33,0.98
contig_1368_phanotate_17_geneCall,0.04,0.05,0.12,0.02,0.03,0.31,0.13,0.05,0.54,0.07,8.64,1.00
contig_1368_phanotate_18_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_1368_phanotate_19_geneCall,0.27,0.95,0.36,0.02,0.21,0.08,0.33,0.04,0.12,0.09,7.53,0.99
contig_1368_phanotate_20_geneCall,0.09,0.28,1.16,0.09,0.17,0.31,0.35,0.14,0.21,0.23,6.97,0.99
contig_1368_phanotate_21_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_1368_phanotate_22_geneCall,0.00,0.03,0.02,0.00,0.01,0.02,0.01,0.00,0.00,0.62,9.28,1.00
contig_1368_phanotate_23_geneCall,0.00,0.16,0.00,0.00,0.00,0.01,0.04,0.00,0.00,0.05,9.73,1.00
contig_1368_phanotate_24_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_1368_phanotate_25_geneCall,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_1368_phanotate_26_geneCall,0.00,0.01,0.04,0.01,9.30,0.01,0.02,0.00,0.00,0.01,0.60,0.98
contig_1368_phanotate_27_geneCall,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99
contig_1368_phanotate_28_geneCall,0.01,0.03,0.02,0.03,3.51,0.04,0.44,0.01,0.03,0.05,5.82,0.98
contig_1368_phanotate_29_geneCall,0.54,0.42,0.34,0.91,0.46,0.37,0.74,0.44,0.42,0.54,4.84,0.98
contig_1368_phanotate_30_geneCall,0.00,0.04,0.05,0.01,0.05,0.02,9.57,0.01,0.18,0.01,0.04,0.97
contig_1368_phanotate_31_geneCall,0.30,0.03,0.04,0.00,0.01,1.07,0.08,0.00,4.52,0.00,3.95,0.81
contig_1368_phanotate_32_geneCall,0.30,0.96,1.10,0.48,0.57,0.55,1.37,0.18,0.32,2.66,1.51,0.59
contig_1370_phanotate_1_geneCall,0.13,1.02,0.15,0.04,0.05,0.42,0.13,0.08,0.22,0.27,7.49,0.99
contig_1370_phanotate_2_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_1370_phanotate_3_geneCall,0.04,0.90,0.07,0.08,0.07,0.12,0.18,0.01,0.06,0.13,8.34,0.99
contig_1370_phanotate_4_geneCall,0.15,2.58,0.17,0.12,0.07,0.25,0.21,0.07,0.08,0.13,6.18,0.98
contig_1370_phanotate_5_geneCall,0.10,2.28,0.09,0.10,0.11,0.60,0.30,0.10,0.24,0.17,5.90,0.98
contig_1370_phanotate_6_geneCall,0.04,0.90,0.07,0.08,0.07,0.12,0.18,0.01,0.06,0.13,8.34,0.99
contig_1370_phanotate_7_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_1370_phanotate_8_geneCall,0.39,0.51,1.46,0.12,0.22,0.33,0.34,0.16,0.49,0.47,5.51,0.98
contig_1370_phanotate_9_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_1370_phanotate_10_geneCall,0.00,0.00,0.00,0.01,9.95,0.00,0.00,0.00,0.00,0.00,0.02,0.99
contig_1370_phanotate_11_geneCall,0.36,0.86,0.08,0.02,5.61,0.03,0.24,0.02,0.01,0.15,2.63,0.88
contig_1370_phanotate_12_geneCall,0.00,0.00,0.00,0.00,0.58,0.00,0.00,0.00,0.00,0.00,9.42,1.00
contig_1370_phanotate_13_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,9.93,1.00
contig_1370_phanotate_14_geneCall,0.14,0.76,0.66,0.09,0.43,0.10,1.75,0.46,0.31,0.77,4.54,0.98
contig_1370_phanotate_15_geneCall,0.01,0.05,0.04,0.04,2.99,0.03,0.31,0.02,0.03,0.03,6.45,0.98
contig_1370_phanotate_16_geneCall,0.35,0.60,0.38,0.98,1.06,0.48,1.14,0.26,0.83,0.56,3.35,0.97
contig_1370_phanotate_17_geneCall,0.01,0.03,0.06,0.01,0.05,0.01,9.63,0.00,0.16,0.01,0.03,0.97
contig_1371_phanotate_1_geneCall,0.18,0.16,0.36,0.32,0.30,0.07,4.42,0.15,0.36,0.15,3.52,0.59
contig_1371_phanotate_2_geneCall,0.01,0.03,0.01,0.01,0.01,0.02,0.09,0.01,0.67,0.02,9.12,1.00
contig_1371_phanotate_3_geneCall,0.02,0.20,0.04,0.01,0.04,0.27,0.08,0.03,0.06,0.17,9.09,1.00
contig_1371_phanotate_4_geneCall,0.00,0.03,0.00,0.00,0.09,0.01,0.01,0.00,0.01,0.00,9.85,1.00
contig_1371_phanotate_5_geneCall,0.25,0.07,0.03,0.02,0.07,0.04,0.06,0.01,0.08,0.21,9.16,1.00
contig_1371_phanotate_6_geneCall,5.28,0.21,0.74,0.35,0.17,0.45,0.14,0.11,0.07,0.16,2.33,0.93
contig_1371_phanotate_7_geneCall,0.86,1.38,1.72,0.86,0.37,0.55,1.06,0.34,0.84,0.53,1.50,0.69
contig_1371_phanotate_8_geneCall,0.00,0.01,0.02,0.00,0.00,0.00,0.02,0.00,0.01,0.00,9.94,1.00
contig_1371_phanotate_9_geneCall,0.01,0.03,0.09,0.01,0.10,0.09,0.13,0.02,0.04,1.92,7.56,0.99
contig_1371_phanotate_10_geneCall,0.24,0.48,0.24,0.12,1.83,0.71,0.48,0.22,0.09,0.91,4.69,0.98
contig_1371_phanotate_11_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.98,1.00
contig_1371_phanotate_12_geneCall,0.38,0.52,1.54,0.24,0.38,0.28,0.80,0.30,0.51,0.37,4.68,0.98
contig_1371_phanotate_13_geneCall,0.00,0.10,0.01,0.00,0.06,0.06,0.12,0.01,0.03,0.11,9.50,1.00
contig_1371_phanotate_14_geneCall,0.28,0.38,3.00,1.05,0.64,0.27,0.82,0.16,0.51,0.35,2.55,0.77
contig_1371_phanotate_15_geneCall,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.03,9.93,1.00
contig_1371_phanotate_16_geneCall,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.81,9.16,1.00
contig_1371_phanotate_17_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_1371_phanotate_18_geneCall,0.01,0.11,0.33,0.01,0.10,0.15,0.12,0.01,0.19,0.07,8.90,1.00
contig_1371_phanotate_19_geneCall,0.12,0.44,0.16,0.17,0.15,0.14,0.32,0.10,0.23,0.22,7.96,0.99
contig_1371_phanotate_20_geneCall,0.08,0.50,0.87,0.19,0.27,0.13,0.21,0.10,0.11,0.52,7.01,0.99
contig_1371_phanotate_21_geneCall,0.01,0.72,0.43,1.02,0.15,0.04,0.10,0.01,0.06,0.12,7.35,0.99
contig_138_phanotate_1_geneCall,1.47,0.43,0.28,3.71,0.41,0.26,0.68,0.16,0.69,0.47,1.45,0.70
contig_138_phanotate_2_geneCall,0.01,0.03,0.01,0.00,0.01,7.54,0.01,0.00,0.03,0.10,2.26,0.99
contig_138_phanotate_3_geneCall,0.98,0.30,0.22,0.21,0.52,0.35,4.25,0.35,0.64,0.95,1.22,0.57
contig_138_phanotate_4_geneCall,0.05,0.21,0.05,0.02,0.04,0.14,0.13,0.06,0.16,0.14,9.00,1.00
contig_138_phanotate_5_geneCall,0.01,0.03,0.01,0.00,0.01,7.54,0.01,0.00,0.03,0.10,2.26,0.99
contig_138_phanotate_6_geneCall,0.97,0.49,0.33,3.79,0.41,0.26,0.61,0.22,0.74,0.35,1.82,0.71
contig_138_phanotate_7_geneCall,0.25,0.87,0.47,0.49,0.40,0.74,0.40,0.26,0.26,0.27,5.60,0.98
contig_138_phanotate_8_geneCall,0.63,0.28,0.02,0.14,0.50,0.03,0.25,0.03,0.04,0.07,7.98,0.99
contig_138_phanotate_9_geneCall,0.01,0.07,0.02,0.04,0.02,1.17,0.06,0.02,0.31,0.06,8.23,0.99
contig_138_phanotate_10_geneCall,0.00,0.01,0.00,0.00,0.03,0.01,0.02,0.00,0.00,0.00,9.93,1.00
contig_138_phanotate_11_geneCall,0.01,0.30,0.02,0.01,0.01,0.50,0.04,0.01,0.06,0.19,8.85,1.00
contig_138_phanotate_12_geneCall,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_138_phanotate_13_geneCall,0.48,1.00,0.19,0.34,0.42,0.40,0.97,0.25,0.88,0.48,4.60,0.98
contig_138_phanotate_14_geneCall,0.05,0.27,0.19,0.03,0.06,0.17,0.26,0.11,0.22,0.36,8.27,0.99
contig_138_phanotate_15_geneCall,0.23,0.21,0.60,0.07,0.17,0.70,0.11,0.04,0.26,1.88,5.75,0.98
contig_138_phanotate_16_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_138_phanotate_17_geneCall,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,9.97,1.00
contig_138_phanotate_18_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_138_phanotate_19_geneCall,0.00,0.03,0.01,0.00,0.01,0.00,0.01,0.00,0.00,4.78,5.15,0.98
contig_138_phanotate_20_geneCall,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,9.95,1.00
contig_138_phanotate_21_geneCall,0.46,1.47,0.86,0.11,0.34,0.35,2.09,0.10,1.43,1.50,1.27,0.37
contig_138_phanotate_22_geneCall,0.01,0.13,0.01,0.00,0.02,0.01,0.08,0.01,0.15,0.04,9.54,1.00
contig_138_phanotate_23_geneCall,0.03,0.16,0.02,0.01,0.01,0.02,0.04,0.00,0.01,0.15,9.54,1.00
contig_138_phanotate_24_geneCall,0.00,0.00,0.00,0.07,0.01,0.00,0.00,0.00,0.00,0.08,9.84,1.00
contig_138_phanotate_25_geneCall,0.05,0.98,0.05,0.06,0.09,0.25,0.36,0.02,0.12,2.46,5.56,0.98
contig_138_phanotate_26_geneCall,0.16,0.32,0.26,0.15,0.31,0.13,5.00,0.16,0.97,0.19,2.35,0.65
contig_138_phanotate_27_geneCall,0.68,0.79,0.49,0.56,0.44,0.56,0.61,0.27,0.72,1.15,3.74,0.97
contig_138_phanotate_28_geneCall,0.05,0.27,0.19,0.03,0.06,0.17,0.26,0.11,0.22,0.36,8.27,0.99
contig_138_phanotate_29_geneCall,0.59,1.00,0.17,0.33,0.41,0.32,1.08,0.24,1.04,0.44,4.39,0.98
contig_138_phanotate_30_geneCall,0.23,0.14,0.16,0.28,0.17,0.09,4.34,0.08,1.01,0.06,3.46,0.57
contig_138_phanotate_31_geneCall,0.01,0.04,0.00,0.03,0.00,0.07,0.01,0.01,0.44,0.01,9.36,1.00
contig_138_phanotate_32_geneCall,0.33,0.26,0.01,0.01,0.23,0.02,0.11,0.06,0.01,0.96,8.00,0.99
contig_138_phanotate_33_geneCall,0.11,4.33,0.07,0.05,0.12,0.12,0.57,0.05,0.13,0.12,4.32,0.12
contig_138_phanotate_34_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,9.96,1.00
contig_138_phanotate_35_geneCall,0.24,1.00,0.29,0.19,0.31,2.68,0.52,0.26,0.23,0.44,3.84,0.97
contig_138_phanotate_36_geneCall,0.00,0.05,0.31,0.03,0.94,0.01,0.10,0.00,0.80,0.02,7.72,0.99
contig_138_phanotate_37_geneCall,0.36,0.75,0.21,0.33,0.44,2.95,0.56,0.18,0.52,0.40,3.29,0.97
contig_138_phanotate_38_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,9.96,1.00
contig_138_phanotate_39_geneCall,0.43,4.21,0.05,0.20,0.42,0.13,0.28,0.05,0.18,0.08,3.96,0.12
contig_138_phanotate_40_geneCall,0.11,0.38,0.11,0.07,0.24,0.18,0.27,0.10,1.09,0.28,7.17,0.99
contig_138_phanotate_41_geneCall,0.37,0.31,0.02,0.01,0.04,0.47,0.05,0.02,0.06,2.19,6.46,0.98
contig_138_phanotate_42_geneCall,0.43,2.02,0.19,0.53,0.51,0.59,0.76,0.22,1.10,0.39,3.27,0.97
contig_138_phanotate_43_geneCall,0.72,0.78,0.12,0.05,0.05,2.07,0.09,1.36,0.03,1.20,3.52,0.97
contig_138_phanotate_44_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_138_phanotate_45_geneCall,0.00,0.20,0.00,0.00,0.01,0.05,0.03,0.00,0.05,2.21,7.42,0.99
contig_138_phanotate_46_geneCall,0.00,0.01,0.00,0.00,0.00,0.90,0.00,0.00,0.02,0.03,9.04,1.00
contig_138_phanotate_47_geneCall,0.00,0.08,0.00,0.00,0.00,0.01,0.01,0.00,0.02,3.55,6.30,0.98
contig_138_phanotate_48_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_138_phanotate_49_geneCall,0.72,0.78,0.12,0.05,0.05,2.07,0.09,1.36,0.03,1.20,3.52,0.97
contig_138_phanotate_50_geneCall,0.48,2.57,0.21,0.48,0.41,0.68,0.71,0.28,0.83,0.35,3.01,0.96
contig_138_phanotate_51_geneCall,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.96,1.00
contig_138_phanotate_52_geneCall,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.03,9.91,1.00
contig_138_phanotate_53_geneCall,0.13,0.76,0.33,0.12,0.26,0.94,0.34,0.14,0.32,0.65,6.03,0.98
contig_138_phanotate_54_geneCall,0.00,0.04,0.01,0.01,0.01,0.02,0.01,0.00,0.01,0.12,9.77,1.00
contig_138_phanotate_55_geneCall,0.00,0.01,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,9.95,1.00
contig_138_phanotate_56_geneCall,0.03,1.23,0.03,0.02,0.10,0.48,0.13,0.04,0.03,0.22,7.70,0.99
contig_138_phanotate_57_geneCall,0.00,0.00,0.01,0.00,0.00,0.00,0.03,0.00,0.00,0.00,9.96,1.00
contig_138_phanotate_58_geneCall,0.00,0.07,0.01,0.00,0.04,0.05,0.04,0.00,0.02,0.20,9.56,1.00
contig_138_phanotate_59_geneCall,0.01,0.24,0.03,0.00,0.03,0.24,0.18,0.00,0.11,0.14,9.01,1.00
contig_138_phanotate_60_geneCall,0.37,0.31,0.02,0.01,0.04,0.47,0.05,0.02,0.06,2.19,6.46,0.98
contig_138_phanotate_61_geneCall,0.02,0.14,0.03,0.03,0.05,0.15,0.19,0.07,0.43,0.08,8.81,1.00
contig_138_phanotate_62_geneCall,0.37,2.21,0.07,0.13,0.32,0.15,0.33,0.09,0.22,0.17,5.95,0.98
contig_138_phanotate_63_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,9.99,1.00
contig_138_phanotate_64_geneCall,0.15,1.90,0.21,0.19,0.28,1.11,0.42,0.14,0.25,0.31,5.05,0.98
contig_138_phanotate_65_geneCall,0.54,0.22,0.36,0.12,0.93,0.72,2.66,0.07,1.19,0.17,3.01,0.96
contig_138_phanotate_66_geneCall,0.35,0.81,1.25,0.83,0.22,0.19,0.63,0.13,0.46,0.69,4.43,0.98
contig_138_phanotate_67_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_138_phanotate_68_geneCall,0.06,0.09,0.07,0.05,0.21,0.23,1.09,0.04,0.33,0.05,7.79,0.99
contig_138_phanotate_69_geneCall,0.15,1.93,0.24,0.19,0.27,1.34,0.45,0.14,0.28,0.34,4.67,0.98
contig_138_phanotate_70_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,9.99,1.00
contig_138_phanotate_71_geneCall,0.37,2.21,0.07,0.13,0.32,0.15,0.33,0.09,0.22,0.17,5.95,0.98
contig_138_phanotate_72_geneCall,0.02,0.14,0.03,0.03,0.05,0.15,0.19,0.07,0.43,0.08,8.81,1.00
contig_138_phanotate_73_geneCall,0.37,0.31,0.02,0.01,0.04,0.47,0.05,0.02,0.06,2.19,6.46,0.98
contig_138_phanotate_74_geneCall,0.01,0.49,0.03,0.10,0.08,0.09,0.15,0.03,1.22,0.05,7.76,0.99
contig_138_phanotate_75_geneCall,0.00,0.07,0.01,0.00,0.04,0.05,0.04,0.00,0.02,0.20,9.56,1.00
contig_138_phanotate_76_geneCall,0.11,0.92,0.06,0.05,0.10,0.13,0.23,0.11,0.04,0.15,8.09,0.99
contig_138_phanotate_77_geneCall,0.00,0.01,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,9.96,1.00
contig_138_phanotate_78_geneCall,0.08,0.30,1.19,0.10,0.20,1.01,0.49,0.08,0.10,2.34,4.10,0.97
contig_138_phanotate_79_geneCall,0.20,0.88,0.33,0.13,0.30,0.81,0.40,0.16,0.29,0.65,5.85,0.98
contig_138_phanotate_80_geneCall,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.02,9.94,1.00
contig_138_phanotate_81_geneCall,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.00,0.00,9.97,1.00
contig_138_phanotate_82_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_138_phanotate_83_geneCall,0.21,0.77,0.37,0.36,0.70,1.34,1.54,0.21,0.49,0.47,3.55,0.97
contig_138_phanotate_84_geneCall,0.06,1.18,0.07,0.06,0.15,0.59,0.20,0.03,0.03,1.07,6.56,0.98
contig_138_phanotate_85_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_138_phanotate_86_geneCall,0.00,0.18,0.00,0.00,0.01,0.04,0.01,0.00,0.02,4.27,5.47,0.98
contig_138_phanotate_87_geneCall,0.00,0.02,0.13,0.06,0.01,0.04,0.03,0.03,0.02,0.48,9.19,1.00
contig_138_phanotate_88_geneCall,0.01,0.15,0.02,0.04,0.06,0.10,0.13,0.02,0.03,0.22,9.22,1.00
contig_138_phanotate_89_geneCall,0.01,0.07,0.01,0.00,0.01,0.02,0.02,0.01,0.04,0.03,9.79,1.00
contig_138_phanotate_90_geneCall,0.02,0.12,0.05,0.04,0.06,0.14,0.33,0.03,0.05,0.13,9.03,1.00
contig_138_phanotate_91_geneCall,0.52,0.28,0.05,0.03,0.15,2.50,0.29,0.02,0.24,0.45,5.47,0.98
contig_138_phanotate_92_geneCall,0.17,0.33,0.91,0.10,0.33,1.18,0.40,0.17,0.26,3.19,2.96,0.62
contig_138_phanotate_93_geneCall,1.51,0.80,0.53,0.15,0.58,0.58,2.06,0.15,0.46,0.98,2.19,0.96
contig_138_phanotate_94_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,9.98,1.00
contig_138_phanotate_95_geneCall,0.35,0.87,0.52,0.25,0.40,0.33,0.47,0.28,0.18,0.58,5.76,0.98
contig_138_phanotate_96_geneCall,0.00,0.10,0.04,0.01,0.09,0.08,0.20,0.01,0.01,0.20,9.27,1.00
contig_138_phanotate_97_geneCall,0.05,3.13,0.05,0.12,0.05,0.04,0.11,0.01,0.11,0.92,5.41,0.98
contig_138_phanotate_98_geneCall,0.01,0.06,0.03,0.01,0.24,0.05,0.07,0.00,0.01,0.03,9.49,1.00
contig_138_phanotate_99_geneCall,0.10,0.20,0.12,0.05,0.05,0.34,0.72,0.03,0.99,1.34,6.07,0.98
contig_138_phanotate_100_geneCall,0.00,0.06,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.44,9.49,1.00
contig_138_phanotate_101_geneCall,0.00,0.01,0.00,0.00,0.01,0.01,0.02,0.00,0.00,0.76,9.19,1.00
contig_138_phanotate_102_geneCall,0.00,0.69,0.00,0.00,0.01,0.01,0.02,0.00,0.01,0.48,8.77,1.00
contig_138_phanotate_103_geneCall,0.05,0.20,0.19,0.12,0.16,0.20,1.52,0.10,2.32,0.06,5.06,0.98
contig_138_phanotate_104_geneCall,0.11,4.58,0.48,0.00,0.17,1.57,1.07,0.01,0.15,0.03,1.83,0.14
contig_138_phanotate_105_geneCall,0.10,0.14,0.06,0.18,0.90,3.04,0.10,0.03,0.23,1.43,3.78,0.97
contig_138_phanotate_106_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_138_phanotate_107_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_138_phanotate_108_geneCall,0.00,0.04,0.02,0.00,0.01,0.01,0.01,0.00,0.02,0.14,9.75,1.00
contig_138_phanotate_109_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
