,Major capsid,Minor capsid,Baseplate,Major tail,Minor tail,Portal,Tail fiber,Tail shaft,Collar,HTJ,Other,Confidence
contig_2499_phanotate_56_geneCall,0.01,0.51,0.01,0.01,0.00,0.08,0.03,0.01,0.09,0.10,9.16,1.00
contig_2499_phanotate_57_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2499_phanotate_58_geneCall,0.07,0.01,0.01,0.03,0.07,0.03,0.06,0.01,0.02,0.01,9.69,1.00
contig_2499_phanotate_59_geneCall,0.00,0.03,0.01,0.00,0.02,0.02,0.06,0.06,0.01,0.01,9.79,1.00
contig_2499_phanotate_60_geneCall,0.02,0.27,0.19,0.04,0.10,0.06,0.21,0.02,0.03,0.15,8.91,1.00
contig_2499_phanotate_61_geneCall,0.08,5.42,0.12,0.01,0.05,1.30,0.10,0.02,0.04,0.37,2.50,0.18
contig_2499_phanotate_62_geneCall,0.07,0.55,0.11,0.21,0.14,0.55,0.14,0.05,0.07,0.22,7.88,0.99
contig_2499_phanotate_63_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2499_phanotate_64_geneCall,0.01,0.11,0.11,0.08,0.22,0.04,0.08,0.01,0.04,0.89,8.43,0.99
contig_2499_phanotate_65_geneCall,0.06,0.31,0.15,0.18,0.17,0.31,0.32,0.06,0.19,1.15,7.10,0.99
contig_2499_phanotate_66_geneCall,0.03,0.05,0.10,0.01,0.17,0.34,0.28,0.02,0.11,2.40,6.49,0.98
contig_2499_phanotate_67_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2499_phanotate_68_geneCall,0.08,0.20,0.03,0.08,0.03,3.54,0.04,0.05,0.17,0.13,5.64,0.98
contig_2499_phanotate_69_geneCall,0.01,0.29,0.06,0.01,0.08,0.32,0.09,0.02,0.06,0.63,8.42,0.99
contig_2499_phanotate_70_geneCall,0.17,3.46,0.32,0.18,0.37,0.56,0.46,0.10,0.23,0.34,3.82,0.97
contig_2499_phanotate_71_geneCall,0.03,0.23,0.04,0.02,0.06,0.41,0.19,0.05,0.37,0.26,8.34,0.99
contig_2499_phanotate_72_geneCall,0.11,0.37,0.26,0.14,0.12,0.88,0.16,0.03,0.25,0.17,7.50,0.99
contig_2500_phanotate_1_geneCall,0.02,0.23,0.02,0.02,0.06,0.07,0.06,0.01,0.07,0.50,8.95,1.00
contig_2500_phanotate_2_geneCall,0.17,0.15,0.13,0.69,0.27,0.10,0.40,0.11,0.10,0.62,7.27,0.99
contig_2500_phanotate_3_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,9.98,1.00
contig_2500_phanotate_4_geneCall,0.00,0.02,0.03,0.01,0.01,0.01,0.03,0.00,0.07,0.04,9.77,1.00
contig_2500_phanotate_5_geneCall,0.03,0.12,0.12,0.14,0.05,0.04,0.24,0.08,0.26,0.06,8.86,1.00
contig_2500_phanotate_6_geneCall,0.09,2.99,0.39,0.09,0.47,0.23,0.16,0.04,0.08,0.30,5.17,0.98
contig_2500_phanotate_7_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_2500_phanotate_8_geneCall,0.10,0.48,0.44,0.06,0.19,0.07,0.17,0.22,0.05,0.30,7.93,0.99
contig_2500_phanotate_9_geneCall,0.03,5.49,0.04,0.02,0.07,0.30,0.27,0.01,0.03,0.49,3.24,0.18
contig_2500_phanotate_10_geneCall,0.01,0.20,0.01,0.01,0.02,0.22,0.05,0.02,0.15,0.07,9.25,1.00
contig_2500_phanotate_11_geneCall,0.00,0.03,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,9.94,1.00
contig_2500_phanotate_12_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2500_phanotate_13_geneCall,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.00,0.01,0.01,9.95,1.00
contig_2500_phanotate_14_geneCall,0.15,0.03,0.02,0.24,0.08,0.69,0.03,0.02,0.01,0.19,8.53,0.99
contig_2500_phanotate_15_geneCall,0.00,0.07,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.06,9.85,1.00
contig_2500_phanotate_16_geneCall,0.00,0.03,0.01,0.01,0.03,0.01,0.01,0.00,0.02,0.01,9.88,1.00
contig_2500_phanotate_17_geneCall,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.03,9.94,1.00
contig_2500_phanotate_18_geneCall,0.04,0.19,0.04,0.11,0.11,0.10,0.10,0.04,0.18,0.08,9.03,1.00
contig_2500_phanotate_19_geneCall,0.03,0.13,0.07,0.03,0.07,0.12,0.09,0.04,0.10,0.18,9.15,1.00
contig_2500_phanotate_20_geneCall,0.26,0.56,0.09,0.28,0.37,0.52,0.96,0.06,0.19,0.26,6.45,0.98
contig_2500_phanotate_21_geneCall,0.01,0.08,0.06,0.03,0.09,0.08,0.02,0.02,0.02,1.79,7.81,0.99
contig_2500_phanotate_22_geneCall,0.00,0.08,0.01,0.00,0.03,0.01,0.01,0.00,0.00,0.11,9.76,1.00
contig_2500_phanotate_23_geneCall,0.01,0.07,0.04,0.01,0.02,0.06,0.04,0.02,0.04,0.83,8.87,1.00
contig_2500_phanotate_24_geneCall,0.08,1.20,0.03,0.09,0.11,0.23,0.26,0.02,0.04,0.09,7.85,0.99
contig_2500_phanotate_25_geneCall,0.00,0.01,0.00,0.00,0.01,0.04,0.02,0.00,0.01,0.02,9.89,1.00
contig_2500_phanotate_26_geneCall,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,9.97,1.00
contig_2500_phanotate_27_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2500_phanotate_28_geneCall,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.02,0.00,9.95,1.00
contig_2500_phanotate_29_geneCall,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.08,9.88,1.00
contig_2500_phanotate_30_geneCall,0.00,0.05,0.01,0.01,0.05,0.01,0.02,0.00,0.01,0.01,9.83,1.00
contig_2500_phanotate_31_geneCall,0.00,0.03,0.00,0.00,0.05,0.00,0.02,0.00,0.00,0.10,9.78,1.00
contig_2500_phanotate_32_geneCall,0.03,0.03,0.00,0.02,0.09,0.10,0.02,0.00,0.01,0.04,9.65,1.00
contig_2500_phanotate_33_geneCall,0.06,0.29,0.61,0.46,0.25,0.24,0.15,0.05,0.16,0.66,7.05,0.99
contig_2500_phanotate_34_geneCall,0.00,0.01,0.00,0.21,0.00,0.03,0.01,0.00,0.01,1.80,7.93,0.99
contig_2500_phanotate_35_geneCall,0.00,0.39,0.00,0.00,0.02,0.04,0.00,0.00,0.00,0.01,9.54,1.00
contig_2500_phanotate_36_geneCall,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,9.95,1.00
contig_2500_phanotate_37_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2500_phanotate_38_geneCall,0.18,0.22,0.06,0.03,0.13,0.37,0.26,0.04,0.51,0.16,8.03,0.99
contig_2500_phanotate_39_geneCall,0.00,0.01,0.01,0.00,0.01,0.00,0.02,0.00,0.00,0.02,9.93,1.00
contig_2500_phanotate_40_geneCall,0.19,0.45,0.10,0.11,0.15,4.18,0.18,0.09,0.28,0.46,3.81,0.89
contig_2500_phanotate_41_geneCall,0.00,0.01,0.00,0.00,0.02,0.05,1.74,0.00,0.02,0.10,8.06,0.99
contig_2500_phanotate_42_geneCall,0.08,0.21,0.28,0.01,0.16,0.02,0.83,0.04,0.24,1.44,6.69,0.98
contig_2500_phanotate_43_geneCall,0.03,0.13,0.08,0.04,0.10,0.17,0.26,0.04,0.08,1.35,7.72,0.99
contig_2500_phanotate_44_geneCall,0.00,0.33,0.01,0.02,0.02,0.00,0.02,0.00,0.01,0.09,9.50,1.00
contig_2500_phanotate_45_geneCall,0.26,0.48,0.13,2.30,0.15,0.12,1.43,0.04,0.57,0.26,4.27,0.97
contig_2500_phanotate_46_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_2500_phanotate_47_geneCall,0.00,0.02,0.00,0.00,0.00,0.01,0.01,0.00,0.02,0.01,9.92,1.00
contig_2506_phanotate_1_geneCall,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.20,0.99
contig_2506_phanotate_2_geneCall,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,9.98,1.00
contig_2506_phanotate_3_geneCall,0.73,1.58,0.08,0.43,0.16,0.40,0.26,0.15,0.23,0.20,5.77,0.98
contig_2506_phanotate_4_geneCall,0.28,2.55,0.03,0.04,0.06,3.07,0.07,0.03,0.09,0.17,3.62,0.97
contig_2506_phanotate_5_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_2506_phanotate_6_geneCall,0.03,0.00,0.40,0.00,0.00,4.28,0.01,0.02,0.01,0.10,5.14,0.98
contig_2506_phanotate_7_geneCall,0.11,0.94,0.04,0.00,0.14,0.01,0.23,0.00,0.13,0.03,8.38,0.99
contig_2506_phanotate_8_geneCall,0.12,0.57,0.15,0.13,0.49,0.52,0.31,1.23,0.08,0.19,6.21,0.98
contig_2506_phanotate_9_geneCall,0.53,0.43,0.16,0.11,0.30,0.42,0.44,0.67,0.34,0.45,6.15,0.98
contig_2506_phanotate_10_geneCall,0.06,0.19,0.11,1.49,0.04,0.41,0.31,0.14,0.42,0.19,6.64,0.98
contig_2506_phanotate_11_geneCall,0.02,0.43,0.03,0.04,0.06,0.53,0.10,0.05,0.12,0.25,8.38,0.99
contig_2506_phanotate_12_geneCall,0.07,1.30,0.07,0.07,0.09,0.87,0.15,0.10,0.13,0.47,6.67,0.98
contig_2506_phanotate_13_geneCall,0.04,0.16,0.10,0.03,0.09,0.06,0.27,0.04,0.12,0.07,9.03,1.00
contig_2506_phanotate_14_geneCall,0.00,1.46,0.00,0.00,0.02,0.01,0.01,0.00,0.00,0.02,8.46,0.99
contig_2511_phanotate_1_geneCall,0.03,0.16,0.02,0.03,0.23,0.04,0.12,0.02,0.05,0.22,9.09,1.00
contig_2511_phanotate_2_geneCall,0.00,0.02,0.00,0.00,0.02,0.01,0.01,0.00,0.02,0.00,9.92,1.00
contig_2511_phanotate_3_geneCall,0.17,0.61,0.35,0.07,0.12,0.63,0.32,0.12,0.31,0.32,6.98,0.99
contig_2511_phanotate_4_geneCall,0.01,0.27,0.01,0.01,0.02,0.13,0.03,0.01,0.09,0.07,9.33,1.00
contig_2511_phanotate_5_geneCall,0.16,1.25,0.97,0.24,0.45,1.10,2.40,0.17,0.97,0.42,1.87,0.39
contig_2511_phanotate_6_geneCall,0.10,0.36,0.15,0.18,0.17,0.20,0.43,0.17,0.28,0.43,7.53,0.99
contig_2511_phanotate_7_geneCall,0.01,0.06,0.02,0.03,0.04,0.02,0.19,0.01,0.07,0.09,9.46,1.00
contig_2511_phanotate_8_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2511_phanotate_9_geneCall,0.26,0.56,0.51,0.25,0.76,2.77,1.10,0.36,0.22,0.50,2.73,0.83
contig_2511_phanotate_10_geneCall,0.09,0.24,0.00,0.01,0.05,0.01,0.03,0.00,0.08,0.34,9.15,1.00
contig_2511_phanotate_11_geneCall,0.62,0.70,0.38,0.12,1.02,1.57,2.78,0.26,1.15,0.27,1.13,0.43
contig_2511_phanotate_12_geneCall,1.38,1.21,0.30,0.29,0.83,2.60,0.54,0.19,0.22,0.46,1.99,0.82
contig_2511_phanotate_13_geneCall,2.12,0.92,0.10,0.08,0.24,4.02,0.51,0.18,0.66,0.33,0.84,0.88
contig_2511_phanotate_14_geneCall,0.69,0.87,0.30,0.23,0.46,0.71,1.18,0.10,0.64,0.78,4.05,0.97
contig_2511_phanotate_15_geneCall,0.10,0.92,0.21,0.13,0.09,0.47,0.25,0.06,0.30,4.30,3.16,0.68
contig_2511_phanotate_16_geneCall,0.19,0.35,0.44,0.54,1.14,0.82,2.20,0.24,0.52,0.44,3.11,0.97
contig_2511_phanotate_17_geneCall,0.27,0.48,0.20,0.29,1.01,0.71,0.92,0.19,0.19,1.02,4.71,0.98
contig_2511_phanotate_18_geneCall,0.55,2.36,0.61,1.18,0.48,0.57,0.73,0.30,0.54,0.68,2.01,0.08
contig_2511_phanotate_19_geneCall,0.01,0.02,1.03,0.00,0.02,0.19,0.01,0.00,0.01,0.09,8.61,1.00
contig_2511_phanotate_20_geneCall,0.14,1.05,0.17,0.07,0.38,0.31,0.80,0.09,0.72,0.16,6.12,0.98
contig_2511_phanotate_21_geneCall,5.77,0.49,0.21,0.31,0.22,0.32,1.08,0.11,0.61,0.13,0.75,0.94
contig_2511_phanotate_22_geneCall,0.01,0.60,0.05,0.01,0.25,0.13,0.20,0.01,0.07,0.17,8.51,0.99
contig_2511_phanotate_23_geneCall,0.23,0.77,0.23,0.10,0.25,3.95,0.41,0.10,0.54,1.58,1.83,0.88
contig_2511_phanotate_24_geneCall,0.22,0.60,0.18,0.05,0.19,0.94,0.20,0.05,0.16,1.25,6.15,0.98
contig_2511_phanotate_25_geneCall,0.01,0.60,0.05,0.01,0.25,0.13,0.20,0.01,0.07,0.17,8.51,0.99
contig_2511_phanotate_26_geneCall,5.77,0.49,0.21,0.31,0.22,0.32,1.08,0.11,0.61,0.13,0.75,0.94
contig_2511_phanotate_27_geneCall,0.14,1.05,0.17,0.07,0.38,0.31,0.80,0.09,0.72,0.16,6.12,0.98
contig_2511_phanotate_28_geneCall,0.01,0.02,1.03,0.00,0.02,0.19,0.01,0.00,0.01,0.09,8.61,1.00
contig_2511_phanotate_29_geneCall,0.55,2.36,0.61,1.18,0.48,0.57,0.73,0.30,0.54,0.68,2.01,0.08
contig_2511_phanotate_30_geneCall,0.27,0.48,0.20,0.29,1.01,0.71,0.92,0.19,0.19,1.02,4.71,0.98
contig_2511_phanotate_31_geneCall,0.19,0.35,0.44,0.54,1.14,0.82,2.20,0.24,0.52,0.44,3.11,0.97
contig_2511_phanotate_32_geneCall,0.10,0.92,0.21,0.13,0.09,0.47,0.25,0.06,0.30,4.30,3.16,0.68
contig_2511_phanotate_33_geneCall,0.69,0.87,0.30,0.23,0.46,0.71,1.18,0.10,0.64,0.78,4.05,0.97
contig_2511_phanotate_34_geneCall,2.12,0.92,0.10,0.08,0.24,4.02,0.51,0.18,0.66,0.33,0.84,0.88
contig_2511_phanotate_35_geneCall,1.50,1.12,0.39,0.33,2.48,0.95,0.65,0.47,0.25,0.37,1.47,0.70
contig_2511_phanotate_36_geneCall,0.04,0.18,0.02,0.06,0.14,2.58,0.11,0.01,0.05,0.89,5.93,0.98
contig_2511_phanotate_37_geneCall,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.60,9.37,1.00
contig_2512_phanotate_1_geneCall,0.10,1.04,0.46,0.15,0.33,0.88,0.53,0.13,0.38,1.40,4.59,0.98
contig_2512_phanotate_2_geneCall,0.01,0.27,0.01,0.01,0.02,0.13,0.03,0.01,0.09,0.07,9.33,1.00
contig_2512_phanotate_3_geneCall,0.17,0.61,0.35,0.07,0.12,0.63,0.32,0.12,0.31,0.32,6.98,0.99
contig_2512_phanotate_4_geneCall,0.00,0.02,0.00,0.00,0.02,0.01,0.01,0.00,0.02,0.00,9.92,1.00
contig_2512_phanotate_5_geneCall,0.49,0.72,0.89,0.49,0.66,0.43,0.61,0.41,0.32,1.17,3.81,0.97
contig_2512_phanotate_6_geneCall,0.16,0.30,0.28,0.19,0.24,0.28,0.81,0.10,0.28,0.13,7.24,0.99
contig_2512_phanotate_7_geneCall,0.30,0.39,0.38,0.20,0.84,0.96,0.45,0.14,0.28,0.43,5.62,0.98
contig_2512_phanotate_8_geneCall,0.00,0.02,0.01,0.00,0.02,0.16,0.02,0.00,0.01,0.02,9.73,1.00
contig_2513_phanotate_1_geneCall,0.25,1.00,0.46,0.17,0.57,2.72,0.96,0.31,0.31,0.25,2.99,0.96
contig_2513_phanotate_2_geneCall,0.06,0.25,0.12,0.06,0.36,0.10,0.23,0.05,0.08,0.20,8.48,0.99
contig_2513_phanotate_3_geneCall,0.06,0.34,0.15,0.16,0.22,0.29,0.96,0.07,0.27,0.10,7.38,0.99
contig_2513_phanotate_4_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_2513_phanotate_5_geneCall,0.07,0.60,0.08,0.29,0.38,0.70,0.39,0.06,0.17,0.23,7.03,0.99
contig_2513_phanotate_6_geneCall,0.02,1.84,0.09,0.04,0.24,0.49,0.28,0.05,0.09,0.37,6.47,0.98
contig_2513_phanotate_7_geneCall,0.11,0.74,0.12,0.06,0.16,0.21,0.43,0.08,0.29,1.80,6.00,0.98
contig_2513_phanotate_8_geneCall,0.24,0.57,0.27,0.31,0.39,0.38,1.23,0.15,0.95,0.45,5.06,0.98
contig_2513_phanotate_9_geneCall,0.00,0.00,0.00,0.00,0.00,1.07,0.00,0.00,0.00,0.00,8.93,1.00
contig_2513_phanotate_10_geneCall,0.22,1.66,1.05,0.25,0.34,0.29,0.34,0.18,0.33,0.27,5.08,0.98
contig_2513_phanotate_11_geneCall,0.00,0.04,0.04,0.01,0.01,0.01,0.07,0.00,0.01,0.01,9.80,1.00
contig_2513_phanotate_12_geneCall,0.04,0.03,0.01,0.01,0.75,0.06,0.07,0.01,0.05,0.15,8.83,1.00
contig_2513_phanotate_13_geneCall,0.13,1.47,0.10,0.12,0.31,0.19,0.43,0.07,0.12,0.41,6.66,0.98
contig_2513_phanotate_14_geneCall,0.36,1.51,1.40,0.16,0.44,0.74,1.14,0.15,0.64,1.76,1.71,0.56
contig_2514_phanotate_1_geneCall,0.74,0.56,0.88,0.74,0.95,1.55,1.02,0.30,0.34,0.89,2.03,0.96
contig_2514_phanotate_2_geneCall,0.02,0.02,0.01,0.01,0.02,0.10,0.12,0.01,0.08,0.04,9.57,1.00
contig_2514_phanotate_3_geneCall,0.10,0.81,0.06,0.02,0.07,0.06,0.14,0.03,0.05,0.41,8.25,0.99
contig_2514_phanotate_4_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2514_phanotate_5_geneCall,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.13,9.84,1.00
contig_2514_phanotate_6_geneCall,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,9.74,1.00
contig_2514_phanotate_7_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2514_phanotate_8_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2514_phanotate_9_geneCall,0.01,0.05,0.01,0.00,0.01,0.11,0.09,0.01,0.06,0.05,9.58,1.00
contig_2514_phanotate_10_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2514_phanotate_11_geneCall,0.03,0.31,0.06,0.01,0.07,0.05,0.09,0.02,0.04,0.73,8.61,1.00
contig_2514_phanotate_12_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2514_phanotate_13_geneCall,0.01,0.05,0.01,0.00,0.01,0.11,0.09,0.01,0.06,0.05,9.58,1.00
contig_2514_phanotate_14_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2514_phanotate_15_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2514_phanotate_16_geneCall,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,9.93,1.00
contig_2514_phanotate_17_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2514_phanotate_18_geneCall,0.10,0.81,0.06,0.02,0.07,0.06,0.14,0.03,0.05,0.41,8.25,0.99
contig_2514_phanotate_19_geneCall,0.02,0.02,0.01,0.01,0.02,0.10,0.12,0.01,0.08,0.04,9.57,1.00
contig_2514_phanotate_20_geneCall,0.49,0.58,0.61,0.76,1.10,1.50,0.73,0.29,0.30,0.83,2.81,0.96
contig_2514_phanotate_21_geneCall,0.01,0.15,0.01,0.00,0.07,0.01,0.02,0.00,0.02,0.01,9.69,1.00
contig_2523_phanotate_1_geneCall,1.38,0.42,4.04,0.33,0.32,0.88,0.48,0.28,0.48,0.59,0.79,0.81
contig_2523_phanotate_2_geneCall,0.52,1.88,0.51,0.17,0.38,1.57,1.72,0.13,1.69,0.26,1.16,0.07
contig_2523_phanotate_3_geneCall,0.00,6.38,0.02,0.00,0.01,0.09,0.08,0.00,0.00,0.13,3.29,0.21
