,Major capsid,Minor capsid,Baseplate,Major tail,Minor tail,Portal,Tail fiber,Tail shaft,Collar,HTJ,Other,Confidence
circular_pair_1512_phanotate_15_geneCall,0.00,1.80,0.00,0.00,0.00,1.40,0.04,0.01,0.07,0.01,6.66,0.98
circular_pair_1512_phanotate_16_geneCall,0.15,1.29,0.72,0.12,0.23,0.75,0.36,0.12,1.78,0.46,4.03,0.97
circular_pair_1512_phanotate_17_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1512_phanotate_18_geneCall,0.00,0.16,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.72,9.10,1.00
circular_pair_1512_phanotate_19_geneCall,0.01,0.20,0.01,0.00,0.09,0.29,0.08,0.03,0.09,0.92,8.26,0.99
circular_pair_1512_phanotate_20_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,9.96,1.00
circular_pair_1512_phanotate_21_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1512_phanotate_22_geneCall,0.00,0.01,0.01,0.00,0.01,0.00,0.05,0.00,0.01,0.00,9.92,1.00
circular_pair_1512_phanotate_23_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1512_phanotate_24_geneCall,0.01,0.12,0.05,0.01,0.11,0.05,0.18,0.01,0.03,2.22,7.21,0.99
circular_pair_1512_phanotate_25_geneCall,0.00,0.09,0.00,0.00,0.00,0.01,0.01,0.00,0.04,0.00,9.85,1.00
circular_pair_1512_phanotate_26_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
circular_pair_1512_phanotate_27_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1512_phanotate_28_geneCall,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.39,9.58,1.00
circular_pair_1512_phanotate_29_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1512_phanotate_30_geneCall,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,9.96,1.00
circular_pair_1512_phanotate_31_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1512_phanotate_32_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,9.96,1.00
circular_pair_1512_phanotate_33_geneCall,0.00,0.02,0.00,0.00,0.10,0.07,0.02,0.00,0.05,0.35,9.39,1.00
circular_pair_1512_phanotate_34_geneCall,0.01,0.24,0.05,0.01,0.29,0.03,0.19,0.01,0.05,0.09,9.01,1.00
circular_pair_1512_phanotate_35_geneCall,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,9.98,1.00
circular_pair_1512_phanotate_36_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1512_phanotate_37_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.72,8.28,0.99
circular_pair_1512_phanotate_38_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1512_phanotate_39_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1512_phanotate_40_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1512_phanotate_41_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1512_phanotate_42_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1512_phanotate_43_geneCall,0.00,0.00,0.00,0.24,0.30,0.00,0.00,0.00,0.00,0.00,9.45,1.00
circular_pair_1512_phanotate_44_geneCall,0.00,0.21,0.15,0.01,0.06,0.01,0.33,0.00,0.00,0.73,8.48,0.99
circular_pair_1512_phanotate_45_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1512_phanotate_46_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
circular_pair_1512_phanotate_47_geneCall,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,8.98,1.00
circular_pair_1512_phanotate_48_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,9.98,1.00
circular_pair_1521_phanotate_1_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1521_phanotate_2_geneCall,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.01,9.95,1.00
circular_pair_1521_phanotate_3_geneCall,0.00,0.01,0.00,0.01,5.34,0.00,0.08,0.00,0.02,0.00,4.53,0.87
circular_pair_1521_phanotate_4_geneCall,0.00,0.07,0.01,0.01,3.82,0.63,0.25,0.01,0.01,0.06,5.14,0.98
circular_pair_1521_phanotate_5_geneCall,0.00,0.00,0.00,0.01,0.25,0.00,0.07,0.00,0.00,0.00,9.67,1.00
circular_pair_1521_phanotate_6_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1521_phanotate_7_geneCall,0.00,0.06,0.00,0.00,0.01,0.26,0.02,0.00,0.01,0.01,9.62,1.00
circular_pair_1521_phanotate_8_geneCall,0.03,0.12,0.09,0.02,0.10,0.19,0.12,0.02,0.09,0.03,9.18,1.00
circular_pair_1521_phanotate_9_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1521_phanotate_10_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1521_phanotate_11_geneCall,0.00,0.06,0.00,0.00,0.02,0.02,0.06,0.00,0.12,1.28,8.43,0.99
circular_pair_1521_phanotate_12_geneCall,0.06,1.40,0.27,0.07,0.09,1.28,0.25,0.17,0.20,0.71,5.50,0.98
circular_pair_1521_phanotate_13_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.03,9.93,1.00
circular_pair_1521_phanotate_14_geneCall,0.00,0.01,0.02,0.00,0.00,0.00,0.11,0.00,0.02,0.10,9.73,1.00
circular_pair_1521_phanotate_15_geneCall,0.01,0.16,0.04,0.01,0.06,0.25,0.10,0.03,0.04,0.22,9.08,1.00
circular_pair_1521_phanotate_16_geneCall,0.00,0.02,0.00,0.00,0.01,0.03,0.01,0.00,0.01,0.04,9.88,1.00
circular_pair_1555_phanotate_1_geneCall,0.03,0.08,0.07,0.04,0.25,0.04,0.41,0.03,0.08,0.14,8.82,1.00
circular_pair_1555_phanotate_2_geneCall,0.27,0.09,0.33,0.01,0.08,0.16,0.03,0.01,0.04,5.17,3.80,0.76
circular_pair_1555_phanotate_3_geneCall,0.37,0.62,0.83,0.09,1.36,0.60,4.30,0.07,0.72,0.25,0.78,0.57
circular_pair_1555_phanotate_4_geneCall,1.67,0.39,1.04,0.29,0.97,0.40,0.91,0.25,1.50,0.39,2.20,0.96
circular_pair_1555_phanotate_5_geneCall,0.01,0.11,0.04,0.02,0.06,0.03,0.08,0.01,0.02,0.13,9.48,1.00
circular_pair_1555_phanotate_6_geneCall,0.01,0.63,0.06,0.50,0.12,0.50,0.54,0.02,0.03,0.37,7.22,0.99
circular_pair_1555_phanotate_7_geneCall,0.40,0.09,0.13,0.02,0.06,0.03,0.11,0.01,0.03,0.06,9.07,1.00
circular_pair_1594_phanotate_1_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1594_phanotate_2_geneCall,0.33,0.59,0.39,0.28,0.35,0.55,1.35,0.38,0.73,0.46,4.59,0.98
circular_pair_1594_phanotate_3_geneCall,0.01,0.03,0.01,0.01,0.04,0.04,0.04,0.00,0.03,0.08,9.72,1.00
circular_pair_1594_phanotate_4_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1594_phanotate_5_geneCall,0.33,0.59,0.39,0.28,0.35,0.55,1.35,0.38,0.73,0.46,4.59,0.98
circular_pair_1594_phanotate_6_geneCall,0.01,0.03,0.01,0.01,0.04,0.06,0.04,0.00,0.03,0.07,9.70,1.00
circular_pair_1649_phanotate_1_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1649_phanotate_2_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,9.99,1.00
circular_pair_1649_phanotate_3_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1649_phanotate_4_geneCall,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,9.99,1.00
circular_pair_1649_phanotate_5_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
circular_pair_1649_phanotate_6_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1649_phanotate_7_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1649_phanotate_8_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1649_phanotate_9_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1649_phanotate_10_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1649_phanotate_11_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1649_phanotate_12_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
circular_pair_1649_phanotate_13_geneCall,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,9.96,1.00
circular_pair_1649_phanotate_14_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1649_phanotate_15_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1649_phanotate_16_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
circular_pair_1649_phanotate_17_geneCall,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.97,1.00
circular_pair_1649_phanotate_18_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1649_phanotate_19_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1649_phanotate_20_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
circular_pair_1649_phanotate_21_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1649_phanotate_22_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1649_phanotate_23_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1649_phanotate_24_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1649_phanotate_25_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1649_phanotate_26_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1649_phanotate_27_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
circular_pair_1656_phanotate_1_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1656_phanotate_2_geneCall,0.00,0.21,0.00,0.00,0.05,0.01,0.01,0.00,0.00,0.45,9.27,1.00
circular_pair_1656_phanotate_3_geneCall,0.16,0.73,0.10,0.28,0.12,0.83,0.15,0.04,0.30,0.10,7.19,0.99
circular_pair_1656_phanotate_4_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1656_phanotate_5_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
circular_pair_1656_phanotate_6_geneCall,0.01,0.08,0.05,0.01,0.07,0.20,0.08,0.02,0.03,0.02,9.43,1.00
circular_pair_1656_phanotate_7_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,9.96,1.00
circular_pair_1656_phanotate_8_geneCall,0.00,1.96,0.02,0.01,0.03,0.01,0.01,0.00,0.01,0.82,7.12,0.99
circular_pair_1656_phanotate_9_geneCall,0.06,0.09,0.06,0.02,0.04,0.07,0.11,0.03,0.11,0.09,9.31,1.00
circular_pair_1656_phanotate_10_geneCall,0.01,0.11,0.01,0.00,0.07,0.03,0.05,0.01,0.07,0.05,9.60,1.00
circular_pair_1656_phanotate_11_geneCall,0.04,0.21,0.21,0.23,0.27,0.31,0.60,0.08,0.26,0.26,7.53,0.99
circular_pair_1656_phanotate_12_geneCall,0.01,0.37,0.10,0.01,0.03,0.69,0.03,0.02,0.18,0.32,8.23,0.99
circular_pair_1656_phanotate_13_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1656_phanotate_14_geneCall,0.00,0.01,0.00,0.00,0.00,0.01,0.02,0.00,0.23,0.33,9.40,1.00
circular_pair_1656_phanotate_15_geneCall,0.07,1.38,0.10,0.04,0.20,0.09,0.20,0.42,0.07,0.75,6.68,0.98
circular_pair_1656_phanotate_16_geneCall,0.00,0.08,0.02,0.02,0.11,0.01,0.04,0.02,0.01,1.24,8.46,0.99
circular_pair_1656_phanotate_17_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1656_phanotate_18_geneCall,0.00,0.63,0.11,0.01,0.04,0.27,0.16,0.01,0.09,0.02,8.66,1.00
circular_pair_1656_phanotate_19_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1656_phanotate_20_geneCall,0.01,0.10,0.02,0.02,0.01,0.02,0.11,0.02,0.12,0.02,9.54,1.00
circular_pair_1656_phanotate_21_geneCall,0.01,0.09,0.18,0.12,0.03,0.02,0.18,0.03,0.04,0.07,9.23,1.00
circular_pair_1656_phanotate_22_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
