Genome	Flye.length	Flye.cov	Flye.circ	IsPhage	Vibrant.prediction	Vibrant.type	Vibrant.Quality	Phaster.COMPLETENESS.score	Phaster.SPECIFIC_KEYWORD	Phaster.TOTAL_PROTEIN_NUM	Phaster.PHAGE_HIT_PROTEIN_NUM	Phaster.MOST_COMMON_PHAGE_NAME.hit_genes_count	vHulk.pred	VC	VC.Status	VC.Size	VC.Subcluster	VC.Subcluster.Size	VC.Quality	VC.members			virusTax	jtHost	crisprhit	mattInfo	bonillaInfo	CrisprDB
contig_2511	31062	73	N	TRUE	virus	lysogenic	low quality draft	intact(110)	integrase,lysis,lysin,tail,capsid,head	32	24	PHAGE_Entero_Tyrion_NC_031077(5),PHAGE_Salmon_SPN1S_NC_016761(4),PHAGE_Vibrio_QH_NC_027397(3),PHAGE_Vibrio_J2_NC_027393(3),PHAGE_Escher_phiV10_NC_007804(3),PHAGE_Pelagi_HTVC010P_NC_020481(3),PHAGE_Vibrio_VP5_NC_005891(2),PHAGE_Burkho_BcepC6B_NC_005887(2),PHAGE_Entero_UAB_Phi78_NC_020414(1),PHAGE_Shigel_Sf6_NC_005344(1),PHAGE_Morgan_vB_MmoP_MP2_NC_031115(1),PHAGE_Liberi_SC1_NC_019549(1),PHAGE_Serrat_Eta_NC_021563(1),PHAGE_Entero_Min27_NC_010237(1),PHAGE_Erwini_phiEt88_NC_015295(1),PHAGE_Mannhe_vB_MhS_1152AP2_NC_028956(1),PHAGE_Haemop_Aaphi23_NC_004827(1),PHAGE_Flavob_FCV_1_NC_041845(1),PHAGE_Salmon_Fels_1_NC_010391(1),PHAGE_Mannhe_vB_MhS_535AP2_NC_028853(1),PHAGE_Entero_IME10_NC_019501(1),PHAGE_Pseudo_vB_PaeP_Tr60_Ab31_NC_023575(1),PHAGE_Cronob_phiES15_NC_018454(1),PHAGE_Vibrio_VP2_NC_005879(1),PHAGE_Prochl_P_SSP3_NC_020874(1),PHAGE_Entero_EcP1_NC_019485(1),PHAGE_Entero_HK633_NC_019719(1),PHAGE_Citrob_SH4_NC_031018(1),PHAGE_Mannhe_vB_MhM_587AP1_NC_028898(1),PHAGE_Cyanop_SS120_1_NC_020872(1),PHAGE_Entero_933W_NC_000924(1),PHAGE_Entero_SP6_NC_004831(1),PHAGE_Morgan_MmP1_NC_011085(1),PHAGE_Salmon_BP12B_NC_031271(1),PHAGE_Roseob_SIO1_NC_002519(1),PHAGE_Cronob_Dev2_NC_023558(1),PHAGE_Mannhe_phiMHaA1_NC_008201(1),PHAGE_Vibrio_phiVC8_NC_027118(1),PHAGE_Pseudo_Noxifer_NC_041994(1),PHAGE_Bordet_BPP_1_NC_005357(1),PHAGE_Aggreg_S1249_NC_013597(1),PHAGE_Salmon_epsilon15_NC_004775(1)	Escherichia	52_0	Clustered	6	VC_52_0	6	0.5699	JAAOBB010000028.1,JAAOBB010000145.1,MN855748,MN855751,MN855781,contig_2511	3	64	Siphoviridae	Gilliamella	Gilliamella apicola	nan, nan, Siphoviridae,Gilliamella, nan, nan,35978, 24014, 9805	not_in_SItable2	Gilliamella
contig_2381	14545	26	N	TRUE	virus	lytic	low quality draft	incomplete(20)	head	21	17	PHAGE_Aggreg_S1249_NC_013597(10),PHAGE_Haemop_Aaphi23_NC_004827(10),PHAGE_Salmon_BP63_NC_031250(2),PHAGE_Psychr_pOW20_A_NC_020841(1),PHAGE_Rhizob_RHEph06_NC_027296(1),PHAGE_Rhizob_RHEph04_NC_041908(1),PHAGE_Mycoba_ZoeJ_NC_024147(1),PHAGE_Vibrio_vB_VchM_138_NC_019518(1),PHAGE_Erwini_phiEt88_NC_015295(1),PHAGE_Klebsi_vB_KpnM_KpV52_NC_041900(1),PHAGE_Klebsi_vB_KpnM_KpV79_NC_042041(1),PHAGE_Vibrio_CP_T1_NC_019457(1),PHAGE_Salmon_SEN34_NC_028699(1),PHAGE_Vibrio_VBM1_NC_020850(1)	None	65_0	Clustered	9	VC_65_0	9	0.6039	Aggregatibacter~phage~S1249,Haemophilus~phage~Aaphi23,JAAOBB010000140.1,MN855655,MN856021,MN856071,MN856102,contig_2381,scaffold_828	3	109	Myoviridae	Gilliamella	Gilliamella apicola	Myoviridae, Myoviridae, nan, Myoviridae,nan, nan, nan, nan,20091, 17236, 14810, 5407	Gilliamella,temperate,Caudo:Myoviridae,222308	NA
scaffold_828	60140	309	N	TRUE	virus	lysogenic	high quality draft	NA	NA	NA	NA	NA	None	65_0	Clustered	9	VC_65_0	9	0.6039	Aggregatibacter~phage~S1249,Haemophilus~phage~Aaphi23,JAAOBB010000140.1,MN855655,MN856021,MN856071,MN856102,contig_2381,scaffold_828	3	109	Myoviridae	Gilliamella	Gilliamella apicola	Myoviridae, Myoviridae, nan, Myoviridae,nan, nan, nan, nan,20091, 17236, 14810, 5407	Gilliamella,temperate,Caudo:Myoviridae,222308	Gilliamella
contig_830	41670	204	N	TRUE	virus	lytic	medium quality draft	NA	NA	NA	NA	NA	None	7_0	Clustered	3	VC_7_0	3	0.2414	JAAOBB010000172.1,MN855956,contig_830	3	28	Podoviridae		NA	Podoviridae,nan,26794	unknown,lytic,unclassified,8654	NA
contig_2055	28652	59	N	TRUE	virus	lytic	low quality draft	incomplete(30)	tail,lysin	16	7	PHAGE_Lactob_KC5a_NC_007924(4),PHAGE_Lactob_phiAQ113_NC_019782(3),PHAGE_Lactob_jlb1_NC_024206(3),PHAGE_Lactob_Lj771_NC_010179(3),PHAGE_Strept_EJ_1_NC_005294(2),PHAGE_Lactoc_KSY1_NC_009817(1),PHAGE_Lactoc_949_NC_015263(1),PHAGE_Lactoc_r1t_NC_004302(1),PHAGE_Lactob_phiadh_NC_000896(1),PHAGE_Lactoc_phiL47_NC_023574(1),PHAGE_Lactoc_WRP3_NC_027341(1),PHAGE_Lactob_Lv_1_NC_011801(1)	Lactobacillus	78_0	Clustered	15	VC_78_0	15	0.3396	JAAOBB010000171.1,MN855613,MN855634,MN855648,MN855845,MN856068,MN856076,MN856104,contig_1403,contig_1647,contig_1919,contig_2055,contig_2102,contig_2104,contig_2105	3	82	Mixed	Lactobacillus Firm-5	Lactobacillus melliventris	Cystoviridae, Siphoviridae, Myoviridae, Myoviridae, Podoviridae, Myoviridae, Siphoviridae,nan, nan, nan, nan, nan, nan, nan,13086, 9684, 8425, 5804, 5218, 5053, 5021	F5,temperate,unclassified,7569	NA
contig_1919	9190	39	N	TRUE	virus	lysogenic	low quality draft	incomplete(40)	lysin,integrase	17	9	PHAGE_Lactob_phiadh_NC_000896(5),PHAGE_Lactob_JCL1032_NC_019456(2),PHAGE_Lactob_phiJB_NC_022775(2),PHAGE_Lactob_Lj771_NC_010179(2),PHAGE_Lactob_Lj965_NC_005355(1),PHAGE_Strept_MM1_NC_003050(1),PHAGE_Strept_SM1_NC_004996(1),PHAGE_Clostr_phiCT19406C_NC_029006(1),PHAGE_Clostr_phiCT453A_NC_028991(1),PHAGE_Lactob_LL_H_NC_009554(1),PHAGE_Lactob_Lj928_NC_005354(1),PHAGE_Lister_LP_101_NC_024387(1),PHAGE_Thermo_THSA_485A_NC_018264(1),PHAGE_Clostr_CDMH1_NC_024144(1),PHAGE_Lactob_phiAQ113_NC_019782(1),PHAGE_Lactoc_63301_NC_031017(1),PHAGE_Staphy_tp310_2_NC_009762(1),PHAGE_Staphy_3A_NC_007053(1),PHAGE_Lactob_Lv_1_NC_011801(1),PHAGE_Lister_LP_030_2_NC_021539(1)	None	78_0	Clustered	15	VC_78_0	15	0.3396	JAAOBB010000171.1,MN855613,MN855634,MN855648,MN855845,MN856068,MN856076,MN856104,contig_1403,contig_1647,contig_1919,contig_2055,contig_2102,contig_2104,contig_2105	3	82	Mixed	Lactobacillus Firm-5	Lactobacillus apis	Cystoviridae, Siphoviridae, Myoviridae, Myoviridae, Podoviridae, Myoviridae, Siphoviridae,nan, nan, nan, nan, nan, nan, nan,13086, 9684, 8425, 5804, 5218, 5053, 5021	F5,temperate,unclassified,7569	Lactobacillus
contig_2104	6360	172	N	TRUE	virus	lytic	low quality draft	incomplete(50)	plate	15	10	PHAGE_Lactob_KC5a_NC_007924(6),PHAGE_Lactob_jlb1_NC_024206(6),PHAGE_Lactob_Lj771_NC_010179(5),PHAGE_Lactob_phiAQ113_NC_019782(4),PHAGE_Strept_EJ_1_NC_005294(2),PHAGE_Thermu_OH2_NC_021784(1),PHAGE_Brevib_Abouo_NC_029029(1)	None	78_0	Clustered	15	VC_78_0	15	0.3396	JAAOBB010000171.1,MN855613,MN855634,MN855648,MN855845,MN856068,MN856076,MN856104,contig_1403,contig_1647,contig_1919,contig_2055,contig_2102,contig_2104,contig_2105	3	82	Mixed	Lactobacillus Firm-5	Lactobacillus melliventris	Cystoviridae, Siphoviridae, Myoviridae, Myoviridae, Podoviridae, Myoviridae, Siphoviridae,nan, nan, nan, nan, nan, nan, nan,13086, 9684, 8425, 5804, 5218, 5053, 5021	F5,temperate,unclassified,7569	Lactobacillus
contig_2105	11684	9	N	TRUE	virus	lytic	low quality draft	incomplete(40)	plate,lysin	26	11	PHAGE_Lactob_KC5a_NC_007924(4),PHAGE_Lactob_phiAQ113_NC_019782(4),PHAGE_Lactob_jlb1_NC_024206(4),PHAGE_Lactob_Lj771_NC_010179(3),PHAGE_Lactob_Lj965_NC_005355(1),PHAGE_Strept_EJ_1_NC_005294(1),PHAGE_Lactoc_KSY1_NC_009817(1),PHAGE_Lactoc_949_NC_015263(1),PHAGE_Lactoc_r1t_NC_004302(1),PHAGE_Lactob_phiadh_NC_000896(1),PHAGE_Lactoc_phiL47_NC_023574(1),PHAGE_Lactob_LL_H_NC_009554(1),PHAGE_Lactoc_WRP3_NC_027341(1),PHAGE_Lactob_Lv_1_NC_011801(1)	None	78_0	Clustered	15	VC_78_0	15	0.3396	JAAOBB010000171.1,MN855613,MN855634,MN855648,MN855845,MN856068,MN856076,MN856104,contig_1403,contig_1647,contig_1919,contig_2055,contig_2102,contig_2104,contig_2105	3	82	Mixed	Lactobacillus Firm-5	NA	Cystoviridae, Siphoviridae, Myoviridae, Myoviridae, Podoviridae, Myoviridae, Siphoviridae,nan, nan, nan, nan, nan, nan, nan,13086, 9684, 8425, 5804, 5218, 5053, 5021	F5,temperate,unclassified,7569	NA
contig_1403	12826	112	N	TRUE	virus	lytic	low quality draft	incomplete(50)	plate,lysin	28	15	PHAGE_Lactob_Lv_1_NC_011801(4),PHAGE_Lactob_phiadh_NC_000896(3),PHAGE_Lactob_LBR48_NC_027990(2),PHAGE_Lactob_Lj771_NC_010179(2),PHAGE_Lactob_Lj965_NC_005355(1),PHAGE_Psychr_pOW20_A_NC_020841(1),PHAGE_Lactoc_KSY1_NC_009817(1),PHAGE_Deep_s_D6E_NC_019544(1),PHAGE_Lactob_JCL1032_NC_019456(1),PHAGE_Lactoc_949_NC_015263(1),PHAGE_Lactob_LfeSau_NC_029068(1),PHAGE_Bacill_Zuko_NC_031116(1),PHAGE_Lactob_jlb1_NC_024206(1),PHAGE_Lister_LMTA_34_NC_042048(1),PHAGE_Entero_LY0322_NC_042125(1),PHAGE_Lactoc_phiL47_NC_023574(1),PHAGE_Entero_vB_IME196_NC_028990(1),PHAGE_Bacill_DIGNKC_NC_031006(1),PHAGE_Lactob_KC5a_NC_007924(1),PHAGE_Lister_B054_NC_009813(1),PHAGE_Halovi_HRTV_8_NC_021321(1),PHAGE_Lactoc_r1t_NC_004302(1),PHAGE_Lister_LMSP_25_NC_024360(1),PHAGE_Lactob_phiAQ113_NC_019782(1),PHAGE_Lactoc_WRP3_NC_027341(1)	None	78_0	Clustered	15	VC_78_0	15	0.3396	JAAOBB010000171.1,MN855613,MN855634,MN855648,MN855845,MN856068,MN856076,MN856104,contig_1403,contig_1647,contig_1919,contig_2055,contig_2102,contig_2104,contig_2105	3	82	Mixed	Lactobacillus Firm-5	Lactobacillus melliventris	Cystoviridae, Siphoviridae, Myoviridae, Myoviridae, Podoviridae, Myoviridae, Siphoviridae,nan, nan, nan, nan, nan, nan, nan,13086, 9684, 8425, 5804, 5218, 5053, 5021	F5,temperate,unclassified,7569	NA
contig_1647	13223	62	N	TRUE	virus	lytic	low quality draft	incomplete(30)	tail,lysin	22	15	PHAGE_Lactob_KC5a_NC_007924(8),PHAGE_Lactob_jlb1_NC_024206(7),PHAGE_Lactob_phiAQ113_NC_019782(7),PHAGE_Lactob_Lj771_NC_010179(7),PHAGE_Strept_EJ_1_NC_005294(3),PHAGE_Lactob_Lv_1_NC_011801(3),PHAGE_Lactob_phiadh_NC_000896(2),PHAGE_Lactob_Lj965_NC_005355(1),PHAGE_Lactoc_KSY1_NC_009817(1),PHAGE_Lactob_JCL1032_NC_019456(1),PHAGE_Lactoc_949_NC_015263(1),PHAGE_Lactoc_r1t_NC_004302(1),PHAGE_Lactob_phiJB_NC_022775(1),PHAGE_Lactoc_phiL47_NC_023574(1),PHAGE_Lactoc_WRP3_NC_027341(1)	None	78_0	Clustered	15	VC_78_0	15	0.3396	JAAOBB010000171.1,MN855613,MN855634,MN855648,MN855845,MN856068,MN856076,MN856104,contig_1403,contig_1647,contig_1919,contig_2055,contig_2102,contig_2104,contig_2105	3	82	Mixed	Lactobacillus Firm-5	NA	Cystoviridae, Siphoviridae, Myoviridae, Myoviridae, Podoviridae, Myoviridae, Siphoviridae,nan, nan, nan, nan, nan, nan, nan,13086, 9684, 8425, 5804, 5218, 5053, 5021	F5,temperate,unclassified,7569	NA
contig_2102	45412	39	N	TRUE	virus	lytic	low quality draft	intact(150)	plate	91	65	PHAGE_Lactob_phiAQ113_NC_019782(9),PHAGE_Lactob_Lj771_NC_010179(9),PHAGE_Lactob_KC5a_NC_007924(8),PHAGE_Lactob_jlb1_NC_024206(8),PHAGE_Strept_EJ_1_NC_005294(6),PHAGE_Lactob_phiadh_NC_000896(2),PHAGE_Lactob_Lv_1_NC_011801(2),PHAGE_Thermu_OH2_NC_021784(1),PHAGE_Lactob_Lj965_NC_005355(1),PHAGE_Clostr_phiMMP01_NC_028883(1),PHAGE_Lactob_LL_H_NC_009554(1),PHAGE_Brevib_Jimmer2_NC_041976(1)	Lactobacillus	78_0	Clustered	15	VC_78_0	15	0.3396	JAAOBB010000171.1,MN855613,MN855634,MN855648,MN855845,MN856068,MN856076,MN856104,contig_1403,contig_1647,contig_1919,contig_2055,contig_2102,contig_2104,contig_2105	3	82	Mixed	Lactobacillus Firm-5	Lactobacillus melliventris	Cystoviridae, Siphoviridae, Myoviridae, Myoviridae, Podoviridae, Myoviridae, Siphoviridae,nan, nan, nan, nan, nan, nan, nan,13086, 9684, 8425, 5804, 5218, 5053, 5021	F5,temperate,unclassified,7569	Lactobacillus
