CONTIG	REGION	REGION_LENGTH	COMPLETENESS(score)	SPECIFIC_KEYWORD	REGION_POSITION	TRNA_NUM	TOTAL_PROTEIN_NUM	PHAGE_HIT_PROTEIN_NUM	HYPOTHETICAL_PROTEIN_NUM	PHAGE+HYPO_PROTEIN_PERCENTAGE	BACTERIAL_PROTEIN_NUM	ATT_SITE_SHOWUP	PHAGE_SPECIES_NUM	MOST_COMMON_PHAGE_NAME(hit_genes_count)	FIRST_MOST_COMMON_PHAGE_NUM	FIRST_MOST_COMMON_PHAGE_PERCENTAGE	GC_PERCENTAGE
>contig_1834	1	14Kb	incomplete(30)	integrase,lysin	728-14767	0	31	19	12	100%	0	no	10	PHAGE_Lactob_Lv_1_NC_011801(5),PHAGE_Lactob_KC5a_NC_007924(5),PHAGE_Lactob_phiadh_NC_000896(4),PHAGE_Lactob_jlb1_NC_024206(4),PHAGE_Lactob_phiJB_NC_022775(4),PHAGE_Lactob_LF1_NC_019486(3),PHAGE_Lactob_LfeSau_NC_029068(3),PHAGE_Lactob_Lj965_NC_005355(2),PHAGE_Lactob_phiAQ113_NC_019782(2),PHAGE_Lactob_PLE2_NC_031036(2),PHAGE_Lactob_LBR48_NC_027990(2),PHAGE_Lactob_Lj771_NC_010179(2),PHAGE_Lactob_JCL1032_NC_019456(1),PHAGE_Pseudo_PMG1_NC_016765(1),PHAGE_Staphy_phiPV83_NC_002486(1),PHAGE_Lactoc_98201_NC_031064(1),PHAGE_Strept_phiARI0460_1_NC_031913(1),PHAGE_Lactoc_WRP3_NC_027341(1),PHAGE_Staphy_phinm2_NC_028913(1),PHAGE_Lactoc_KSY1_NC_009817(1),PHAGE_Lactoc_949_NC_015263(1),PHAGE_Clostr_phiCT453A_NC_028991(1),PHAGE_Staphy_55_NC_007060(1),PHAGE_Strept_PH15_NC_010945(1),PHAGE_Lactob_LL_H_NC_009554(1),PHAGE_Lactoc_phiL47_NC_023574(1),PHAGE_Staphy_phiMR11_NC_010147(1),PHAGE_Lister_LP_101_NC_024387(1),PHAGE_Lactoc_r1t_NC_004302(1),PHAGE_Lactob_Sha1_NC_019489(1),PHAGE_Strept_APCM01_NC_029030(1),PHAGE_Strept_M102_NC_012884(1),PHAGE_Strept_phiARI0468_2_NC_031923(1)	5	16.12%	33.52%
>contig_1047	1	31.3Kb	intact(150)	terminase,portal,integrase	260-31613	0	55	42	13	100%	0	yes	19	PHAGE_Lactob_phiJB_NC_022775(7),PHAGE_Lactob_LfeSau_NC_029068(7),PHAGE_Lactob_PLE2_NC_031036(6),PHAGE_Lactob_KC5a_NC_007924(4),PHAGE_Lactob_jlb1_NC_024206(4),PHAGE_Strept_phiARI0131_1_NC_031901(3),PHAGE_Lactob_LF1_NC_019486(3),PHAGE_Strept_phiARI0468_2_NC_031923(3),PHAGE_Lactob_Lj771_NC_010179(3),PHAGE_Lactob_Lv_1_NC_011801(3),PHAGE_Lactoc_98201_NC_031064(2),PHAGE_Lactob_Lj928_NC_005354(2),PHAGE_Lactob_phiAQ113_NC_019782(2),PHAGE_Lactob_iLp84_NC_028783(2),PHAGE_Lactoc_bIL312_NC_002671(2),PHAGE_Lactob_PLE3_NC_031125(2),PHAGE_Lactob_LBR48_NC_027990(2),PHAGE_Lactob_Lj965_NC_005355(1),PHAGE_Clostr_phiCP39_O_NC_011318(1),PHAGE_Lister_A118_NC_003216(1),PHAGE_Lactob_phig1e_NC_004305(1),PHAGE_Staphy_phiPV83_NC_002486(1),PHAGE_Staphy_80_NC_030652(1),PHAGE_Lactob_phiadh_NC_000896(1),PHAGE_Bacill_phi4B1_NC_028886(1),PHAGE_Staphy_53_NC_007049(1),PHAGE_Strept_Alq132_NC_013598(1),PHAGE_Thermu_OH2_NC_021784(1),PHAGE_Strept_EJ_1_NC_005294(1),PHAGE_Strept_phiARI0462_NC_031942(1),PHAGE_Lister_vB_LmoS_188_NC_028871(1),PHAGE_Lister_A006_NC_009815(1),PHAGE_Lactoc_WRP3_NC_027341(1),PHAGE_Staphy_phinm2_NC_028913(1),PHAGE_Strept_DT1_NC_002072(1),PHAGE_Staphy_55_NC_007060(1),PHAGE_Lactob_LL_H_NC_009554(1),PHAGE_Lactoc_bIL310_NC_002669(1),PHAGE_Lister_B025_NC_009812(1),PHAGE_Strept_P9_NC_009819(1),PHAGE_Lactoc_r1t_NC_004302(1),PHAGE_Lactob_Sha1_NC_019489(1),PHAGE_Entero_phiFL1A_NC_013646(1),PHAGE_Lister_LP_030_3_NC_024384(1),PHAGE_Lactoc_1358_NC_027120(1),PHAGE_Strept_315.5_NC_004588(1),PHAGE_Lactob_JCL1032_NC_019456(1),PHAGE_Staphy_phiJB_NC_028669(1),PHAGE_Lister_A500_NC_009810(1),PHAGE_Brevib_Jimmer2_NC_041976(1),PHAGE_Lactob_phiPYB5_NC_027982(1),PHAGE_Strept_phiARI0460_1_NC_031913(1),PHAGE_Temper_phiNIH1.1_NC_003157(1),PHAGE_Staphy_phiRS7_NC_022914(1),PHAGE_Entero_phiFL3A_NC_013648(1),PHAGE_Lactoc_KSY1_NC_009817(1),PHAGE_Lactob_ATCC8014_NC_019916(1),PHAGE_Lactoc_949_NC_015263(1),PHAGE_Lister_vB_LmoS_293_NC_028929(1),PHAGE_Strept_2972_NC_007019(1),PHAGE_Strept_315.4_NC_004587(1),PHAGE_Lactoc_phiL47_NC_023574(1),PHAGE_Bacill_SPP1_NC_004166(1),PHAGE_Brevib_Osiris_NC_028969(1),PHAGE_Clostr_phiCT9441A_NC_029022(1),PHAGE_Staphy_phiMR11_NC_010147(1),PHAGE_Lactob_A2_NC_004112(1),PHAGE_Strept_phiBHN167_NC_022791(1),PHAGE_Pedioc_clP1_NC_016161(1)	15	12.72%	33.68%
>contig_3105	1	7.6Kb	incomplete(10)	NA	45-7714	0	18	15	3	100%	0	no	1	PHAGE_Shigel_Sf6_NC_005344(2),PHAGE_Shigel_SfII_NC_021857(1)	15	11.11%	56.84%
>contig_1388	1	5.5Kb	incomplete(50)	transposase,lysis	43678-49265	0	8	6	2	100%	0	no	4	PHAGE_Entero_BP_4795_NC_004813(3),PHAGE_Prochl_P_TIM68_NC_028955(1),PHAGE_Escher_PA2_NC_028449(1),PHAGE_Burkho_phi1026b_NC_005284(1),PHAGE_Stx2_c_1717_NC_011357(1),PHAGE_Escher_PA28_NC_041935(1),PHAGE_Pseudo_phi3_NC_030940(1),PHAGE_Bacill_BalMu_1_NC_030945(1),PHAGE_Stx2_II_NC_004914(1),PHAGE_Entero_VT2phi_272_NC_028656(1),PHAGE_Vibrio_VP58.5_NC_027981(1)	3	37.5%	51.45%
>contig_1030	1	14.6Kb	incomplete(30)	lysin	135-14746	0	35	13	22	100%	0	no	5	PHAGE_Arthro_PrincessTrina_NC_042053(2),PHAGE_Lactob_phiPYB5_NC_027982(1),PHAGE_Entero_EF62phi_NC_017732(1),PHAGE_Mycoba_Wildcat_NC_008206(1),PHAGE_Mycoba_Rumpelstiltskin_NC_023732(1),PHAGE_Mycoba_Gardann_NC_031124(1),PHAGE_Arthro_Colucci_NC_042000(1),PHAGE_Microb_Pikmin_NC_042119(1),PHAGE_Lactob_LfeInf_NC_029058(1),PHAGE_Arthro_vB_ArtM_ArV1_NC_026606(1),PHAGE_Mycoba_Whirlwind_NC_022052(1),PHAGE_Mycoba_Snenia_NC_028778(1),PHAGE_Mycoba_Crossroads_NC_022071(1)	6	5.71%	49.97%
>contig_1037	1	4.2Kb	incomplete(20)	tail	162782-167045	0	6	6	0	100%	0	no	3	PHAGE_Agroba_Atu_ph07_NC_042013(1),PHAGE_Bacill_vB_BanS_Tsamsa_NC_023007(1),PHAGE_Yersin_phiR1_37_NC_016163(1),PHAGE_Geobac_E3_NC_029073(1),PHAGE_Bacill_AR9_NC_031039(1),PHAGE_Bacill_SP_15_NC_031245(1),PHAGE_Bacill_PBS1_NC_043027(1),PHAGE_Bacill_G_NC_023719(1)	3	16.66%	47.07%
>contig_2904	1	6.6Kb	incomplete(20)	transposase	1261-7952	0	12	9	3	100%	0	no	2	PHAGE_Rhizob_RR1_B_NC_021557(7),PHAGE_Rhodob_RcapMu_NC_016165(6),PHAGE_Pseudo_vB_PaeS_PAO1_Ab30_NC_026601(2),PHAGE_Pseudo_JBD30_NC_020198(2),PHAGE_Pseudo_MP42_NC_018274(2),PHAGE_Pseudo_JBD24_NC_020203(2),PHAGE_Escher_D108_NC_013594(1),PHAGE_Burkho_KS5_NC_015265(1),PHAGE_Entero_Mu_NC_000929(1),PHAGE_Pseudo_MP38_NC_011611(1),PHAGE_Pseudo_JBD69_NC_030908(1),PHAGE_Burkho_KS10_NC_011216(1),PHAGE_Pseudo_B3_NC_006548(1),PHAGE_Gordon_Nyceirae_NC_031004(1),PHAGE_Pseudo_D3112_NC_005178(1),PHAGE_Rhodov_vB_RhkS_P1_NC_031059(1),PHAGE_Haemop_SuMu_NC_019455(1),PHAGE_Entero_SfMu_NC_027382(1),PHAGE_Burkho_KL3_NC_015266(1),PHAGE_Burkho_phiE202_NC_009234(1)	8	58.33%	46.58%
>contig_1147	1	14.1Kb	incomplete(20)	head	1650-15765	0	22	10	12	100%	0	yes	5	PHAGE_Paraco_Shpa_NC_041868(4),PHAGE_Sinorh_phiLM21_NC_029046(4),PHAGE_Brucel_BiPBO1_NC_031264(2),PHAGE_Escher_vB_EcoM_ep3_NC_025430(1),PHAGE_Escher_vB_EcoM_ECO1230_10_NC_027995(1),PHAGE_Azospi_Cd_NC_010355(1),PHAGE_Synech_S_SKS1_NC_020851(1),PHAGE_Thermu_P2345_NC_009803(1),PHAGE_Entero_SfV_NC_003444(1),PHAGE_Mycoba_Sbash_NC_026589(1),PHAGE_Entero_HK544_NC_019767(1),PHAGE_Agroba_Atu_ph07_NC_042013(1),PHAGE_Entero_HK542_NC_019769(1),PHAGE_Pseudo_vB_PaeP_Tr60_Ab31_NC_023575(1),PHAGE_Vibrio_PVA1_NC_023605(1),PHAGE_Stx2_c_1717_NC_011357(1),PHAGE_Pseudo_YMC11/02/R656_NC_028657(1),PHAGE_Salmon_SEN4_NC_029015(1),PHAGE_Rhodob_RcapNL_NC_020489(1),PHAGE_Entero_HK97_NC_002167(1),PHAGE_Pseudo_PAJU2_NC_011373(1),PHAGE_Rhizob_RR1_A_NC_021560(1),PHAGE_Salmon_SEN5_NC_028701(1),PHAGE_Edward_GF_2_NC_026611(1),PHAGE_Xantho_CP2_NC_020205(1),PHAGE_Pseudo_D3_NC_002484(1),PHAGE_Cyanop_S_TIM5_NC_019516(1),PHAGE_Mycoba_Dante_NC_028946(1),PHAGE_Mycoba_Yoshi_NC_042030(1),PHAGE_Entero_mEpX2_NC_019705(1),PHAGE_Vibrio_X29_NC_024369(1),PHAGE_Thalas_BA3_NC_009990(1),PHAGE_Pseudo_PS_1_NC_029066(1)	4	18.18%	45.80%
>contig_2678	1	11.6Kb	incomplete(40)	head,tail	70-11684	0	13	9	4	100%	0	no	2	PHAGE_Lactob_phiadh_NC_000896(7),PHAGE_Strept_DT1_NC_002072(3),PHAGE_Strept_7201_NC_002185(3),PHAGE_Lactob_Lv_1_NC_011801(3),PHAGE_Strept_YMC_2011_NC_018285(2),PHAGE_Strept_Sfi21_NC_000872(2),PHAGE_Strept_Abc2_NC_013645(2),PHAGE_Strept_Sfi19_NC_000871(1),PHAGE_Lactoc_lato_NC_004746(1),PHAGE_Strept_315.4_NC_004587(1),PHAGE_Strept_PH15_NC_010945(1),PHAGE_Lactob_LBR48_NC_027990(1),PHAGE_Temper_phiNIH1.1_NC_003157(1),PHAGE_Lactob_Sha1_NC_019489(1),PHAGE_Lactoc_bIL286_NC_002667(1),PHAGE_Lactob_Ldl1_NC_026609(1),PHAGE_Lactob_phiAT3_NC_005893(1),PHAGE_Lactoc_BK5_T_NC_002796(1)	8	53.84%	39.47%
>contig_2678	2	6.4Kb	incomplete(40)	fiber,capsid	11684-18164	0	8	5	3	100%	0	no	1	PHAGE_Lactob_phiadh_NC_000896(4),PHAGE_Lactob_Lv_1_NC_011801(4),PHAGE_Lactob_KC5a_NC_007924(1),PHAGE_Strept_315.4_NC_004587(1),PHAGE_Lactob_Lj771_NC_010179(1),PHAGE_Temper_phiNIH1.1_NC_003157(1),PHAGE_Lactob_JCL1032_NC_019456(1)	5	50%	37.31%
