contig	protLen	protHits
circular_pair_102	764	Phage integrase, site-specific tyrosine recombinase ACLAME_Phage_integration Phage_integrases 151537.1 Bacteriophage bIL309 protein, Phage integrase, site-specific tyrosine recombinase ACLAME_Phage_integration Phage_integrases 496874.2 Siphoviridae Lactobacillus phage Lrm1 protein, integrase Lactobacillus phage Lrm1 | Lactobacillus | phage | Lrm1 protein, fig|1537091.3.peg.34 putative integrase Not in a subsystem 1537091.3 Edwardsiella phage GF-2 DNA, complete sequence. protein, fig|906669.4.peg.31 Phage integrase ACLAME_Phage_integration| Phage_integrases| Phage_integration_and_excision 906669.4 Escherichia phage HK639 protein, fig|1147154.3.peg.26 integrase Not in a subsystem 1147154.3 Enterobacteria phage mEpX2, complete genome. protein, fig|1147149.3.peg.24 integrase Not in a subsystem 1147149.3 Enterobacteria phage mEp043 c-1, complete genome. protein, fig|1147156.3.peg.24 integrase Not in a subsystem 1147156.3 Enterobacterial phage mEp213, complete genome. protein
circular_pair_102	137	fig|40631.1.peg.52 Phage protein, fig|445684.6.peg.134 Phage protein, fig|1527493.3.peg.45 HTH DNA binding protein
circular_pair_102	206	fig|1127514.3.peg.11 Phage protein, fig|1273738.4.peg.148 methylase Not in a subsystem 1273738.4 Escherichia phage PBECO 4, complete genome. protein, fig|1555202.3.peg.410 DNA methyltransferase Not in a subsystem 1555202.3 Escherichia phage 121Q, complete genome. protein
circular_pair_102	170	fig|906669.4.peg.31 Phage integrase ACLAME_Phage_integration| Phage_integrases| Phage_integration_and_excision 906669.4 Escherichia phage HK639 protein, fig|1129146.3.peg.36 Phage integrase ACLAME_Phage_integration| Phage_integrases| Phage_integration_and_excision 1129146.3 Pseudomonas phage vB_PaeS_PMG1 protein, fig|31535.1.peg.35 Phage integrase, site-specific tyrosine recombinase ACLAME_Phage_integration| Phage_integrases 31535.1 Pseudomonas phage D3 protein, fig|1537091.3.peg.34 putative integrase Not in a subsystem 1537091.3 Edwardsiella phage GF-2 DNA, complete sequence. protein, fig|340054.2.peg.29 Phage integrase, site-specific tyrosine recombinase ACLAME_Phage_integration| Phage_integrases 340054.2 Podoviridae Bacteriophage APSE-2 protein
circular_pair_102	317	Phage integrase, site-specific tyrosine recombinase ACLAME_Phage_integration Phage_integrases 406340.2 P2-like viruses Ralstonia phage phiRSA1 protein, Phage integrase, site-specific tyrosine recombinase ACLAME_Phage_integration Phage_integrases 348058.2 P22-like viruses Salmonella phage epsilon34 protein, integrase Not in a subsystem 1498227.3 Shigella phage POCJ13, complete genome. protein, site-specific recombinase Ralstonia phage RSA1 | recombinase | Ralstonia | phage | RSA1 protein, integrase Salmonella phage SEN22 | Salmonella | phage | SEN22 protein, fig|406340.2.peg.50 Phage integrase, site-specific tyrosine recombinase ACLAME_Phage_integration| Phage_integrases 406340.2 P2-like viruses Ralstonia phage phiRSA1 protein, fig|431893.2.peg.10 Phage integrase, site-specific tyrosine recombinase ACLAME_Phage_integration| Phage_integrases 431893.2 P2-like viruses Burkholderia phage phiE202 protein, fig|332032.3.peg.2 Phage integrase, site-specific tyrosine recombinase ACLAME_Phage_integration| Phage_integrases 332032.3 Burkholderia pseudomallei phage phi52237 protein, fig|906668.4.peg.25 Phage integrase ACLAME_Phage_integration| Phage_integrases| Phage_integration_and_excision 906668.4 Escherichia phage HK75 protein, fig|1147149.3.peg.24 integrase Not in a subsystem 1147149.3 Enterobacteria phage mEp043 c-1, complete genome. protein
circular_pair_102	113	NA
circular_pair_102	158	Phage protein, Transcriptional repressor protein
circular_pair_102	494	radical SAM domain-containing protein, fig|221915.9.peg.187 hypothetical protein, fig|1239383.3.peg.153 hypothetical protein, fig|1041526.3.peg.178 hypothetical protein, fig|1190451.3.peg.27 radical SAM domain-containing protein
circular_pair_102	305	fig|6666666.73729.peg.42 hypothetical protein, fig|722417.3.peg.147 Mobile element protein, fig|1084719.3.peg.262 Nicotinate phosphoribosyltransferase (EC 2.4.2.11 protein, fig|6666666.73842.peg.3 hypothetical protein
circular_pair_102	110	fig|512792.2.peg.24 Phage protein
circular_pair_102	125	Phage protein, fig|279006.3.peg.186 Phage protein
circular_pair_124	254	fig|1429767.3.peg.20 hypothetical protein, fig|322855.3.peg.43 Phage protein
circular_pair_124	329	fig|1074304.3.peg.42 Phage protein, fig|1327950.4.peg.41 hypothetical protein, fig|1327952.3.peg.41 hypothetical protein, fig|1089114.3.peg.42 Phage exonuclease ACLAME_Phage_recombination_and_repair| Phage_integration_and_excision 1089114.3 Mycobacterium phage Avrafan protein, fig|373407.2.peg.42 Phage exonuclease ACLAME_Phage_recombination_and_repair| Phage_integration_and_excision 373407.2 Siphoviridae Mycobacterium phage Halo protein
circular_pair_124	107	NA
circular_pair_124	212	NA
circular_pair_124	287	fig|1074304.3.peg.42 Phage protein, fig|1327950.4.peg.41 hypothetical protein, fig|1327952.3.peg.41 hypothetical protein, fig|1089114.3.peg.42 Phage exonuclease ACLAME_Phage_recombination_and_repair| Phage_integration_and_excision 1089114.3 Mycobacterium phage Avrafan protein, fig|373407.2.peg.42 Phage exonuclease ACLAME_Phage_recombination_and_repair| Phage_integration_and_excision 373407.2 Siphoviridae Mycobacterium phage Halo protein
circular_pair_124	929	fig|1124654.3.peg.6 RecT protein, fig|1125653.4.peg.38 putative RecT family protein, fig|925984.3.peg.45 Phage exonuclease ACLAME_Phage_recombination_and_repair| Phage_integration_and_excision 925984.3 Erwinia phage phiEt88 protein, fig|343516.2.peg.37 Phage exonuclease protein
circular_pair_124	953	fig|1074304.3.peg.42 Phage protein, fig|1327950.4.peg.41 hypothetical protein, fig|1327952.3.peg.41 hypothetical protein, fig|1089114.3.peg.42 Phage exonuclease ACLAME_Phage_recombination_and_repair| Phage_integration_and_excision 1089114.3 Mycobacterium phage Avrafan protein, fig|373407.2.peg.42 Phage exonuclease ACLAME_Phage_recombination_and_repair| Phage_integration_and_excision 373407.2 Siphoviridae Mycobacterium phage Halo protein
circular_pair_124	914	fig|1124654.3.peg.6 RecT protein, fig|1125653.4.peg.38 putative RecT family protein, fig|925984.3.peg.45 Phage exonuclease ACLAME_Phage_recombination_and_repair| Phage_integration_and_excision 925984.3 Erwinia phage phiEt88 protein, fig|343516.2.peg.37 Phage exonuclease protein
circular_pair_124	968	fig|1074304.3.peg.42 Phage protein, fig|1327950.4.peg.41 hypothetical protein, fig|1327952.3.peg.41 hypothetical protein, fig|1089114.3.peg.42 Phage exonuclease ACLAME_Phage_recombination_and_repair| Phage_integration_and_excision 1089114.3 Mycobacterium phage Avrafan protein, fig|373407.2.peg.42 Phage exonuclease ACLAME_Phage_recombination_and_repair| Phage_integration_and_excision 373407.2 Siphoviridae Mycobacterium phage Halo protein
circular_pair_124	425	fig|322855.3.peg.43 Phage protein
circular_pair_124	116	NA
circular_pair_124	392	fig|1519999.3.peg.5 enterotoxin type A/P Not in a subsystem 1519999.3 Staphylococcus phage phiBU01, complete genome. protein
circular_pair_124	248	fig|1127518.3.peg.62 Phage protein
circular_pair_124	167	Phage repressor ACLAME_Phage_regulation_of_gene_expression Phage_regulation_of_gene_expression 10704.2 Siphoviridae Rhizobium phage 16-3 protein, C repressor protein, fig|10704.2.peg.67 Phage repressor ACLAME_Phage_regulation_of_gene_expression| Phage_regulation_of_gene_expression 10704.2 Siphoviridae Rhizobium phage 16-3 protein, fig|1091038.3.peg.65 hypothetical protein, fig|1503929.3.peg.58 CI repressor Not in a subsystem 1503929.3 Aurantimonas phage AmM-1 DNA, complete sequence. protein
circular_pair_124	284	hypothetical protein, fig|1161931.3.peg.96 hypothetical protein, fig|6666666.73681.peg.51 putative Type I restriction-modification methylase Not in a subsystem 6666666.73681 uncultured Mediterranean phage uvMED-CGR-C82-MedDCM-OCT-S25-C54 protein, fig|6666666.73682.peg.22 putative Type I restriction-modification methylase Not in a subsystem 6666666.73682 uncultured Mediterranean phage uvMED-CGR-C82-MedDCM-OCT-S28-C40 protein, fig|1204529.9.peg.175 hypothetical protein, fig|889338.5.peg.146 Phage protein
circular_pair_124	122	NA
circular_pair_124	131	fig|424947.3.peg.23 hypothetical protein, fig|424949.3.peg.24 hypothetical protein, fig|1540823.3.peg.24 hypothetical protein, fig|1115478.3.peg.58 Phage protein, fig|1163482.3.peg.25 Phage protein
circular_pair_124	209	NA
circular_pair_124	353	fig|1206545.3.peg.52 hypothetical protein
circular_pair_124	89	Phage protein
circular_pair_124	89	fig|10677.1.peg.16 Phage protein
circular_pair_124	326	hypothetical protein, fig|1161931.3.peg.96 hypothetical protein, fig|6666666.73682.peg.22 putative Type I restriction-modification methylase Not in a subsystem 6666666.73682 uncultured Mediterranean phage uvMED-CGR-C82-MedDCM-OCT-S28-C40 protein, fig|6666666.73681.peg.51 putative Type I restriction-modification methylase Not in a subsystem 6666666.73681 uncultured Mediterranean phage uvMED-CGR-C82-MedDCM-OCT-S25-C54 protein, fig|1204529.9.peg.175 hypothetical protein, fig|889338.5.peg.146 Phage protein
circular_pair_124	95	Phage repressor ACLAME_Phage_regulation_of_gene_expression Phage_regulation_of_gene_expression 10704.2 Siphoviridae Rhizobium phage 16-3 protein, C repressor protein, fig|10704.2.peg.67 Phage repressor ACLAME_Phage_regulation_of_gene_expression| Phage_regulation_of_gene_expression 10704.2 Siphoviridae Rhizobium phage 16-3 protein
circular_pair_124	248	fig|1127518.3.peg.62 Phage protein
circular_pair_124	392	fig|1519999.3.peg.5 enterotoxin type A/P Not in a subsystem 1519999.3 Staphylococcus phage phiBU01, complete genome. protein
circular_pair_124	116	NA
circular_pair_124	422	fig|322855.3.peg.43 Phage protein
circular_pair_131	926	fig|347324.2.peg.55 Phage protein, fig|6666666.73577.peg.18 hypothetical protein, fig|6666666.3761.peg.74 Phage protein, fig|6666666.3770.peg.73 Phage protein, fig|6666666.3888.peg.66 Phage protein
circular_pair_131	89	NA
circular_pair_131	122	Phage protein, unnamed protein
circular_pair_131	434	fig|1540095.3.peg.68 hypothetical protein, fig|417280.2.peg.32 Phage protein, fig|1195070.3.peg.59 Phage protein, fig|1307804.3.peg.227 hypothetical protein
circular_pair_131	782	fig|1141138.3.peg.157 hypothetical protein
circular_pair_1390	122	fig|760939.3.peg.208 Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26 protein, fig|6666666.73717.peg.20 hypothetical protein, fig|6666666.74080.peg.7 hypothetical protein, fig|6666666.74081.peg.10 hypothetical protein, fig|6666666.74083.peg.6 hypothetical protein
circular_pair_1390	89	NA
circular_pair_1390	593	fig|273133.2.peg.152 Phage protein, fig|6666666.73928.peg.18 Protein of unknwon function (DUF3310 protein, fig|6666666.73933.peg.21 Protein of unknwon function (DUF3310 protein, fig|6666666.73651.peg.26 Protein of unknwon function (DUF3310 protein, fig|6666666.73922.peg.23 Protein of unknwon function (DUF3310 protein
circular_pair_1390	92	hypothetical protein
circular_pair_1390	503	fig|12336.2.peg.12 Phage antirepressor ACLAME_Phage_regulation_of_gene_expression| Phage_regulation_of_gene_expression 12336.2 Myoviridae Clostridium phage c-st protein, fig|864178.3.peg.20 Phage protein, fig|1084719.3.peg.534 Phage protein
circular_pair_1390	89	NA
circular_pair_1390	593	fig|273133.2.peg.152 Phage protein, fig|6666666.73928.peg.18 Protein of unknwon function (DUF3310 protein, fig|6666666.73933.peg.21 Protein of unknwon function (DUF3310 protein, fig|6666666.73651.peg.26 Protein of unknwon function (DUF3310 protein, fig|6666666.73922.peg.23 Protein of unknwon function (DUF3310 protein
circular_pair_1390	92	hypothetical protein
circular_pair_1390	503	fig|12336.2.peg.12 Phage antirepressor ACLAME_Phage_regulation_of_gene_expression| Phage_regulation_of_gene_expression 12336.2 Myoviridae Clostridium phage c-st protein, fig|864178.3.peg.20 Phage protein, fig|1084719.3.peg.534 Phage protein
circular_pair_1390	89	NA
circular_pair_1390	593	fig|273133.2.peg.152 Phage protein, fig|6666666.73928.peg.18 Protein of unknwon function (DUF3310 protein, fig|6666666.73933.peg.21 Protein of unknwon function (DUF3310 protein, fig|6666666.73651.peg.26 Protein of unknwon function (DUF3310 protein, fig|6666666.73922.peg.23 Protein of unknwon function (DUF3310 protein
circular_pair_1390	92	hypothetical protein
circular_pair_1390	440	fig|12336.2.peg.12 Phage antirepressor ACLAME_Phage_regulation_of_gene_expression| Phage_regulation_of_gene_expression 12336.2 Myoviridae Clostridium phage c-st protein, fig|864178.3.peg.20 Phage protein, fig|1084719.3.peg.534 Phage protein
circular_pair_1398	1079	fig|198110.2.peg.128 Phage protein, fig|998086.3.peg.62 Phage protein, fig|169683.1.peg.74 Phage DNA helicase or terminase, large subunit protein
circular_pair_1398	689	NA
circular_pair_1398	176	NA
circular_pair_1398	407	NA
circular_pair_1398	449	fig|6666666.34168.peg.123 Phage protein
circular_pair_1398	107	CPXV087 protein
circular_pair_1398	149	NA
circular_pair_1398	881	fig|1247.120.peg.25 Phage portal Not in a subsystem 1247.120 Oenococcus phage phiS13, complete genome. protein, fig|1247.119.peg.24 portal protein, fig|1247.121.peg.26 Phage portal Not in a subsystem 1247.121 Oenococcus phage phiS11, complete genome. protein, fig|1477404.4.peg.26 hypothetical protein
circular_pair_1512	245	NA
circular_pair_1512	173	hypothetical protein
circular_pair_1512	119	NA
circular_pair_1512	98	NA
circular_pair_1512	95	Phage protein, fig|1555202.3.peg.266 hypothetical protein
circular_pair_1512	125	NA
circular_pair_1512	308	NA
circular_pair_1512	158	3'phosphatase, 5'polynucleotide kinase Not in a subsystem 1129147.4 Klebsiella phage KP27, complete genome. protein, polynucleotide kinase Klebsiella phage Miro | kinase | Klebsiella | phage | Miro protein, polynucleotide kinase Klebsiella phage Matisse | kinase | Klebsiella | phage | Matisse protein, 3'phosphatase, 5'polynucleotide kinase Enterobacter phage phiEap-3 | 5'polynucleotide | kinase | Enterobacter | phage | phiEap-3 protein, 3'phosphatase, 5'polynucleotide kinase Klebsiella phage KP27 | 5'polynucleotide | kinase | Klebsiella | phage | KP27 protein, fig|1141136.3.peg.493 hypothetical protein
circular_pair_1512	179	fig|981330.3.peg.63 Phage protein, fig|1076630.3.peg.56 DNA polymerase I (EC 2.7.7.7 protein, fig|691963.3.peg.49 Phage protein, fig|6666666.13471.peg.53 DNA polymerase I (EC 2.7.7.7 protein, fig|1354508.3.peg.53 DNA polymerase I Not in a subsystem 1354508.3 Mycobacterium phage Bane1, complete genome. protein
circular_pair_1512	194	NA
circular_pair_1512	98	NA
circular_pair_1512	134	fig|1105171.3.peg.14 Phage protein
circular_pair_1512	149	NA
circular_pair_1512	308	fig|31535.1.peg.63 Phage protein
circular_pair_1512	101	fig|6666666.74501.peg.2 hypothetical protein
circular_pair_1512	155	NA
circular_pair_1512	110	NA
circular_pair_1512	98	NA
circular_pair_1512	185	fig|1084719.3.peg.377 Phage protein
circular_pair_1512	275	fig|764595.3.peg.192 Phage protein, fig|6666666.73692.peg.5 putative acetyltransferase Not in a subsystem 6666666.73692 uncultured Mediterranean phage uvMED-CGR-C20A-MedDCM-OCT-S30-C71 protein, fig|6666666.73693.peg.54 putative acetyltransferase Not in a subsystem 6666666.73693 uncultured Mediterranean phage uvMED-CGR-C20A-MedDCM-OCT-S36-C79 protein
circular_pair_1512	113	dCMP hydroxymethylase Citrobacter phage Merlin | hydroxymethylase | Citrobacter | phage | Merlin protein, fig|1498168.3.peg.131 hypothetical protein, fig|442493.2.peg.206 Phage protein, fig|947379.4.peg.193 Phage protein
circular_pair_1512	323	NA
circular_pair_1512	365	NA
circular_pair_1512	230	NA
circular_pair_1512	203	fig|1486421.3.peg.102 lysin, N-acetylmuramoyl-L-alanine amidase Not in a subsystem 1486421.3 Listeria phage LMSP-25, complete genome. protein, fig|6666666.74333.peg.61 hypothetical protein, fig|6666666.74621.peg.2 hypothetical protein, fig|6666666.73764.peg.13 hypothetical protein, fig|1486422.3.peg.97 lysin, N-acetylmuramoyl-L-alanine amidase Not in a subsystem 1486422.3 Listeria phage List-36, complete genome. protein
circular_pair_1512	116	NA
circular_pair_1512	221	NA
circular_pair_1512	260	Phage protein, protelomerase Vibrio phage VP882 | Vibrio | phage | VP882 protein
circular_pair_1512	101	Phage protein
circular_pair_1512	107	DNA polymerase I (EC 2.7.7.7 protein
circular_pair_1512	113	NA
circular_pair_1512	110	Prophage LambdaBa02 Not in a subsystem 6666666.73784 uncultured Mediterranean phage uvMED-CGF-C115A-MedDCM-OCT-S41-C92 protein, transcriptional regulator Not in a subsystem 6666666.73579 uncultured Mediterranean phage uvMED-CGR-C115A-MedDCM-OCT-S39-C87 protein, hypothetical protein
circular_pair_1512	212	NA
circular_pair_1512	275	fig|279006.3.peg.178 Phage baseplate hub subunit Phage_tail_ protein, fig|6666666.73638.peg.57 hypothetical protein, fig|6666666.73913.peg.54 hypothetical protein, fig|6666666.73914.peg.42 hypothetical protein
circular_pair_1512	167	NA
circular_pair_1512	191	fig|1354507.3.peg.42 lysin B Not in a subsystem 1354507.3 Mycobacterium phage Adawi, complete genome. protein
circular_pair_1512	98	NA
circular_pair_1512	110	fig|1416030.3.peg.49 hypothetical protein, fig|1147155.3.peg.58 hypothetical protein, fig|6666666.74539.peg.25 hypothetical protein
circular_pair_1512	122	NA
circular_pair_1512	95	NA
circular_pair_1512	95	fig|6666666.74708.peg.32 hypothetical protein
circular_pair_1512	89	NA
circular_pair_1512	137	NA
circular_pair_1512	110	putative endolysin Not in a subsystem 1173745.3 Listeria phage LP-026, complete genome. protein, endolysin Not in a subsystem 1225800.3 Listeria phage P70, complete genome. protein, putative endolysin Listeria phage LP-026 | endolysin | Listeria | phage | LP-026 protein, endolysin Listeria phage P70 | Listeria | phage | P70 protein
circular_pair_1512	152	NA
circular_pair_1512	233	fig|1204533.3.peg.179 putative large terminase subunit-like protein, fig|115992.3.peg.55 hypothetical protein
circular_pair_1512	110	NA
circular_pair_1512	176	NA
circular_pair_1521	275	NA
circular_pair_1521	191	NA
circular_pair_1521	353	NA
circular_pair_1521	200	fig|6666666.74576.peg.14 T7-like tail fiber Not in a subsystem 6666666.74576 uncultured Mediterranean phage uvMED-GF-U-MedDCM-OCT-S41-C102 protein
circular_pair_1521	92	tail sheath protein, tail protein
circular_pair_1521	140	NA
circular_pair_1521	188	hypothetical protein, fig|6666666.74609.peg.28 hypothetical protein, fig|55510.3.peg.150 Phage protein, fig|1110702.3.peg.89 Phage protein, fig|990550.3.peg.78 Phage protein
circular_pair_1521	209	fig|1486659.3.peg.111 hypothetical protein, fig|1486661.3.peg.112 hypothetical protein, fig|6666666.3806.peg.16 Phage protein, fig|979525.3.peg.218 Phage protein, fig|979526.3.peg.217 Phage protein
circular_pair_1521	104	NA
circular_pair_1521	89	NA
circular_pair_1521	89	Phage protein, lysozyme_like superfamily protein, putative RNaseH-like domain protein
circular_pair_1521	131	DNA primase/helicase, phage-associated Phage_replication 445683.6 Synechococcus phage S-ShM2 protein, fig|37105.3.peg.35 Phage integrase ACLAME_Phage_integration| Phage_integrases| Phage_integration_and_excision 37105.3 Lactobacillus phage JCL1032 protein
circular_pair_1521	137	NA
circular_pair_1521	122	hypothetical protein, Phage protein
circular_pair_1521	353	fig|1187894.3.peg.31 Phage protein, fig|6666666.34168.peg.56 Phage protein
circular_pair_1521	434	fig|207656.3.peg.101 hypothetical protein, fig|1406785.3.peg.95 minor capsid protein, fig|475178.2.peg.50 Phage protein, fig|941058.3.peg.187 hypothetical protein, fig|947980.3.peg.17 Phage protein
circular_pair_1555	506	fig|1036615.3.peg.86 Phage protein, fig|1340708.4.peg.93 hypothetical protein, fig|1340820.4.peg.95 hypothetical protein, fig|1340821.3.peg.85 hypothetical protein, fig|1527463.3.peg.85 hypothetical protein
circular_pair_1555	332	internal scaffolding protein, fig|1385658.3.peg.3 portal protein, fig|145579.1.peg.7 Phage internal scaffolding protein
circular_pair_1555	731	Phage minor capsid protein, fig|10855.1.peg.7 Phage minor capsid protein, fig|90963.1.peg.3 Phage minor capsid protein, fig|225067.3.peg.4 Phage minor capsid protein, fig|105154.1.peg.4 Phage minor capsid protein, fig|117575.1.peg.2 Phage minor capsid protein
circular_pair_1555	1595	Phage major capsid protein, putative major capsid protein, major capsid protein, fig|117575.1.peg.1 Phage major capsid protein, fig|90963.1.peg.1 Phage major capsid protein, fig|105154.1.peg.1 Phage major capsid protein, fig|145579.1.peg.1 Phage major capsid protein, fig|225067.3.peg.1 Phage major capsid protein
circular_pair_1555	869	fig|225067.3.peg.7 Phage DNA replication protein
circular_pair_1555	113	fig|145579.1.peg.9 Phage DNA binding protein
circular_pair_1555	188	Phage single stranded DNA synthesis protein
circular_pair_1594	131	tail fiber protein
circular_pair_1594	1073	fig|169683.1.peg.155 Phage ribonuclease H (EC 3.1.26.4 protein
circular_pair_1594	947	fig|1222338.3.peg.210 hypothetical protein, fig|448384.2.peg.209 Phage protein, fig|1406783.3.peg.166 hypothetical protein
circular_pair_1594	131	tail fiber protein
circular_pair_1594	1073	fig|169683.1.peg.155 Phage ribonuclease H (EC 3.1.26.4 protein
circular_pair_1594	842	fig|448384.2.peg.209 Phage protein, fig|1222338.3.peg.210 hypothetical protein, fig|1406783.3.peg.166 hypothetical protein
circular_pair_1649	197	NA
circular_pair_1649	125	fig|151536.1.peg.54 Phage structural protein
circular_pair_1649	185	fig|77775.1.peg.178 Phage protein, fig|6666666.43262.peg.38 Protein of Unknown Function Not in a subsystem 6666666.43262 Pelagibacter phage HTVC008M protein
circular_pair_1649	134	NA
circular_pair_1649	125	fig|1173766.3.peg.56 hypothetical protein, fig|330395.2.peg.144 Phage protein, fig|40523.2.peg.35 Phage protein, fig|1458855.3.peg.50 hypothetical protein, fig|1486421.3.peg.62 hypothetical protein
circular_pair_1649	155	NA
circular_pair_1649	92	NA
circular_pair_1649	98	NA
circular_pair_1649	92	NA
circular_pair_1649	125	Phage protein, gp411 Bacillus virus G | Bacillus | virus | G protein, fig|1536605.3.peg.29 holin I Not in a subsystem 1536605.3 Leuconostoc phage Ln-9, complete genome. protein
circular_pair_1649	92	NA
circular_pair_1649	125	fig|1173766.3.peg.56 hypothetical protein, fig|330395.2.peg.144 Phage protein, fig|40523.2.peg.35 Phage protein, fig|1458855.3.peg.50 hypothetical protein, fig|1486421.3.peg.62 hypothetical protein
circular_pair_1649	155	fig|259901.1.peg.23 Phage pathogenicity island SaPIn2 protein
circular_pair_1649	92	NA
circular_pair_1649	110	DNA primase Not in a subsystem 1453336.3 Pseudomonas phage SPM-1, complete genome. protein, DNA primase, phage associated Not in a subsystem 1175653.3 UNVERIFIED: Pseudomonas phage PaMx13 protein, Phage DNA primase helicase protein
circular_pair_1649	125	fig|1173766.3.peg.56 hypothetical protein, fig|330395.2.peg.144 Phage protein, fig|40523.2.peg.35 Phage protein, fig|1458855.3.peg.50 hypothetical protein, fig|1486421.3.peg.62 hypothetical protein
circular_pair_1649	155	NA
circular_pair_1649	92	NA
circular_pair_1649	173	NA
circular_pair_1649	125	fig|1173766.3.peg.56 hypothetical protein, fig|330395.2.peg.144 Phage protein, fig|40523.2.peg.35 Phage protein, fig|1458855.3.peg.50 hypothetical protein, fig|1486421.3.peg.62 hypothetical protein
circular_pair_1649	155	NA
circular_pair_1649	92	NA
circular_pair_1649	128	fig|55510.3.peg.50 Phage protein
circular_pair_1649	92	NA
circular_pair_1649	125	Phage protein, gp411 Bacillus virus G | Bacillus | virus | G protein, fig|1536605.3.peg.29 holin I Not in a subsystem 1536605.3 Leuconostoc phage Ln-9, complete genome. protein
circular_pair_1649	92	NA
circular_pair_1649	125	fig|1173766.3.peg.56 hypothetical protein, fig|330395.2.peg.144 Phage protein, fig|40523.2.peg.35 Phage protein, fig|1458855.3.peg.50 hypothetical protein, fig|1486421.3.peg.62 hypothetical protein
circular_pair_1656	1331	NA
circular_pair_1656	107	NA
circular_pair_1656	116	NA
circular_pair_1656	92	NA
circular_pair_1656	125	NA
circular_pair_1656	290	NA
circular_pair_1656	149	NA
circular_pair_1656	98	NA
circular_pair_1656	182	NA
circular_pair_1656	581	fig|6666666.73721.peg.41 hypothetical protein, fig|6666666.73722.peg.38 hypothetical protein
circular_pair_1656	230	fig|280702.3.peg.1 Phage replication helicase protein
circular_pair_1656	113	fig|889338.5.peg.13 HNH homing endonuclease protein
circular_pair_1656	134	Phage terminase, small subunit ACLAME_Phage_head Phage_packaging_machinery T4-like_phage_core_ protein, putative terminase small subunit Lactococcus virus P008 | terminase | small | subunit | Lactococcus | virus | P008 protein, putative terminase small subunit Lactococcus virus ASCC273 | terminase | small | subunit | Lactococcus | virus | ASCC273 protein, putative terminase small subunit Lactococcus phage ASCC287 | terminase | small | subunit | Lactococcus | phage | ASCC287 protein, putative terminase small subunit Lactococcus phage ASCC324 | terminase | small | subunit | Lactococcus | phage | ASCC324 protein, putative terminase small subunit Lactococcus phage ASCC337 | terminase | small | subunit | Lactococcus | phage | ASCC337 protein
circular_pair_1656	95	NA
circular_pair_1656	98	NA
circular_pair_1656	203	NA
circular_pair_1656	125	NA
circular_pair_1656	119	hypothetical protein
