scaffold	length	cov	circ	repeat.	mult	alt_grp	graph_path	prediction	type	Quality	COMPLETENESS.score.	SPECIFIC_KEYWORD	TOTAL_PROTEIN_NUM	PHAGE_HIT_PROTEIN_NUM	ATT_SITE_SHOWUP	MOST_COMMON_PHAGE_NAME.hit_genes_count.	engel_match_per	matt_match_len	engel_match_len	matt_match	engel_match	matt_match_per	match
contig_1030	22983	129	N	N	1	*	-1023,-1022,1021,1022,1023,-1023,1022,1023,-1023,-1022,1022,1023,1030,1808,1809,1810,1810,1810,-1810,-1810,-1809,-1808	virus	lytic	low quality draft	incomplete(30)	lysin	35	13	no	PHAGE_Arthro_PrincessTrina_NC_042053(2),PHAGE_Lactob_phiPYB5_NC_027982(1),PHAGE_Entero_EF62phi_NC_017732(1),PHAGE_Mycoba_Wildcat_NC_008206(1),PHAGE_Mycoba_Rumpelstiltskin_NC_023732(1),PHAGE_Mycoba_Gardann_NC_031124(1),PHAGE_Arthro_Colucci_NC_042000(1),PHAGE_Microb_Pikmin_NC_042119(1),PHAGE_Lactob_LfeInf_NC_029058(1),PHAGE_Arthro_vB_ArtM_ArV1_NC_026606(1),PHAGE_Mycoba_Whirlwind_NC_022052(1),PHAGE_Mycoba_Snenia_NC_028778(1),PHAGE_Mycoba_Crossroads_NC_022071(1)	91.1018421052632	1780.25	929.157894736842	MN856090	JAAOBB010000053.1	89.0225833333333	both
contig_1031	27415	24	N	N	6	*	1028,1031,*	virus	lytic	low quality draft	incomplete(30)	recombinase	22	13	no	PHAGE_Entero_c_1_NC_019706(2),PHAGE_Edward_GF_2_NC_026611(2),PHAGE_Escher_vB_EcoM_ep3_NC_025430(1),PHAGE_Mycoba_Goku_NC_022085(1),PHAGE_Cellul_phi10:1_NC_021802(1),PHAGE_Escher_vB_EcoM_ECO1230_10_NC_027995(1),PHAGE_Entero_933W_NC_000924(1),PHAGE_Stx2_vB_EcoP_24B_NC_027984(1),PHAGE_Escher_PA2_NC_028449(1),PHAGE_Entero_Min27_NC_010237(1),PHAGE_Stx2_c_86_NC_008464(1),PHAGE_Salmon_IME207_NC_031924(1),PHAGE_Shigel_Ss_VASD_NC_028685(1),PHAGE_Mycoba_Eureka_NC_041850(1),PHAGE_Mycoba_Contagion_NC_022065(1),PHAGE_Entero_phi80_NC_021190(1),PHAGE_Entero_VT2phi_272_NC_028656(1),PHAGE_Escher_TL_2011c_NC_019442(1),PHAGE_Escher_phi191_NC_028660(1),PHAGE_Pseudo_vB_PaeP_Tr60_Ab31_NC_023575(1),PHAGE_Escher_vB_EcoM_ECOO78_NC_041926(1),PHAGE_Paraco_Shpa_NC_041868(1),PHAGE_Mycoba_Bruin_NC_022988(1),PHAGE_Pseudo_YMC11/02/R656_NC_028657(1),PHAGE_Salmon_II_E1_NC_010495(1),PHAGE_Entero_HK633_NC_019719(1),PHAGE_Mycoba_Nala_NC_022976(1),PHAGE_Pseudo_PS_1_NC_029066(1)	89.1466666666667	1701	2143	MN856090	JAAOBB010000053.1	87.441	both
contig_1032	2204	11	N	N	1	*	*,1032,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	88.569	1029	1041	MN856088	JAAOBB010000099.1	88.921	both
contig_1033	2823	425	N	N	14	*	*,1033,*	organism	lytic	low quality draft	NA	NA	NA	NA	NA	NA	84.265	2518	2523	MN855721	JAAOBB010000051.1	85.941	both
contig_1034	34471	38	N	N	1	*	1034,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1035	7045	96	N	N	3	*	*,1035,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1036	28031	25	N	N	1	*	*,1036,*	organism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1037	324939	147	N	N	1	*	1037,2853,*	organism	NA	NA	incomplete(20)	tail	6	6	no	PHAGE_Agroba_Atu_ph07_NC_042013(1),PHAGE_Bacill_vB_BanS_Tsamsa_NC_023007(1),PHAGE_Yersin_phiR1_37_NC_016163(1),PHAGE_Geobac_E3_NC_029073(1),PHAGE_Bacill_AR9_NC_031039(1),PHAGE_Bacill_SP_15_NC_031245(1),PHAGE_Bacill_PBS1_NC_043027(1),PHAGE_Bacill_G_NC_023719(1)	NA	NA	NA	NA	NA	NA	none
contig_1038	4743	118	N	Y	1	226	*,1038,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1039	4315	11	N	Y	1	226	*,1039,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_104	506	3	N	Y	1	*	104	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.308	182	182	MN856063	JAAOBB010000022.1	93.956	both
contig_1040	6658	38	N	Y	1	*	1040	virus	lysogenic	low quality draft	incomplete(20)	integrase	9	6	no	PHAGE_Lactob_Lv_1_NC_011801(2),PHAGE_Lactob_LBR48_NC_027990(1),PHAGE_Lister_LP_101_NC_024387(1),PHAGE_Lactob_JCL1032_NC_019456(1),PHAGE_Lactob_Sha1_NC_019489(1),PHAGE_Strept_APCM01_NC_029030(1),PHAGE_Clostr_phiCT19406C_NC_029006(1),PHAGE_Lactob_LF1_NC_019486(1),PHAGE_Lactob_phiadh_NC_000896(1),PHAGE_Lactob_jlb1_NC_024206(1),PHAGE_Lactob_phiJB_NC_022775(1)	87.3773333333333	491	507.333333333333	MN855735	JAAOBB010000175.1	86.965	both
contig_1045	6963	130	N	N	5	*	*,1045,*	virus	lytic	low quality draft	incomplete(50)	terminase,portal	9	9	no	PHAGE_Lactob_KC5a_NC_007924(3),PHAGE_Lactob_LfeSau_NC_029068(2),PHAGE_Lactob_jlb1_NC_024206(2),PHAGE_Lactob_phiAQ113_NC_019782(2),PHAGE_Lactob_phiJB_NC_022775(2),PHAGE_Lactob_Lj771_NC_010179(2),PHAGE_Lactob_ATCC8014_NC_019916(1),PHAGE_Lactob_JCL1032_NC_019456(1),PHAGE_Staphy_K_NC_005880(1),PHAGE_Bacill_phi4B1_NC_028886(1),PHAGE_Strept_phiARI0131_1_NC_031901(1),PHAGE_Lactob_phiPYB5_NC_027982(1),PHAGE_Staphy_Team1_NC_025417(1),PHAGE_Lactob_CL2_NC_028835(1),PHAGE_Strept_phiARI0462_NC_031942(1),PHAGE_Lactob_Lj928_NC_005354(1),PHAGE_Lactob_CL1_NC_028888(1),PHAGE_Pedioc_clP1_NC_016161(1),PHAGE_Bacill_G_NC_023719(1),PHAGE_Entero_phiFL1A_NC_013646(1),PHAGE_Staphy_812_NC_029080(1),PHAGE_Staphy_G1_NC_007066(1),PHAGE_Lactoc_PLgT_1_NC_031016(1),PHAGE_Lactob_Lv_1_NC_011801(1),PHAGE_Lactob_iLp1308_NC_028911(1)	91.4902	1652.33333333333	1029.4	MN856014	JAAOBB010000007.1	92.295	both
contig_1046	2323	124	N	N	6	*	*,1046,*	virus	lysogenic	low quality draft	NA	NA	NA	NA	NA	NA	83.016	491	736	MN855735	JAAOBB010000175.1	86.965	both
contig_1047	32148	118	N	N	4	*	*,1047,-2054,-2053	virus	lysogenic	medium quality draft	intact(150)	terminase,portal,integrase	55	42	yes	PHAGE_Lactob_phiJB_NC_022775(7),PHAGE_Lactob_LfeSau_NC_029068(7),PHAGE_Lactob_PLE2_NC_031036(6),PHAGE_Lactob_KC5a_NC_007924(4),PHAGE_Lactob_jlb1_NC_024206(4),PHAGE_Strept_phiARI0131_1_NC_031901(3),PHAGE_Lactob_LF1_NC_019486(3),PHAGE_Strept_phiARI0468_2_NC_031923(3),PHAGE_Lactob_Lj771_NC_010179(3),PHAGE_Lactob_Lv_1_NC_011801(3),PHAGE_Lactoc_98201_NC_031064(2),PHAGE_Lactob_Lj928_NC_005354(2),PHAGE_Lactob_phiAQ113_NC_019782(2),PHAGE_Lactob_iLp84_NC_028783(2),PHAGE_Lactoc_bIL312_NC_002671(2),PHAGE_Lactob_PLE3_NC_031125(2),PHAGE_Lactob_LBR48_NC_027990(2),PHAGE_Lactob_Lj965_NC_005355(1),PHAGE_Clostr_phiCP39_O_NC_011318(1),PHAGE_Lister_A118_NC_003216(1),PHAGE_Lactob_phig1e_NC_004305(1),PHAGE_Staphy_phiPV83_NC_002486(1),PHAGE_Staphy_80_NC_030652(1),PHAGE_Lactob_phiadh_NC_000896(1),PHAGE_Bacill_phi4B1_NC_028886(1),PHAGE_Staphy_53_NC_007049(1),PHAGE_Strept_Alq132_NC_013598(1),PHAGE_Thermu_OH2_NC_021784(1),PHAGE_Strept_EJ_1_NC_005294(1),PHAGE_Strept_phiARI0462_NC_031942(1),PHAGE_Lister_vB_LmoS_188_NC_028871(1),PHAGE_Lister_A006_NC_009815(1),PHAGE_Lactoc_WRP3_NC_027341(1),PHAGE_Staphy_phinm2_NC_028913(1),PHAGE_Strept_DT1_NC_002072(1),PHAGE_Staphy_55_NC_007060(1),PHAGE_Lactob_LL_H_NC_009554(1),PHAGE_Lactoc_bIL310_NC_002669(1),PHAGE_Lister_B025_NC_009812(1),PHAGE_Strept_P9_NC_009819(1),PHAGE_Lactoc_r1t_NC_004302(1),PHAGE_Lactob_Sha1_NC_019489(1),PHAGE_Entero_phiFL1A_NC_013646(1),PHAGE_Lister_LP_030_3_NC_024384(1),PHAGE_Lactoc_1358_NC_027120(1),PHAGE_Strept_315.5_NC_004588(1),PHAGE_Lactob_JCL1032_NC_019456(1),PHAGE_Staphy_phiJB_NC_028669(1),PHAGE_Lister_A500_NC_009810(1),PHAGE_Brevib_Jimmer2_NC_041976(1),PHAGE_Lactob_phiPYB5_NC_027982(1),PHAGE_Strept_phiARI0460_1_NC_031913(1),PHAGE_Temper_phiNIH1.1_NC_003157(1),PHAGE_Staphy_phiRS7_NC_022914(1),PHAGE_Entero_phiFL3A_NC_013648(1),PHAGE_Lactoc_KSY1_NC_009817(1),PHAGE_Lactob_ATCC8014_NC_019916(1),PHAGE_Lactoc_949_NC_015263(1),PHAGE_Lister_vB_LmoS_293_NC_028929(1),PHAGE_Strept_2972_NC_007019(1),PHAGE_Strept_315.4_NC_004587(1),PHAGE_Lactoc_phiL47_NC_023574(1),PHAGE_Bacill_SPP1_NC_004166(1),PHAGE_Brevib_Osiris_NC_028969(1),PHAGE_Clostr_phiCT9441A_NC_029022(1),PHAGE_Staphy_phiMR11_NC_010147(1),PHAGE_Lactob_A2_NC_004112(1),PHAGE_Strept_phiBHN167_NC_022791(1),PHAGE_Pedioc_clP1_NC_016161(1)	81.316	3097.5	2167	MN856040	JAAOBB010000008.1	91.159	both
contig_1048	5505	25	N	N	1	*	*,1048,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	96.5845	774.166666666667	1028.75	MN856014	JAAOBB010000007.1	96.0873333333333	both
contig_105	1101	997	N	Y	17	*	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.256	321.5	657	MN855671	JAAOBB010000022.1	94.25	both
contig_1051	2001	23	N	N	1	*	1049,1051,-1050	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.669	339	249.666666666667	MN856014	JAAOBB010000007.1	92.1785	both
contig_1053	26303	103	N	N	1	*	*,1053,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1054	4367	127	N	N	7	*	*,1054,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	1614.5	NA	MN855803	NA	95.192	matthijnssen
contig_1055	21399	149	N	Y	1	304	*,1055,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1056	22349	33	N	Y	1	304	*,1056,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1057	6223	20	N	N	1	*	*,1057,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1058	5126	82	N	N	2	*	*,1058,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_106	2885	888	N	Y	17	*	106	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	90.9	657.666666666667	667.333333333333	MN855671	JAAOBB010000022.1	92.4313333333333	both
contig_1063	12543	210	N	Y	1	*	1063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1064	1487	10	N	N	2	*	*,1064,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1066	5021	13	N	N	3	*	*,1066,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1067	6400	274	Y	N	5	*	1067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1069	5776	5	N	Y	1	*	1069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_107	1065	1117	N	Y	558	*	107	NA	NA	NA	NA	NA	NA	NA	NA	NA	94.648	1065	1065	MN855738	JAAOBB010000022.1	95.117	both
contig_1074	805	108	N	Y	1	*	1074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	377.5	NA	MN855684	NA	86.1455	matthijnssen
contig_1075	515	16	N	Y	1	*	1075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	522	NA	MN855684	NA	81.034	matthijnssen
contig_1076	1927	223	N	Y	55	*	1076	organism	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	659	NA	MN855684	NA	89.1605	matthijnssen
contig_1077	836	799	N	N	7	*	*,1077,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1082	13157	163	N	N	1	*	-1502,-1081,1082,-1081,1084,2730,-1084,1081	plasmid	lytic	low quality draft	incomplete(40)	lysin	28	19	no	PHAGE_Aggreg_S1249_NC_013597(3),PHAGE_Mannhe_vB_MhS_535AP2_NC_028853(2),PHAGE_Mannhe_vB_MhS_587AP2_NC_028743(1),PHAGE_Paenib_Harrison_NC_028746(1),PHAGE_Aeromo_vB_AsaM_56_NC_019527(1),PHAGE_Vibrio_vB_VpaS_MAR10_NC_019713(1),PHAGE_Mannhe_vB_MhS_1152AP2_NC_028956(1),PHAGE_Salmon_118970_sal4_NC_030919(1),PHAGE_Escher_TL_2011b_NC_019445(1),PHAGE_Entero_SfV_NC_003444(1),PHAGE_Entero_phi80_NC_021190(1),PHAGE_Burkho_phi52237_NC_007145(1),PHAGE_Pseudo_MD8_NC_031091(1),PHAGE_Pseudo_phiPto_bp6g_NC_023718(1),PHAGE_Flavob_FCV_1_NC_041845(1),PHAGE_Pseudo_phiPSA1_NC_024365(1),PHAGE_Salmon_vB_SosS_Oslo_NC_018279(1),PHAGE_Vibrio_PVA1_NC_023605(1),PHAGE_Pseudo_H66_NC_042342(1),PHAGE_Cronob_phiES15_NC_018454(1),PHAGE_Paenib_Tripp_NC_028930(1),PHAGE_Ralsto_RS138_NC_029107(1),PHAGE_Shewan_3/49_NC_025466(1),PHAGE_Entero_EcP1_NC_019485(1),PHAGE_Entero_HK225_NC_019717(1),PHAGE_Salmon_BTP1_NC_042346(1),PHAGE_Pseudo_JBD44_NC_030929(1),PHAGE_Mannhe_vB_MhM_587AP1_NC_028898(1),PHAGE_Entero_P1_NC_005856(1),PHAGE_Pseudo_PAJU2_NC_011373(1),PHAGE_Burkho_phi6442_NC_009235(1),PHAGE_Burkho_phiE12_2_NC_009236(1),PHAGE_Entero_YYZ_2008_NC_011356(1),PHAGE_Edward_GF_2_NC_026611(1),PHAGE_Salmon_vB_SenS_Ent3_NC_024204(1),PHAGE_Mannhe_phiMHaA1_NC_008201(1),PHAGE_Salmon_SP_031_NC_021775(1),PHAGE_Cronob_ENT39118_NC_019934(1),PHAGE_Yersin_PY54_NC_005069(1),PHAGE_Cronob_ENT47670_NC_019927(1),PHAGE_Salmon_SEN22_NC_028696(1),PHAGE_Strept_P9_NC_009819(1),PHAGE_Burkho_phiE125_NC_003309(1),PHAGE_Klebsi_vB_KpnM_KpV52_NC_041900(1),PHAGE_Burkho_phi1026b_NC_005284(1),PHAGE_Flavob_FCL_2_NC_027125(1),PHAGE_Vibrio_X29_NC_024369(1)	87.9793333333333	571	645.833333333333	MN855724	JAAOBB010000159.1	93.21675	both
contig_1085	7784	110	N	N	4	*	-1083,1083,1085,-1087,1088,1090	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	89.3768	910.5	423	MN855732	JAAOBB010000140.1	88.2935	both
contig_1086	24324	22	N	N	1	*	-1081,1086,1899,1901,-1899	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	91.997	848.333333333333	508.2	MN856019	JAAOBB010000158.1	87.672	both
contig_1089	3119	26	N	N	6	*	*,1089,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_109	1406	930	N	Y	35	*	109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	452	NA	MN855739	NA	96.239	matthijnssen
contig_1091	33950	431	N	N	4	*	1091,*	virus	lysogenic	low quality draft	intact(120)	plate,integrase,tail	43	33	yes	PHAGE_Mannhe_vB_MhS_587AP2_NC_028743(6),PHAGE_Mannhe_vB_MhS_535AP2_NC_028853(6),PHAGE_Cronob_ENT47670_NC_019927(6),PHAGE_Entero_DE3_NC_042057(4),PHAGE_Aeromo_pIS4_A_NC_042037(4),PHAGE_Vibrio_pYD38_A_NC_021534(4),PHAGE_Phage_Gifsy_2_NC_010393(3),PHAGE_Entero_mEp460_NC_019716(3),PHAGE_Entero_lambda_NC_001416(3),PHAGE_Phage_Gifsy_1_NC_010392(2),PHAGE_Entero_YYZ_2008_NC_011356(2),PHAGE_Entero_cdtI_NC_009514(2),PHAGE_Salmon_64795_sal3_NC_031918(2),PHAGE_Entero_ES18_NC_006949(2),PHAGE_Erwini_phiEt88_NC_015295(2),PHAGE_Entero_BP_4795_NC_004813(2),PHAGE_Salmon_Fels_1_NC_010391(2),PHAGE_Salmon_vB_SosS_Oslo_NC_018279(2),PHAGE_Salmon_IME207_NC_031924(2),PHAGE_Edward_GF_2_NC_026611(2),PHAGE_Entero_HK630_NC_019723(2),PHAGE_Cronob_vB_CsaM_GAP32_NC_019401(1),PHAGE_Clostr_phiC2_NC_009231(1),PHAGE_Entero_vB_KleM_RaK2_NC_019526(1),PHAGE_Escher_JMPW1_NC_041874(1),PHAGE_Escher_JMPW2_NC_041873(1),PHAGE_Vibrio_12A4_NC_021068(1),PHAGE_Mannhe_vB_MhS_1152AP2_NC_028956(1),PHAGE_Prochl_P_SSM4_NC_006884(1),PHAGE_Escher_TL_2011b_NC_019445(1),PHAGE_Entero_SfV_NC_003444(1),PHAGE_Entero_HK629_NC_019711(1),PHAGE_Entero_phi92_NC_023693(1),PHAGE_Shigel_vB_SsoS_ISF002_NC_041995(1),PHAGE_Prochl_P_TIM68_NC_028955(1),PHAGE_Pseudo_H66_NC_042342(1),PHAGE_Gordon_Twister6_NC_031052(1),PHAGE_Escher_HK75_NC_016160(1),PHAGE_Pseudo_JBD44_NC_030929(1),PHAGE_Haemop_HP1_NC_001697(1),PHAGE_Clostr_phiCD119_NC_007917(1),PHAGE_Gordon_Bantam_NC_031074(1),PHAGE_Vibrio_VHML_NC_004456(1),PHAGE_Prochl_P_HM1_NC_015280(1),PHAGE_Prochl_P_RSM4_NC_015283(1),PHAGE_Escher_4_NC_027364(1),PHAGE_Shigel_SfII_NC_021857(1),PHAGE_Mycoba_Myrna_NC_011273(1),PHAGE_Salmon_SPN1S_NC_016761(1),PHAGE_Vibrio_X29_NC_024369(1),PHAGE_Burkho_phiE202_NC_009234(1),PHAGE_Entero_Tyrion_NC_031077(1),PHAGE_Escher_HK639_NC_016158(1),PHAGE_Aeromo_vB_AsaM_56_NC_019527(1),PHAGE_Escher_RCS47_NC_042128(1),PHAGE_Shigel_SfIV_NC_022749(1),PHAGE_Crocei_P2559Y_NC_023614(1),PHAGE_Haemop_HP2_NC_003315(1),PHAGE_Burkho_phi52237_NC_007145(1),PHAGE_Aeromo_65_NC_015251(1),PHAGE_Vibrio_VvAW1_NC_020488(1),PHAGE_Pseudo_phi297_NC_016762(1),PHAGE_Vibrio_12B3_NC_021067(1),PHAGE_Mycoba_Dorothy_NC_041855(1),PHAGE_Mycoba_Sparky_NC_026597(1),PHAGE_Pseudo_YMC11/07/P54_PAE_BP_NC_030909(1),PHAGE_Clostr_phiMMP02_NC_019421(1),PHAGE_Stx2_c_1717_NC_011357(1),PHAGE_Shigel_pSf_2_NC_026010(1),PHAGE_Salico_CGphi29_NC_020844(1),PHAGE_Pseudo_F116_NC_006552(1),PHAGE_Entero_P1_NC_005856(1),PHAGE_Vibrio_pYD21_A_NC_020846(1),PHAGE_Clostr_phiCT453B_NC_029004(1),PHAGE_Pectob_CBB_NC_041878(1),PHAGE_Pseudo_H103_NC_028819(1),PHAGE_Clostr_phiCT19406C_NC_029006(1),PHAGE_Sinorh_phiLM21_NC_029046(1),PHAGE_Pseudo_PS_1_NC_029066(1),PHAGE_Escher_ADB_2_NC_019725(1),PHAGE_Thalas_BA3_NC_009990(1)	83.551	3933.5	1070	MN855825	JAAOBB010000143.1	95.0625	both
contig_1092	12630	846	N	N	7	*	*,1092,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	510.5	NA	MN855724	NA	93.3305	matthijnssen
contig_1093	2355	84	N	N	3	*	*,1093,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	89.779	797	350.5	MN855728	JAAOBB010000158.1	87.704	both
contig_1094	16444	17	N	N	1	*	*,1094,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	84.615	942.833333333333	143	MN856024	JAAOBB010000158.1	76.8698333333333	both
contig_1095	539	642	Y	Y	5	*	1095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70	NA	MN855728	NA	91.429	matthijnssen
contig_1096	9985	16	N	N	1	*	1096	virus	lytic	low quality draft	incomplete(20)	plate	23	10	no	PHAGE_Gordon_Bantam_NC_031074(1),PHAGE_Vibrio_12A4_NC_021068(1),PHAGE_Mycoba_Daenerys_NC_022068(1),PHAGE_Marino_P12026_NC_018269(1),PHAGE_Pseudo_MD8_NC_031091(1),PHAGE_Aeromo_65_NC_015251(1),PHAGE_Vibrio_VvAW1_NC_020488(1),PHAGE_Mycoba_Myrna_NC_011273(1),PHAGE_Mycoba_Dorothy_NC_041855(1),PHAGE_Mycoba_Inventum_NC_026596(1),PHAGE_Salmon_64795_sal3_NC_031918(1),PHAGE_Aeromo_pIS4_A_NC_042037(1),PHAGE_Sinorh_phiLM21_NC_029046(1),PHAGE_Vibrio_X29_NC_024369(1),PHAGE_Xantho_vB_XveM_DIBBI_NC_017981(1),PHAGE_Vibrio_pYD38_A_NC_021534(1),PHAGE_Thalas_BA3_NC_009990(1)	85.571	527	435.5	MN855728	JAAOBB010000158.1	93.2854	both
contig_1098	1252	13	N	N	2	*	*,1098,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	259	NA	MN855724	NA	93.436	matthijnssen
contig_1099	2101	73	N	Y	4	*	1099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1430	NA	MN855723	NA	88.601	matthijnssen
contig_11	11941	676	N	Y	6	*	11	organism	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_110	8115	22	N	Y	11	*	110	organism	NA	NA	NA	NA	NA	NA	NA	NA	95.1363333333333	1361.16666666667	625.166666666667	MN856038	JAAOBB010000022.1	94.6396666666667	both
contig_1100	7257	64	N	N	2	*	*,1100,*	virus	lysogenic	low quality draft	NA	NA	NA	NA	NA	NA	90.9606666666667	992.166666666667	475.666666666667	MN855728	JAAOBB010000158.1	95.0708333333333	both
contig_1101	539	9	N	Y	1	*	1101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	536	NA	MN855723	NA	98.507	matthijnssen
