V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,host
contig_1031,GIAP001_0041_d01_CNTG00003_18000_18578_SPACER18213,100,32,0,0,17932,17963,32,1,6.91e-10,62.2,Gilliamella apicola A-7-12_S13
contig_1031,GIAP001_0017_d01_CNTG00002_193132_193710_SPACER193466,100,32,0,0,17932,17963,1,32,6.91e-10,62.2,Gilliamella apicola A-1-24_S9
contig_1031,GIAP001_0017_d01_CNTG00002_193132_193710_SPACER193466,100,32,0,0,7824,7855,32,1,6.91e-10,62.2,Gilliamella apicola A-1-24_S9
contig_1031,GIAP001_0091_d01_CNTG00002_168275_168853_SPACER168609,100,32,0,0,17932,17963,1,32,6.91e-10,62.2,Gilliamella apicola A-9-12_S11
contig_1031,GIAP001_0091_d01_CNTG00002_168275_168853_SPACER168609,100,32,0,0,7824,7855,32,1,6.91e-10,62.2,Gilliamella apicola A-9-12_S11
contig_1031,GIAP001_0052_d01_CNTG00002_20995_21573_SPACER21208,100,32,0,0,7824,7855,1,32,6.91e-10,62.2,Gilliamella apicola A-2-24_S10
contig_1031,GIAP001_0052_d01_CNTG00002_20995_21573_SPACER21208,100,32,0,0,17932,17963,32,1,6.91e-10,62.2,Gilliamella apicola A-2-24_S10
contig_1040,LAME003_0001_d01_CNTG00003_169058_170479_SPACER170348,100,28,0,0,4959,4986,3,30,3.97e-08,54.5,Lactobacillus melliventris ESL0259
contig_1040,LAME003_0001_d01_CNTG00003_169058_170479_SPACER170348,100,28,0,0,1671,1698,30,3,3.97e-08,54.5,Lactobacillus melliventris ESL0259
contig_1045,LASP001_0002_d01_CNTG00006_42789_44144_SPACER43881,100,30,0,0,882,911,1,30,2.7e-09,58.4,Lactobacillus sp. Biut2
contig_1045,LASP001_0002_d01_CNTG00006_42789_44144_SPACER43815,100,30,0,0,882,911,1,30,2.7e-09,58.4,Lactobacillus sp. Biut2
contig_1045,LASP001_0002_d01_CNTG00006_42789_44144_SPACER43617,100,30,0,0,882,911,1,30,2.7e-09,58.4,Lactobacillus sp. Biut2
contig_1045,LASP001_0002_d01_CNTG00006_42789_44144_SPACER43551,100,30,0,0,882,911,1,30,2.7e-09,58.4,Lactobacillus sp. Biut2
contig_1045,LAKU001_0003_d01_CNTG00006_42789_44144_SPACER43881,100,30,0,0,882,911,1,30,2.7e-09,58.4,Lactobacillus kullabergensis Biut2_JF76
contig_1045,LAKU001_0003_d01_CNTG00006_42789_44144_SPACER43815,100,30,0,0,882,911,1,30,2.7e-09,58.4,Lactobacillus kullabergensis Biut2_JF76
contig_1045,LAKU001_0003_d01_CNTG00006_42789_44144_SPACER43617,100,30,0,0,882,911,1,30,2.7e-09,58.4,Lactobacillus kullabergensis Biut2_JF76
contig_1045,LAKU001_0003_d01_CNTG00006_42789_44144_SPACER43551,100,30,0,0,882,911,1,30,2.7e-09,58.4,Lactobacillus kullabergensis Biut2_JF76
contig_1046,LAME003_0001_d01_CNTG00003_169058_170479_SPACER170348,100,28,0,0,1618,1645,30,3,1.38e-08,54.5,Lactobacillus melliventris ESL0259
contig_1047,LASP001_0002_d01_CNTG00006_42789_44144_SPACER43155,100,29,0,0,1526,1554,2,30,4.41e-08,56.4,Lactobacillus sp. Biut2
contig_1047,LASP001_0002_d01_CNTG00006_42789_44144_SPACER43155,100,29,0,0,21235,21263,30,2,4.41e-08,56.4,Lactobacillus sp. Biut2
contig_1047,LAKU001_0003_d01_CNTG00006_42789_44144_SPACER43155,100,29,0,0,1526,1554,2,30,4.41e-08,56.4,Lactobacillus kullabergensis Biut2_JF76
contig_1047,LAKU001_0003_d01_CNTG00006_42789_44144_SPACER43155,100,29,0,0,21235,21263,30,2,4.41e-08,56.4,Lactobacillus kullabergensis Biut2_JF76
contig_1086,GIAP001_0076_d01_CNTG00024_11049_12757_SPACER11197,100,32,0,0,18557,18588,1,32,6.13e-10,62.2,Gilliamella apicola A-4-12_S26
contig_1086,GIAP001_0076_d01_CNTG00024_11049_12757_SPACER11197,100,32,0,0,21246,21277,32,1,6.13e-10,62.2,Gilliamella apicola A-4-12_S26
contig_1086,GIAP001_0076_d01_CNTG00024_11049_12757_SPACER11197,100,32,0,0,12728,12759,32,1,6.13e-10,62.2,Gilliamella apicola A-4-12_S26
contig_1086,GIAP001_0084_d01_CNTG00020_29266_29844_SPACER29479,100,32,0,0,13244,13275,1,32,6.13e-10,62.2,Gilliamella apicola A9_S9
contig_1086,GIAP001_0084_d01_CNTG00020_29266_29844_SPACER29479,100,32,0,0,21766,21797,1,32,6.13e-10,62.2,Gilliamella apicola A9_S9
contig_1086,GIAP001_0084_d01_CNTG00020_29266_29844_SPACER29479,100,32,0,0,18040,18071,32,1,6.13e-10,62.2,Gilliamella apicola A9_S9
contig_1086,GIAP001_0051_d01_CNTG00019_40432_41010_SPACER40645,100,32,0,0,13244,13275,1,32,6.13e-10,62.2,Gilliamella apicola A8_S4
contig_1086,GIAP001_0051_d01_CNTG00019_40432_41010_SPACER40645,100,32,0,0,21766,21797,1,32,6.13e-10,62.2,Gilliamella apicola A8_S4
contig_1086,GIAP001_0051_d01_CNTG00019_40432_41010_SPACER40645,100,32,0,0,18040,18071,32,1,6.13e-10,62.2,Gilliamella apicola A8_S4
contig_1086,GIAP001_0009_d01_CNTG00019_25945_26523_SPACER26279,100,32,0,0,18040,18071,1,32,6.13e-10,62.2,Gilliamella apicola AW13_S29
contig_1086,GIAP001_0009_d01_CNTG00019_25945_26523_SPACER26279,100,32,0,0,21766,21797,32,1,6.13e-10,62.2,Gilliamella apicola AW13_S29
contig_1086,GIAP001_0009_d01_CNTG00019_25945_26523_SPACER26279,100,32,0,0,13244,13275,32,1,6.13e-10,62.2,Gilliamella apicola AW13_S29
contig_1086,GIAP001_0006_d01_CNTG00005_350981_351488_SPACER351369,100,32,0,0,12728,12759,1,32,6.13e-10,62.2,Gilliamella apicola Ga_172
contig_1086,GIAP001_0006_d01_CNTG00005_350981_351488_SPACER351369,100,32,0,0,21246,21277,1,32,6.13e-10,62.2,Gilliamella apicola Ga_172
contig_1086,GIAP001_0006_d01_CNTG00005_350981_351488_SPACER351369,100,32,0,0,18557,18588,32,1,6.13e-10,62.2,Gilliamella apicola Ga_172
contig_1086,GIAP001_0016_d01_CNTG00005_87588_89449_SPACER88228,100,32,0,0,21862,21893,1,32,6.13e-10,62.2,Gilliamella apicola Ga_177
contig_1086,GIAP001_0041_d01_CNTG00003_18000_18578_SPACER18213,100,32,0,0,13244,13275,1,32,6.13e-10,62.2,Gilliamella apicola A-7-12_S13
contig_1086,GIAP001_0041_d01_CNTG00003_18000_18578_SPACER18213,100,32,0,0,21766,21797,1,32,6.13e-10,62.2,Gilliamella apicola A-7-12_S13
contig_1086,GIAP001_0041_d01_CNTG00003_18000_18578_SPACER18213,100,32,0,0,18040,18071,32,1,6.13e-10,62.2,Gilliamella apicola A-7-12_S13
contig_1086,GIAP001_0017_d01_CNTG00002_193132_193710_SPACER193466,100,32,0,0,18040,18071,1,32,6.13e-10,62.2,Gilliamella apicola A-1-24_S9
contig_1086,GIAP001_0017_d01_CNTG00002_193132_193710_SPACER193466,100,32,0,0,21766,21797,32,1,6.13e-10,62.2,Gilliamella apicola A-1-24_S9
contig_1086,GIAP001_0017_d01_CNTG00002_193132_193710_SPACER193466,100,32,0,0,13244,13275,32,1,6.13e-10,62.2,Gilliamella apicola A-1-24_S9
contig_1086,GIAP001_0091_d01_CNTG00002_168275_168853_SPACER168609,100,32,0,0,18040,18071,1,32,6.13e-10,62.2,Gilliamella apicola A-9-12_S11
contig_1086,GIAP001_0091_d01_CNTG00002_168275_168853_SPACER168609,100,32,0,0,21766,21797,32,1,6.13e-10,62.2,Gilliamella apicola A-9-12_S11
contig_1086,GIAP001_0091_d01_CNTG00002_168275_168853_SPACER168609,100,32,0,0,13244,13275,32,1,6.13e-10,62.2,Gilliamella apicola A-9-12_S11
contig_1086,GIAP001_0052_d01_CNTG00002_20995_21573_SPACER21208,100,32,0,0,13244,13275,1,32,6.13e-10,62.2,Gilliamella apicola A-2-24_S10
contig_1086,GIAP001_0052_d01_CNTG00002_20995_21573_SPACER21208,100,32,0,0,21766,21797,1,32,6.13e-10,62.2,Gilliamella apicola A-2-24_S10
contig_1086,GIAP001_0052_d01_CNTG00002_20995_21573_SPACER21208,100,32,0,0,18040,18071,32,1,6.13e-10,62.2,Gilliamella apicola A-2-24_S10
contig_1086,GIAP001_0059_c01_1946842_1947176_SPACER1946932,100,32,0,0,18630,18661,1,32,6.13e-10,62.2,Gilliamella apicola wkB1b
contig_1086,GIAP001_0059_c01_1946842_1947176_SPACER1946932,100,32,0,0,21173,21204,32,1,6.13e-10,62.2,Gilliamella apicola wkB1b
contig_1086,GIAP001_0059_c01_1946842_1947176_SPACER1946932,100,32,0,0,12655,12686,32,1,6.13e-10,62.2,Gilliamella apicola wkB1b
contig_1086,GIAP001_0022_d01_CNTG00013_5375_6075_SPACER5648,100,32,0,0,14477,14508,32,1,6.13e-10,62.2,Gilliamella apicola G5_S5
contig_1086,GIAP001_0006_d01_CNTG00005_1307188_1307696_SPACER1307577,100,31,0,0,23376,23406,31,1,2.32e-09,60.3,Gilliamella apicola Ga_172
contig_1091,GIAP001_0022_d01_CNTG00013_13445_13962_SPACER13779,100,33,0,0,15394,15426,1,33,2.26e-10,64.1,Gilliamella apicola G5_S5
contig_1091,GIAP001_0009_d01_CNTG00086_500_1200_SPACER1140,100,32,0,0,23917,23948,1,32,8.55e-10,62.2,Gilliamella apicola AW13_S29
contig_1091,GIAP001_0084_d01_CNTG00068_3574_4323_SPACER4214,100,32,0,0,23917,23948,1,32,8.55e-10,62.2,Gilliamella apicola A9_S9
contig_1091,GIAP001_0029_d01_CNTG00050_7952_8159_SPACER7980,100,32,0,0,14697,14728,1,32,8.55e-10,62.2,Gilliamella apicola NO4_S12
contig_1091,GIAP001_0076_d01_CNTG00024_11049_12757_SPACER11197,100,32,0,0,3242,3273,32,1,8.55e-10,62.2,Gilliamella apicola A-4-12_S26
contig_1091,GIAP001_0084_d01_CNTG00020_29266_29844_SPACER29479,100,32,0,0,3765,3796,1,32,8.55e-10,62.2,Gilliamella apicola A9_S9
contig_1091,GIAP001_0051_d01_CNTG00019_40432_41010_SPACER40645,100,32,0,0,3765,3796,1,32,8.55e-10,62.2,Gilliamella apicola A8_S4
contig_1091,GIAP001_0009_d01_CNTG00019_25945_26523_SPACER26279,100,32,0,0,3765,3796,32,1,8.55e-10,62.2,Gilliamella apicola AW13_S29
contig_1091,GIAP001_0069_d01_CNTG00019_12510_12717_SPACER12538,100,32,0,0,14697,14728,1,32,8.55e-10,62.2,Gilliamella apicola NO13_S22
contig_1091,GIAP001_0088_d01_CNTG00017_59983_60190_SPACER60011,100,32,0,0,14697,14728,1,32,8.55e-10,62.2,Gilliamella apicola NO3_S7
contig_1091,GIAP001_0055_d01_CNTG00016_59983_60190_SPACER60011,100,32,0,0,14697,14728,1,32,8.55e-10,62.2,Gilliamella apicola NO14_S27
contig_1091,GIAP001_0091_d01_CNTG00016_3347_4047_SPACER3376,100,32,0,0,23917,23948,32,1,8.55e-10,62.2,Gilliamella apicola A-9-12_S11
contig_1091,GIAP001_0043_d01_CNTG00015_57698_57905_SPACER57726,100,32,0,0,14697,14728,1,32,8.55e-10,62.2,Gilliamella apicola NO1_S2
contig_1091,GIAP001_0068_d01_CNTG00014_61810_62017_SPACER61838,100,32,0,0,14697,14728,1,32,8.55e-10,62.2,Gilliamella apicola NO16_S37
contig_1091,GIAP001_0027_d01_CNTG00013_75718_75925_SPACER75746,100,32,0,0,14697,14728,1,32,8.55e-10,62.2,Gilliamella apicola NO12_S17
contig_1091,GIAP001_0017_d01_CNTG00013_3347_4047_SPACER3376,100,32,0,0,23917,23948,32,1,8.55e-10,62.2,Gilliamella apicola A-1-24_S9
contig_1091,GIAP001_0041_d01_CNTG00012_3339_4039_SPACER3368,100,32,0,0,23917,23948,32,1,8.55e-10,62.2,Gilliamella apicola A-7-12_S13
contig_1091,GIAP001_0081_d01_CNTG00010_102062_103252_SPACER102764,100,32,0,0,21173,21204,1,32,8.55e-10,62.2,Gilliamella apicola Ga_178
contig_1091,GIAP001_0081_d01_CNTG00010_102062_103252_SPACER102091,100,32,0,0,23917,23948,32,1,8.55e-10,62.2,Gilliamella apicola Ga_178
contig_1091,GIAP001_0051_d01_CNTG00008_3357_4106_SPACER3435,100,32,0,0,23917,23948,32,1,8.55e-10,62.2,Gilliamella apicola A8_S4
contig_1091,GIAP001_0052_d01_CNTG00006_3347_4047_SPACER3376,100,32,0,0,23917,23948,32,1,8.55e-10,62.2,Gilliamella apicola A-2-24_S10
contig_1091,GIAP001_0006_d01_CNTG00005_350981_351488_SPACER351369,100,32,0,0,3242,3273,1,32,8.55e-10,62.2,Gilliamella apicola Ga_172
contig_1091,GIAP001_0016_d01_CNTG00005_87588_89449_SPACER88228,100,32,0,0,3861,3892,1,32,8.55e-10,62.2,Gilliamella apicola Ga_177
contig_1091,GIAP001_0041_d01_CNTG00003_18000_18578_SPACER18213,100,32,0,0,3765,3796,1,32,8.55e-10,62.2,Gilliamella apicola A-7-12_S13
contig_1091,GIAP001_0017_d01_CNTG00002_193132_193710_SPACER193466,100,32,0,0,3765,3796,32,1,8.55e-10,62.2,Gilliamella apicola A-1-24_S9
contig_1091,GIAP001_0091_d01_CNTG00002_168275_168853_SPACER168609,100,32,0,0,3765,3796,32,1,8.55e-10,62.2,Gilliamella apicola A-9-12_S11
contig_1091,GIAP001_0052_d01_CNTG00002_20995_21573_SPACER21208,100,32,0,0,3765,3796,1,32,8.55e-10,62.2,Gilliamella apicola A-2-24_S10
contig_1091,GIAP001_0002_d01_CNTG00002_2156_2363_SPACER2304,100,32,0,0,14697,14728,32,1,8.55e-10,62.2,Gilliamella apicola NO15_S32
contig_1091,GIAP001_0061_c01_2728704_2728976_SPACER2728733,100,32,0,0,22973,23004,32,1,8.55e-10,62.2,Gilliamella apicola strain wkB7
contig_1091,GIAP001_0059_c01_1946842_1947176_SPACER1946932,100,32,0,0,3169,3200,32,1,8.55e-10,62.2,Gilliamella apicola wkB1b
contig_1091,GIAP001_0039_d01_CNTG00001_234650_235654_SPACER235472,100,31,0,0,32910,32940,2,32,3.24e-09,60.3,Gilliamella apicola A7_S18
contig_1091,GIAP001_0059_c01_619227_619499_SPACER619378,100,31,0,0,22298,22328,2,32,3.24e-09,60.3,Gilliamella apicola wkB1b
contig_1091,GIAP001_0051_d01_CNTG00007_80248_80887_SPACER80521,100,30,0,0,13962,13991,30,1,1.23e-08,58.4,Gilliamella apicola A8_S4
contig_1091,GIAP001_0084_d01_CNTG00006_68834_69473_SPACER69107,100,30,0,0,13962,13991,30,1,1.23e-08,58.4,Gilliamella apicola A9_S9
contig_1092,GIAP001_0016_d01_CNTG00005_375032_375179_SPACER375060,100,32,0,0,5294,5325,1,32,3.41e-10,62.2,Gilliamella apicola Ga_177
contig_1092,GIAP001_0081_d01_CNTG00010_106957_108024_SPACER107536,100,31,0,0,1288,1318,31,1,1.29e-09,60.3,Gilliamella apicola Ga_178
contig_1092,GIAP001_0089_d01_CNTG00001_100586_100674_SPACER100615,100,31,0,0,3268,3298,1,31,1.29e-09,60.3,Gilliamella apicola Nev3_1
contig_1092,GIAP001_0089_d01_CNTG00001_100586_100674_SPACER100615,100,31,0,0,294,324,31,1,1.29e-09,60.3,Gilliamella apicola Nev3_1
contig_1092,GIAP001_0022_d01_CNTG00002_202231_202687_SPACER202260,100,29,0,0,8126,8154,29,1,1.86e-08,56.4,Gilliamella apicola G5_S5
contig_1092,GIAP001_0022_d01_CNTG00002_202231_202687_SPACER202260,100,28,0,0,8201,8228,29,2,7.05e-08,54.5,Gilliamella apicola G5_S5
contig_1092,GIAP001_0022_d01_CNTG00002_202231_202687_SPACER202260,100,28,0,0,8081,8108,29,2,7.05e-08,54.5,Gilliamella apicola G5_S5
contig_1092,GIAP001_0022_d01_CNTG00002_202231_202687_SPACER202260,100,28,0,0,7991,8018,29,2,7.05e-08,54.5,Gilliamella apicola G5_S5
contig_1092,GIAP001_0022_d01_CNTG00002_202231_202687_SPACER202260,100,28,0,0,7886,7913,29,2,7.05e-08,54.5,Gilliamella apicola G5_S5
contig_1092,GIAP001_0022_d01_CNTG00002_202231_202687_SPACER202260,100,28,0,0,7811,7838,29,2,7.05e-08,54.5,Gilliamella apicola G5_S5
contig_1096,GIAP001_0030_d01_CNTG00004_66797_67740_SPACER67253,100,32,0,0,2950,2981,1,32,2.7e-10,62.2,Gilliamella apicola Ga_169
contig_1096,GIAP001_0030_d01_CNTG00004_66797_67740_SPACER67253,100,32,0,0,6952,6983,32,1,2.7e-10,62.2,Gilliamella apicola Ga_169
contig_1096,GIAP001_0004_d01_CNTG00006_432692_432960_SPACER432721,100,31,0,0,306,336,1,31,1.02e-09,60.3,Gilliamella apicola ESL0297
contig_1096,GIAP001_0004_d01_CNTG00006_432692_432960_SPACER432721,100,31,0,0,9602,9632,31,1,1.02e-09,60.3,Gilliamella apicola ESL0297
contig_1100,GIAP001_0022_d01_CNTG00013_13445_13962_SPACER13779,100,33,0,0,2986,3018,33,1,5.17e-11,64.1,Gilliamella apicola G5_S5
contig_1100,GIAP001_0022_d01_CNTG00013_13445_13962_SPACER13779,100,33,0,0,1959,1991,33,1,5.17e-11,64.1,Gilliamella apicola G5_S5
contig_1128,BAAP001_0005_c01_2027625_2028122_SPACER2028057,100,30,0,0,2610,2639,30,1,2.68e-09,58.4,Bartonella apis BBC122
contig_1128,BAAP001_0003_c01_1911293_1911926_SPACER1911661,100,30,0,0,6454,6483,1,30,2.68e-09,58.4,Bartonella apis BBC178
contig_1128,BAAP001_0003_c01_1909960_1910854_SPACER1910655,100,30,0,0,2071,2100,1,30,2.68e-09,58.4,Bartonella apis BBC178
contig_1146,LAAP002_0003_d01_CNTG00016_69220_69384_SPACER69253,100,30,0,0,31266,31295,1,30,1.47e-08,58.4,Lactobacillus apis Hma11
contig_1146,BAAP001_0005_c01_2027625_2028122_SPACER2028057,100,30,0,0,9020,9049,1,30,1.47e-08,58.4,Bartonella apis BBC122
contig_1146,BAAP001_0005_c01_2027625_2028122_SPACER2028057,100,30,0,0,6140,6169,30,1,1.47e-08,58.4,Bartonella apis BBC122
contig_1146,BAAP001_0003_c01_1909960_1910854_SPACER1910655,100,30,0,0,5601,5630,1,30,1.47e-08,58.4,Bartonella apis BBC178
contig_1146,BAAP001_0003_c01_1909960_1910854_SPACER1910655,100,30,0,0,9559,9588,30,1,1.47e-08,58.4,Bartonella apis BBC178
contig_1146,BAAP001_0004_c01_1946329_1947227_SPACER1947093,100,28,0,0,15684,15711,31,4,2.11e-07,54.5,Bartonella apis BBC244
contig_1147,BAAP001_0004_c01_1946329_1947227_SPACER1947093,100,31,0,0,13863,13893,31,1,1.64e-09,60.3,Bartonella apis BBC244
contig_1147,BAAP001_0005_c01_2027625_2028122_SPACER2028057,100,30,0,0,8619,8648,1,30,6.22e-09,58.4,Bartonella apis BBC122
contig_1147,BAAP001_0003_c01_1909960_1910854_SPACER1910655,100,30,0,0,9158,9187,30,1,6.22e-09,58.4,Bartonella apis BBC178
contig_1178,BIAS001_0009_d01_CNTG00005_162380_168685_SPACER168225,100,34,0,0,98786,98819,34,1,1.75e-10,66.1,Bifidobacterium asteroides Bi_199
contig_1178,BIAS001_0009_d01_CNTG00005_162380_168685_SPACER168225,100,34,0,0,92924,92957,1,34,1.75e-10,66.1,Bifidobacterium asteroides Bi_199
contig_1178,BIAS001_0002_d01_CNTG00013_30_4329_SPACER1523,100,33,0,0,31994,32026,1,33,6.64e-10,64.1,Bifidobacterium asteroides Bin2
contig_1178,BIAS001_0002_d01_CNTG00013_30_4329_SPACER1401,100,33,0,0,68225,68257,1,33,6.64e-10,64.1,Bifidobacterium asteroides Bin2
contig_1178,BIAS001_0002_d01_CNTG00013_30_4329_SPACER913,100,33,0,0,30852,30884,1,33,6.64e-10,64.1,Bifidobacterium asteroides Bin2
contig_1178,BIAS001_0006_d01_CNTG00007_808299_813279_SPACER812182,100,33,0,0,68208,68240,33,1,6.64e-10,64.1,Bifidobacterium asteroides Bin7
contig_1178,BIAS001_0001_d01_CNTG00003_870511_876846_SPACER871138,100,33,0,0,62015,62047,34,2,6.64e-10,64.1,Bifidobacterium asteroides Bi_170
contig_1178,BIAS001_0007_c01_1805098_1814032_SPACER1810068,100,33,0,0,83787,83819,33,1,6.64e-10,64.1,Bifidobacterium asteroides PRL2011
contig_1178,BIAS001_0004_c01_1805098_1814032_SPACER1810068,100,33,0,0,83787,83819,33,1,6.64e-10,64.1,Bifidobacterium asteroides PRL2011
contig_1178,BIAS001_0003_c01_1585856_1594790_SPACER1590826,100,33,0,0,83787,83819,33,1,6.64e-10,64.1,Bifidobacterium asteroides strain DSM20089
contig_1178,BIAS001_0002_d01_CNTG00013_30_4329_SPACER791,100,32,0,0,36425,36456,32,1,2.52e-09,62.2,Bifidobacterium asteroides Bin2
contig_1178,BIAS001_0010_d01_CNTG00009_207968_214890_SPACER208240,100,31,0,0,85927,85957,3,33,9.54e-09,60.3,Bifidobacterium asteroides Bi_198
contig_1291,GIAP001_0021_d01_CNTG00006_30591_34710_SPACER31780,100,29,0,0,1561,1589,1,29,3.58e-09,56.4,Gilliamella apicola Ga_182
contig_1298,GIAP001_0044_d01_CNTG00043_250535_250922_SPACER250743,100,32,0,0,2306,2337,32,1,2.13e-10,62.2,Gilliamella apicola wkB171
contig_132,BAAP001_0002_d01_CNTG00007_338135_339691_SPACER339626,100,30,0,0,3827,3856,30,1,7.39e-09,58.4,Bartonella apis PEB0149
contig_132,BAAP001_0004_c01_1940484_1941314_SPACER1940851,100,30,0,0,6026,6055,1,30,7.39e-09,58.4,Bartonella apis BBC244
contig_1367,GIAP001_0084_d01_CNTG00035_8699_9276_SPACER9033,100,32,0,0,10880,10911,1,32,4.94e-10,62.2,Gilliamella apicola A9_S9
contig_1367,GIAP001_0022_d01_CNTG00031_1260_2144_SPACER1717,100,32,0,0,13465,13496,1,32,4.94e-10,62.2,Gilliamella apicola G5_S5
contig_1367,GIAP001_0051_d01_CNTG00012_5539_6116_SPACER5873,100,32,0,0,10880,10911,1,32,4.94e-10,62.2,Gilliamella apicola A8_S4
contig_1367,GIAP001_0072_d01_CNTG00019_17896_18223_SPACER18164,100,32,0,0,836,867,32,1,4.94e-10,62.2,Gilliamella apicola AM1_S14
contig_1367,GIAP001_0006_d01_CNTG00005_1307188_1307696_SPACER1307577,100,31,0,0,8099,8129,1,31,1.87e-09,60.3,Gilliamella apicola Ga_172
contig_1367,GIAP001_0022_d01_CNTG00031_1260_2144_SPACER1289,100,28,0,0,14937,14964,5,32,1.02e-07,54.5,Gilliamella apicola G5_S5
contig_1368,GIAP001_0081_d01_CNTG00010_102062_103252_SPACER102764,100,32,0,0,18333,18364,32,1,5.47e-10,62.2,Gilliamella apicola Ga_178
contig_1368,GIAP001_0059_c01_619227_619499_SPACER619378,100,32,0,0,17209,17240,32,1,5.47e-10,62.2,Gilliamella apicola wkB1b
contig_1370,GIAP001_0009_d01_CNTG00086_500_1200_SPACER1140,100,32,0,0,5762,5793,32,1,2.81e-10,62.2,Gilliamella apicola AW13_S29
contig_1370,GIAP001_0084_d01_CNTG00068_3574_4323_SPACER4214,100,32,0,0,5762,5793,32,1,2.81e-10,62.2,Gilliamella apicola A9_S9
contig_1370,GIAP001_0081_d01_CNTG00010_102062_103252_SPACER102764,100,32,0,0,8504,8535,32,1,2.81e-10,62.2,Gilliamella apicola Ga_178
contig_1370,GIAP001_0059_c01_619227_619499_SPACER619378,100,32,0,0,7380,7411,32,1,2.81e-10,62.2,Gilliamella apicola wkB1b
contig_1370,GIAP001_0091_d01_CNTG00016_3347_4047_SPACER3376,100,32,0,0,5762,5793,1,32,2.81e-10,62.2,Gilliamella apicola A-9-12_S11
contig_1370,GIAP001_0017_d01_CNTG00013_3347_4047_SPACER3376,100,32,0,0,5762,5793,1,32,2.81e-10,62.2,Gilliamella apicola A-1-24_S9
contig_1370,GIAP001_0041_d01_CNTG00012_3339_4039_SPACER3368,100,32,0,0,5762,5793,1,32,2.81e-10,62.2,Gilliamella apicola A-7-12_S13
contig_1370,GIAP001_0081_d01_CNTG00010_102062_103252_SPACER102091,100,32,0,0,5762,5793,1,32,2.81e-10,62.2,Gilliamella apicola Ga_178
contig_1370,GIAP001_0051_d01_CNTG00008_3357_4106_SPACER3435,100,32,0,0,5762,5793,1,32,2.81e-10,62.2,Gilliamella apicola A8_S4
contig_1370,GIAP001_0052_d01_CNTG00006_3347_4047_SPACER3376,100,32,0,0,5762,5793,1,32,2.81e-10,62.2,Gilliamella apicola A-2-24_S10
contig_1371,GIAP001_0081_d01_CNTG00010_727928_730277_SPACER729850,100,32,0,0,2104,2135,1,32,2.15e-10,62.2,Gilliamella apicola Ga_178
contig_1371,GIAP001_0081_d01_CNTG00010_727928_730277_SPACER728874,100,32,0,0,5070,5101,1,32,2.15e-10,62.2,Gilliamella apicola Ga_178
contig_1371,GIAP001_0081_d01_CNTG00010_102062_103252_SPACER102581,100,32,0,0,46,77,32,1,2.15e-10,62.2,Gilliamella apicola Ga_178
contig_1371,GIAP001_0022_d01_CNTG00031_1260_2144_SPACER1289,100,28,0,0,642,669,32,5,4.44e-08,54.5,Gilliamella apicola G5_S5
contig_138,BAAP001_0004_c01_1946329_1947227_SPACER1947093,100,31,0,0,6845,6875,1,31,5.08e-09,60.3,Bartonella apis BBC244
contig_138,BAAP001_0004_c01_1946329_1947227_SPACER1947093,100,31,0,0,11472,11502,31,1,5.08e-09,60.3,Bartonella apis BBC244
